title ||| Heterogeneous Transfer Learning for Image Clustering via the Social Web
author ||| Qiang Yang
affiliation ||| Hong Kong University of Science and Technology, Clearway Bay, Kowloon, Hong Kong
email ||| qyang@cs.ust.hk
author ||| Yuqiang Chen	Gui-Rong Xue	Wenyuan Dai	Yong Yu
affiliation ||| Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, China
email ||| {yuqiangchen,grxue,dwyak,yyu}@apex.sjtu.edu.cn
sectionHeader ||| Abstract
bodyText ||| In this paper, we present a new learning
bodyText ||| scenario, heterogeneous transfer learn-
bodyText ||| ing, which improves learning performance
bodyText ||| when the data can be in different feature
bodyText ||| spaces and where no correspondence be-
bodyText ||| tween data instances in these spaces is pro-
bodyText ||| vided. In the past, we have classified Chi-
bodyText ||| nese text documents using English train-
bodyText ||| ing data under the heterogeneous trans-
bodyText ||| fer learning framework. In this paper,
bodyText ||| we present image clustering as an exam-
bodyText ||| ple to illustrate how unsupervised learning
bodyText ||| can be improved by transferring knowl-
bodyText ||| edge from auxiliary heterogeneous data
bodyText ||| obtained from the social Web. Image
bodyText ||| clustering is useful for image sense dis-
bodyText ||| ambiguation in query-based image search,
bodyText ||| but its quality is often low due to image-
bodyText ||| data sparsity problem. We extend PLSA
bodyText ||| to help transfer the knowledge from social
bodyText ||| Web data, which have mixed feature repre-
bodyText ||| sentations. Experiments on image-object
bodyText ||| clustering and scene clustering tasks show
bodyText ||| that our approach in heterogeneous trans-
bodyText ||| fer learning based on the auxiliary data is
bodyText ||| indeed effective and promising.
sectionHeader ||| 1 Introduction
bodyText ||| Traditional machine learning relies on the avail-
bodyText ||| ability of a large amount of data to train a model,
bodyText ||| which is then applied to test data in the same
bodyText ||| feature space. However, labeled data are often
bodyText ||| scarce and expensive to obtain. Various machine
bodyText ||| learning strategies have been proposed to address
bodyText ||| this problem, including semi-supervised learning
bodyText ||| (Zhu, 2007), domain adaptation (Wu and Diet-
bodyText ||| terich, 2004; Blitzer et al., 2006; Blitzer et al.,
bodyText ||| 2007; Arnold et al., 2007; Chan and Ng, 2007;
bodyText ||| Daume, 2007; Jiang and Zhai, 2007; Reichart
bodyText ||| and Rappoport, 2007; Andreevskaia and Bergler,
bodyText ||| 2008), multi-task learning (Caruana, 1997; Re-
bodyText ||| ichart et al., 2008; Arnold et al., 2008), self-taught
bodyText ||| learning (Raina et al., 2007), etc. A commonality
bodyText ||| among these methods is that they all require the
bodyText ||| training data and test data to be in the same fea-
bodyText ||| ture space. In addition, most of them are designed
bodyText ||| for supervised learning. However, in practice, we
bodyText ||| often face the problem where the labeled data are
