index=0 pos=0/10 firstWord=abstract secondWord=null  currHeader=abstract abstract
index=1 pos=1/10 firstWord=categories secondWord=and  currHeader=categories_and_subject_descriptors categories_and_subject_descriptors
index=2 pos=2/10 firstWord=general secondWord=terms  currHeader=general_terms general_terms
index=4 pos=3/10 firstWord=introduction secondWord=null  currHeader=introduction introduction
index=5 pos=4/10 firstWord=architecture secondWord=of  currHeader=architecture_of_a_parallel_crawler method
index=6 pos=5/10 firstWord=crawling secondWord=modes  currHeader=crawling_modes_for_static_assignment method
index=7 pos=5/10 firstWord=evaluation secondWord=models  currHeader=evaluation_models method
index=8 pos=6/10 firstWord=description secondWord=of  currHeader=description_of_dataset method
index=9 pos=7/10 firstWord=firewall secondWord=mode  currHeader=firewall_mode_and_coverage method
index=10 pos=8/10 firstWord=cross-over secondWord=mode  currHeader=cross-over_mode_and_overlap method
index=11 pos=8/10 firstWord=exchange secondWord=mode  currHeader=exchange_mode_and_communication method
index=12 pos=9/10 firstWord=quality secondWord=and  currHeader=quality_and_batch_communication method
index=13 pos=10/10 firstWord=conclusion secondWord=null  currHeader=conclusion conclusions
index=14 pos=10/10 firstWord=references secondWord=null  currHeader=references references

index=0 pos=0/10 firstWord=abstract secondWord=null  currHeader=abstract abstract
index=1 pos=1/10 firstWord=categories secondWord=and  currHeader=categories_and_subject_descriptors categories_and_subject_descriptors
index=2 pos=2/10 firstWord=general secondWord=terms  currHeader=general_terms general_terms
index=4 pos=4/10 firstWord=introduction secondWord=null  currHeader=introduction introduction
index=5 pos=4/10 firstWord=experimental secondWord=setup  currHeader=experimental_setup method
index=6 pos=5/10 firstWord=story secondWord=link  currHeader=story_link_detection method
index=7 pos=6/10 firstWord=topic secondWord=tracking  currHeader=topic_tracking method
index=8 pos=7/10 firstWord=on-topic secondWord=native  currHeader=on-topic_native_centroids method
index=9 pos=7/10 firstWord=adaptation secondWord=threshold  currHeader=adaptation_threshold method
index=10 pos=8/10 firstWord=improving secondWord=native  currHeader=improving_native_topic_models method
index=11 pos=9/10 firstWord=conclusions secondWord=null  currHeader=conclusions conclusions
index=12 pos=10/10 firstWord=acknowledgments secondWord=null  currHeader=acknowledgments acknowledgments
index=13 pos=10/10 firstWord=references secondWord=null  currHeader=references references

index=0 pos=0/10 firstWord=abstract secondWord=null  currHeader=abstract abstract
index=1 pos=1/10 firstWord=categories secondWord=and  currHeader=categories_and_subject_descriptors categories_and_subject_descriptors
index=2 pos=2/10 firstWord=general secondWord=terms  currHeader=general_terms general_terms
index=4 pos=4/10 firstWord=introduction secondWord=null  currHeader=introduction introduction
index=5 pos=5/10 firstWord=sparce secondWord=overview  currHeader=sparce_overview method
index=6 pos=6/10 firstWord=bi-level secondWord=query  currHeader=bi-level_query_system method
index=7 pos=7/10 firstWord=discussion secondWord=null  currHeader=discussion discussions
index=8 pos=8/10 firstWord=related secondWord=work  currHeader=related_work related_works
index=9 pos=9/10 firstWord=summary secondWord=null  currHeader=summary conclusions
index=10 pos=10/10 firstWord=acknowledgments secondWord=null  currHeader=acknowledgments acknowledgments
