A. . A A. A. A. . A. A. A. a singleCap nonNum 32 no no no no no publisherName possibleEditors 0 stopPunct author
Cau, , C Ca Cau Cau, , u, au, Cau, cau InitCap nonNum 0 no no no no no no possibleEditors 0 contPunct author
R. . R R. R. R. . R. R. R. r singleCap nonNum 0 no no no no no no possibleEditors 0 stopPunct author
Kuiper, , K Ku Kui Kuip , r, er, per, kuiper InitCap nonNum 4 no no lastName no no no possibleEditors 0 contPunct author
and a a an and and d nd and and and others nonNum 0 no no no no no no possibleEditors 1 others author
W.-P. . W W. W.- W.-P . P. -P. .-P. wp AllCap nonNum 0 no no no no no no possibleEditors 1 stopPunct author
de a d de de de e de de de de others nonNum 2 no femaleName no no no no possibleEditors 1 others author
Roever. . R Ro Roe Roev . r. er. ver. roever InitCap nonNum 4 no no lastName no no no possibleEditors 2 stopPunct author
Formalising a F Fo For Form g ng ing sing formalising InitCap nonNum 0 no no no no no no possibleEditors 2 others title
Dijkstra's a D Di Dij Dijk s 's a's ra's dijkstras InitCap nonNum 0 no no no no no no possibleEditors 2 others title
development a d de dev deve t nt ent ment development others nonNum 0 no no no no no no possibleEditors 2 others title
strategy a s st str stra y gy egy tegy strategy others nonNum 0 no no no no no no possibleEditors 3 others title
within a w wi wit with n in hin thin within others nonNum 0 no no no no no no possibleEditors 3 others title
Stark's a S St Sta Star s 's k's rk's starks InitCap nonNum 4 no no lastName no no no possibleEditors 3 others title
formalism. . f fo for form . m. sm. ism. formalism others nonNum 0 no no no no no no possibleEditors 4 stopPunct title
In a I In In In n In In In in InitCap nonNum 4 no no lastName no no no possibleEditors 4 others editor
C. . C C. C. C. . C. C. C. c singleCap nonNum 0 no no no no no no possibleEditors 4 stopPunct editor
B. . B B. B. B. . B. B. B. b singleCap nonNum 32 no no no no no publisherName possibleEditors 4 stopPunct editor
Jones, , J Jo Jon Jone , s, es, nes, jones InitCap nonNum 20 no no lastName no placeName no possibleEditors 5 contPunct editor
R. . R R. R. R. . R. R. R. r singleCap nonNum 0 no no no no no no possibleEditors 5 stopPunct editor
