Alon,|||U.,|||Barkai,|||N.,|||et|||al.|||(1999):|||Broad|||patterns|||of|||gene normal hasYear noLongAuthorLine other TOKEN-Alon, A Al Alo Alon , n, on, lon, InitCap nonNum 1 maleName no no no no no TOKEN-U., U U. U., U., , ., U., U., singleCap nonNum 0 no no no no no no TOKEN-gene g ge gen gene e ne ene gene others nonNum 7 maleName femaleName lastName no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new parsCit_begin
expression|||revealed|||by|||clustering|||analysis|||of|||tumor|||and normal noYear noLongAuthorLine other TOKEN-expression e ex exp expr n on ion sion others nonNum 0 no no no no no no TOKEN-revealed r re rev reve d ed led aled others nonNum 0 no no no no no no TOKEN-and a an and and d nd and and others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_continue
normal|||colon|||tissues|||probed|||by|||oligonucleotide|||arrays. normal noYear noLongAuthorLine period TOKEN-normal n no nor norm l al mal rmal others nonNum 16 no no no no placeName no TOKEN-colon c co col colo n on lon olon others nonNum 20 no no lastName no placeName no TOKEN-arrays. a ar arr arra . s. ys. ays. others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_continue
Proc.|||of|||the|||Natl.|||Acad.|||of|||Sci.|||USA,96:6745-6750. normal noYear noLongAuthorLine period TOKEN-Proc. P Pr Pro Proc . c. oc. roc. InitCap nonNum 0 no no no no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName TOKEN-USA,96:6745-6750. U US USA USA, . 0. 50. 750. others possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_yes xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_end
Arkin,|||A.,|||Shen,|||P.|||and|||Ross,|||J.|||(1997):|||A|||test|||case|||of normal hasYear noLongAuthorLine other TOKEN-Arkin, A Ar Ark Arki , n, in, kin, InitCap nonNum 4 no no lastName no no no TOKEN-A., A A. A., A., , ., A., A., singleCap nonNum 32 no no no no no publisherName TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new parsCit_begin
correlation|||metric|||construction|||of|||a|||reaction|||pathway normal noYear noLongAuthorLine other TOKEN-correlation c co cor corr n on ion tion others nonNum 0 no no no no no no TOKEN-metric m me met metr c ic ric tric others nonNum 0 no no no no no no TOKEN-pathway p pa pat path y ay way hway others nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_continue
from|||measurements.|||Science,277:1275-1279. normal hasYear noLongAuthorLine period TOKEN-from f fr fro from m om rom from others nonNum 4 no no lastName no no no TOKEN-measurements. m me mea meas . s. ts. nts. others nonNum 0 no no no no no no TOKEN-Science,277:1275-1279. S Sc Sci Scie . 9. 79. 279. InitCap possiblePage 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_end
Beale,|||H.|||D.|||(1996):|||Neural|||Network|||Design.1-47,|||PWS normal hasYear noLongAuthorLine other TOKEN-Beale, B Be Bea Beal , e, le, ale, InitCap nonNum 5 maleName no lastName no no no TOKEN-H. H H. H. H. . H. H. H. singleCap nonNum 0 no no no no no no TOKEN-PWS P PW PWS PWS S WS PWS PWS AllCap nonNum 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_new parsCit_begin
Publish|||Company. short noYear noLongAuthorLine period TOKEN-Publish P Pu Pub Publ h sh ish lish InitCap nonNum 0 no no no no no no TOKEN-Company. C Co Com Comp . y. ny. any. InitCap nonNum 32 no no no no no publisherName TOKEN-Company. C Co Com Comp . y. ny. any. InitCap nonNum 32 no no no no no publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_end
Ben-Dor,|||A.,|||Shamir,|||R.|||and|||Yakhini,|||Z.|||(1999): normal hasYear noLongAuthorLine colon TOKEN-Ben-Dor, B Be Ben Ben- , r, or, Dor, InitCap nonNum 0 no no no no no no TOKEN-A., A A. A., A., , ., A., A., singleCap nonNum 32 no no no no no publisherName TOKEN-(1999): ( (1 (19 (199 : ): 9): 99): others year 0 no no no no no no xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_left xmlPara_new parsCit_begin
Clustering|||gene|||expression|||patterns.|||Journal|||of normal noYear noLongAuthorLine other TOKEN-Clustering C Cl Clu Clus g ng ing ring InitCap nonNum 0 no no no no no no TOKEN-gene g ge gen gene e ne ene gene others nonNum 7 maleName femaleName lastName no no no TOKEN-of o of of of f of of of others nonNum 48 no no no no placeName publisherName xmlBullet_no xmlBold_no xmlItalic_no xmlFontSize_normal xmlBeginLine_normal xmlPara_continue parsCit_continue
