title ||| Exploiting Heterogeneous Treebanks for Parsing
author ||| Zheng-Yu Niu, Haifeng Wang, Hua Wu
affiliation ||| Toshiba (China) Research and Development Center
address ||| 5/F., Tower W2, Oriental Plaza, Beijing, 100738, China
email ||| {niuzhengyu,wanghaifeng,wuhua}@rdc.toshiba.com.cn
sectionHeader ||| Abstract
bodyText ||| We address the issue of using heteroge-
bodyText ||| neous treebanks for parsing by breaking
bodyText ||| it down into two sub-problems, convert-
bodyText ||| ing grammar formalisms of the treebanks
bodyText ||| to the same one, and parsing on these
bodyText ||| homogeneous treebanks. First we pro-
bodyText ||| pose to employ an iteratively trained tar-
bodyText ||| get grammar parser to perform grammar
bodyText ||| formalism conversion, eliminating prede-
bodyText ||| fined heuristic rules as required in previ-
bodyText ||| ous methods. Then we provide two strate-
bodyText ||| gies to refine conversion results, and adopt
bodyText ||| a corpus weighting technique for parsing
bodyText ||| on homogeneous treebanks. Results on the
bodyText ||| Penn Treebank show that our conversion
bodyText ||| method achieves 42% error reduction over
bodyText ||| the previous best result. Evaluation on
bodyText ||| the Penn Chinese Treebank indicates that a
bodyText ||| converted dependency treebank helps con-
bodyText ||| stituency parsing and the use of unlabeled
bodyText ||| data by self-training further increases pars-
bodyText ||| ing f-score to 85.2%, resulting in 6% error
bodyText ||| reduction over the previous best result.
sectionHeader ||| 1 Introduction
bodyText ||| The last few decades have seen the emergence of
bodyText ||| multiple treebanks annotated with different gram-
bodyText ||| mar formalisms, motivated by the diversity of lan-
bodyText ||| guages and linguistic theories, which is crucial to
bodyText ||| the success of statistical parsing (Abeille et al.,
bodyText ||| 2000; Brants et al., 1999; Bohmova et al., 2003;
bodyText ||| Han et al., 2002; Kurohashi and Nagao, 1998;
bodyText ||| Marcus et al., 1993; Moreno et al., 2003; Xue et
bodyText ||| al., 2005). Availability of multiple treebanks cre-
bodyText ||| ates a scenario where we have a treebank anno-
bodyText ||| tated with one grammar formalism, and another
bodyText ||| treebank annotated with another grammar formal-
bodyText ||| ism that we are interested in. We call the first
bodyText ||| a source treebank, and the second a target tree-
bodyText ||| bank. We thus encounter a problem of how to
bodyText ||| use these heterogeneous treebanks for target gram-
bodyText ||| mar parsing. Here heterogeneous treebanks refer
bodyText ||| to two or more treebanks with different grammar
bodyText ||| formalisms, e.g., one treebank annotated with de-
bodyText ||| pendency structure (DS) and the other annotated
bodyText ||| with phrase structure (PS).
bodyText ||| It is important to acquire additional labeled data
bodyText ||| for the target grammar parsing through exploita-
bodyText ||| tion of existing source treebanks since there is of-
bodyText ||| ten a shortage of labeled data. However, to our
bodyText ||| knowledge, there is no previous study on this is-
bodyText ||| sue.
bodyText ||| Recently there have been some works on us-
bodyText ||| ing multiple treebanks for domain adaptation of
bodyText ||| parsers, where these treebanks have the same
bodyText ||| grammar formalism (McClosky et al., 2006b;
bodyText ||| Roark and Bacchiani, 2003). Other related works
bodyText ||| focus on converting one grammar formalism of a
bodyText ||| treebank to another and then conducting studies on
bodyText ||| the converted treebank (Collins et al., 1999; Forst,
bodyText ||| 2003; Wang et al., 1994; Watkinson and Manand-
bodyText ||| har, 2001). These works were done either on mul-
bodyText ||| tiple treebanks with the same grammar formalism
bodyText ||| or on only one converted treebank. We see that
bodyText ||| their scenarios are different from ours as we work
bodyText ||| with multiple heterogeneous treebanks.
bodyText ||| For the use of heterogeneous treebanks1, we
bodyText ||| propose a two-step solution: (1) converting the
bodyText ||| grammar formalism of the source treebank to the
bodyText ||| target one, (2) refining converted trees and using
bodyText ||| them as additional training data to build a target
bodyText ||| grammar parser.
bodyText ||| For grammar formalism conversion, we choose
bodyText ||| the DS to PS direction for the convenience of the
bodyText ||| comparison with existing works (Xia and Palmer,
bodyText ||| 2001; Xia et al., 2008). Specifically, we assume
bodyText ||| that the source grammar formalism is dependency
footnote ||| 1Here we assume the existence of two treebanks.
page ||| 46
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 46â54,
note ||| Suntec, Singapore, 2-7 August 2009. cï¿½2009 ACL and AFNLP
bodyText ||| grammar, and the target grammar formalism is
bodyText ||| phrase structure grammar.
bodyText ||| Previous methods for DS to PS conversion
bodyText ||| (Collins et al., 1999; Covington, 1994; Xia and
bodyText ||| Palmer, 2001; Xia et al., 2008) often rely on pre-
bodyText ||| defined heuristic rules to eliminate converison am-
bodyText ||| biguity, e.g., minimal projection for dependents,
bodyText ||| lowest attachment position for dependents, and the
bodyText ||| selection of conversion rules that add fewer num-
bodyText ||| ber of nodes to the converted tree. In addition, the
bodyText ||| validity of these heuristic rules often depends on
bodyText ||| their target grammars. To eliminate the heuristic
bodyText ||| rules as required in previous methods, we propose
bodyText ||| to use an existing target grammar parser (trained
bodyText ||| on the target treebank) to generate N-best parses
bodyText ||| for each sentence in the source treebank as conver-
bodyText ||| sion candidates, and then select the parse consis-
bodyText ||| tent with the structure of the source tree as the con-
bodyText ||| verted tree. Furthermore, we attempt to use con-
bodyText ||| verted trees as additional training data to retrain
bodyText ||| the parser for better conversion candidates. The
bodyText ||| procedure of tree conversion and parser retraining
bodyText ||| will be run iteratively until a stopping condition is
bodyText ||| satisfied.
bodyText ||| Since some converted trees might be imper-
bodyText ||| fect from the perspective of the target grammar,
