title ||| Topological Field Parsing of German
author ||| Jackie Chi Kit Cheung
affiliation ||| Department of Computer Science
affiliation ||| University of Toronto
address ||| Toronto, ON, M5S 3G4, Canada
email ||| jcheung@cs.toronto.edu
author ||| Gerald Penn
affiliation ||| Department of Computer Science
affiliation ||| University of Toronto
address ||| Toronto, ON, M5S 3G4, Canada
email ||| gpenn@cs.toronto.edu
sectionHeader ||| Abstract
bodyText ||| Freer-word-order languages such as Ger-
bodyText ||| man exhibit linguistic phenomena that
bodyText ||| present unique challenges to traditional
bodyText ||| CFG parsing. Such phenomena produce
bodyText ||| discontinuous constituents, which are not
bodyText ||| naturally modelled by projective phrase
bodyText ||| structure trees. In this paper, we exam-
bodyText ||| ine topological field parsing, a shallow
bodyText ||| form of parsing which identifies the ma-
bodyText ||| jor sections of a sentence in relation to
bodyText ||| the clausal main verb and the subordinat-
bodyText ||| ing heads. We report the results of topo-
bodyText ||| logical field parsing of German using the
bodyText ||| unlexicalized, latent variable-based Berke-
bodyText ||| ley parser (Petrov et al., 2006) Without
bodyText ||| any language- or model-dependent adapta-
bodyText ||| tion, we achieve state-of-the-art results on
bodyText ||| the TÂ¨uBa-D/Z corpus, and a modified NE-
bodyText ||| GRA corpus that has been automatically
bodyText ||| annotated with topological fields (Becker
bodyText ||| and Frank, 2002). We also perform a qual-
bodyText ||| itative error analysis of the parser output,
bodyText ||| and discuss strategies to further improve
bodyText ||| the parsing results.
sectionHeader ||| 1 Introduction
bodyText ||| Freer-word-order languages such as German ex-
bodyText ||| hibit linguistic phenomena that present unique
bodyText ||| challenges to traditional CFG parsing. Topic focus
bodyText ||| ordering and word order constraints that are sen-
bodyText ||| sitive to phenomena other than grammatical func-
bodyText ||| tion produce discontinuous constituents, which are
bodyText ||| not naturally modelled by projective (i.e., with-
bodyText ||| out crossing branches) phrase structure trees. In
bodyText ||| this paper, we examine topological field parsing, a
bodyText ||| shallow form of parsing which identifies the ma-
bodyText ||| jor sections of a sentence in relation to the clausal
bodyText ||| main verb and subordinating heads, when present.
bodyText ||| We report the results of parsing German using
bodyText ||| the unlexicalized, latent variable-based Berkeley
bodyText ||| parser (Petrov et al., 2006). Without any language-
bodyText ||| or model-dependent adaptation, we achieve state-
bodyText ||| of-the-art results on the TÂ¨uBa-D/Z corpus (Telljo-
bodyText ||| hann et al., 2004), with a Fl-measure of 95.15%
bodyText ||| using gold POS tags. A further reranking of
bodyText ||| the parser output based on a constraint involv-
bodyText ||| ing paired punctuation produces a slight additional
bodyText ||| performance gain. To facilitate comparison with
bodyText ||| previous work, we also conducted experiments on
bodyText ||| a modified NEGRA corpus that has been automat-
bodyText ||| ically annotated with topological fields (Becker
bodyText ||| and Frank, 2002), and found that the Berkeley
bodyText ||| parser outperforms the method described in that
bodyText ||| work. Finally, we perform a qualitative error anal-
bodyText ||| ysis of the parser output on the TÂ¨uBa-D/Z corpus,
bodyText ||| and discuss strategies to further improve the pars-
bodyText ||| ing results.
bodyText ||| German syntax and parsing have been studied
bodyText ||| using a variety of grammar formalisms. Hocken-
bodyText ||| maier (2006) has translated the German TIGER
bodyText ||| corpus (Brants et al., 2002) into a CCG-based
bodyText ||| treebank to model word order variations in Ger-
bodyText ||| man. Foth et al. (2004) consider a version of de-
bodyText ||| pendency grammars known as weighted constraint
bodyText ||| dependency grammars for parsing German sen-
bodyText ||| tences. On the NEGRA corpus (Skut et al., 1998),
bodyText ||| they achieve an accuracy of 89.0% on parsing de-
bodyText ||| pendency edges. In Callmeier (2000), a platform
bodyText ||| for efficient HPSG parsing is developed. This
bodyText ||| parser is later extended by Frank et al. (2003)
bodyText ||| with a topological field parser for more efficient
bodyText ||| parsing of German. The system by Rohrer and
bodyText ||| Forst (2006) produces LFG parses using a manu-
bodyText ||| ally designed grammar and a stochastic parse dis-
bodyText ||| ambiguation process. They test on the TIGER cor-
bodyText ||| pus and achieve an Fl-measure of 84.20%. In
bodyText ||| Dubey and Keller (2003), PCFG parsing of NE-
bodyText ||| GRA is improved by using sister-head dependen-
bodyText ||| cies, which outperforms standard head lexicaliza-
bodyText ||| tion as well as an unlexicalized model. The best
page ||| 64
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 64â72,
note ||| Suntec, Singapore, 2-7 August 2009. cï¿½2009 ACL and AFNLP
bodyText ||| performing model with gold tags achieve an F1
bodyText ||| of 75.60%. Sister-head dependencies are useful in
bodyText ||| this case because of the flat structure of NEGRAâs
bodyText ||| trees.
bodyText ||| In contrast to the deeper approaches to parsing
bodyText ||| described above, topological field parsing identi-
bodyText ||| fies the major sections of a sentence in relation
bodyText ||| to the clausal main verb and subordinating heads,
bodyText ||| when present. Like other forms of shallow pars-
bodyText ||| ing, topological field parsing is useful as the first
bodyText ||| stage to further processing and eventual seman-
bodyText ||| tic analysis. As mentioned above, the output of
bodyText ||| a topological field parser is used as a guide to
bodyText ||| the search space of a HPSG parsing algorithm in
bodyText ||| Frank et al. (2003). In Neumann et al. (2000),
bodyText ||| topological field parsing is part of a divide-and-
bodyText ||| conquer strategy for shallow analysis of German
bodyText ||| text with the goal of improving an information ex-
bodyText ||| traction system.
bodyText ||| Existing work in identifying topological fields
bodyText ||| can be divided into chunkers, which identify the
bodyText ||| lowest-level non-recursive topological fields, and
bodyText ||| parsers, which also identify sentence and clausal
bodyText ||| structure.
bodyText ||| Veenstra et al. (2002) compare three approaches
bodyText ||| to topological field chunking based on finite state
bodyText ||| transducers, memory-based learning, and PCFGs
bodyText ||| respectively. It is found that the three techniques
bodyText ||| perform about equally well, with F1 of 94.1% us-
bodyText ||| ing POS tags from the TnT tagger, and 98.4% with
bodyText ||| gold tags. In Liepert (2003), a topological field
bodyText ||| chunker is implemented using a multi-class ex-
bodyText ||| tension to the canonically two-class support vec-
bodyText ||| tor machine (SVM) machine learning framework.
bodyText ||| Parameters to the machine learning algorithm are
bodyText ||| fine-tuned by a genetic search algorithm, with a
bodyText ||| resulting F1-measure of 92.25%. Training the pa-
bodyText ||| rameters to SVM does not have a large effect on
bodyText ||| performance, increasing the F1-measure in the test
bodyText ||| set by only 0.11%.
bodyText ||| The corpus-based, stochastic topological field
bodyText ||| parser of Becker and Frank (2002) is based on
bodyText ||| a standard treebank PCFG model, in which rule
