title ||| Reinforcement Learning for Mapping Instructions to Actions
author ||| S.R.K. Branavan, Harr Chen, Luke S. Zettlemoyer, Regina Barzilay
affiliation ||| Computer Science and Artificial Intelligence Laboratory
affiliation ||| Massachusetts Institute of Technology
email ||| {branavan, harr, lsz, regina}@csail.mit.edu
sectionHeader ||| Abstract
bodyText ||| In this paper, we present a reinforce-
bodyText ||| ment learning approach for mapping nat-
bodyText ||| ural language instructions to sequences of
bodyText ||| executable actions. We assume access to
bodyText ||| a reward function that defines the qual-
bodyText ||| ity of the executed actions. During train-
bodyText ||| ing, the learner repeatedly constructs ac-
bodyText ||| tion sequences for a set of documents, ex-
bodyText ||| ecutes those actions, and observes the re-
bodyText ||| sulting reward. We use a policy gradient
bodyText ||| algorithm to estimate the parameters of a
bodyText ||| log-linear model for action selection. We
bodyText ||| apply our method to interpret instructions
bodyText ||| in two domains â Windows troubleshoot-
bodyText ||| ing guides and game tutorials. Our results
bodyText ||| demonstrate that this method can rival su-
bodyText ||| pervised learning techniques while requir-
bodyText ||| ing few or no annotated training exam-
bodyText ||| ples.1
sectionHeader ||| 1 Introduction
bodyText ||| The problem of interpreting instructions written
bodyText ||| in natural language has been widely studied since
bodyText ||| the early days of artificial intelligence (Winograd,
bodyText ||| 1972; Di Eugenio, 1992). Mapping instructions to
bodyText ||| a sequence of executable actions would enable the
bodyText ||| automation of tasks that currently require human
bodyText ||| participation. Examples include configuring soft-
bodyText ||| ware based on how-to guides and operating simu-
bodyText ||| lators using instruction manuals. In this paper, we
bodyText ||| present a reinforcement learning framework for in-
bodyText ||| ducing mappings from text to actions without the
bodyText ||| need for annotated training examples.
bodyText ||| For concreteness, consider instructions from a
bodyText ||| Windows troubleshooting guide on deleting tem-
bodyText ||| porary folders, shown in Figure 1. We aim to map
footnote ||| 1Code, data, and annotations used in this work are avail-
footnote ||| able at http://groups.csail.mit.edu/rbg/code/rl/
figureCaption ||| Figure 1: A Windows troubleshooting article de-
figureCaption ||| scribing how to remove the âmsdownld.tmpâ tem-
figureCaption ||| porary folder.
bodyText ||| this text to the corresponding low-level commands
bodyText ||| and parameters. For example, properly interpret-
bodyText ||| ing the third instruction requires clicking on a tab,
bodyText ||| finding the appropriate option in a tree control, and
bodyText ||| clearing its associated checkbox.
bodyText ||| In this and many other applications, the valid-
bodyText ||| ity of a mapping can be verified by executing the
bodyText ||| induced actions in the corresponding environment
bodyText ||| and observing their effects. For instance, in the
bodyText ||| example above we can assess whether the goal
bodyText ||| described in the instructions is achieved, i.e., the
bodyText ||| folder is deleted. The key idea of our approach
bodyText ||| is to leverage the validation process as the main
bodyText ||| source of supervision to guide learning. This form
bodyText ||| of supervision allows us to learn interpretations
bodyText ||| of natural language instructions when standard su-
bodyText ||| pervised techniques are not applicable, due to the
bodyText ||| lack of human-created annotations.
bodyText ||| Reinforcement learning is a natural framework
bodyText ||| for building models using validation from an envi-
bodyText ||| ronment (Sutton and Barto, 1998). We assume that
bodyText ||| supervision is provided in the form of a reward
bodyText ||| function that defines the quality of executed ac-
bodyText ||| tions. During training, the learner repeatedly con-
bodyText ||| structs action sequences for a set of given docu-
bodyText ||| ments, executes those actions, and observes the re-
bodyText ||| sulting reward. The learnerâs goal is to estimate a
page ||| 82
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 82â90,
note ||| Suntec, Singapore, 2-7 August 2009. cï¿½2009 ACL and AFNLP
bodyText ||| policy â a distribution over actions given instruc-
bodyText ||| tion text and environment state â that maximizes
bodyText ||| future expected reward. Our policy is modeled in a
bodyText ||| log-linear fashion, allowing us to incorporate fea-
bodyText ||| tures of both the instruction text and the environ-
bodyText ||| ment. We employ a policy gradient algorithm to
bodyText ||| estimate the parameters of this model.
bodyText ||| We evaluate our method on two distinct applica-
bodyText ||| tions: Windows troubleshooting guides and puz-
bodyText ||| zle game tutorials. The key findings of our ex-
bodyText ||| periments are twofold. First, models trained only
bodyText ||| with simple reward signals achieve surprisingly
bodyText ||| high results, coming within 11% of a fully su-
bodyText ||| pervised method in the Windows domain. Sec-
bodyText ||| ond, augmenting unlabeled documents with even
bodyText ||| a small fraction of annotated examples greatly re-
bodyText ||| duces this performance gap, to within 4% in that
bodyText ||| domain. These results indicate the power of learn-
bodyText ||| ing from this new form of automated supervision.
sectionHeader ||| 2 Related Work
bodyText ||| Grounded Language Acquisition Our work
bodyText ||| fits into a broader class of approaches that aim to
bodyText ||| learn language from a situated context (Mooney,
bodyText ||| 2008a; Mooney, 2008b; Fleischman and Roy,
bodyText ||| 2005; Yu and Ballard, 2004; Siskind, 2001; Oates,
bodyText ||| 2001). Instances of such approaches include
bodyText ||| work on inferring the meaning of words from
bodyText ||| video data (Roy and Pentland, 2002; Barnard and
bodyText ||| Forsyth, 2001), and interpreting the commentary
bodyText ||| of a simulated soccer game (Chen and Mooney,
bodyText ||| 2008). Most of these approaches assume some
bodyText ||| form of parallel data, and learn perceptual co-
bodyText ||| occurrence patterns. In contrast, our emphasis
bodyText ||| is on learning language by proactively interacting
bodyText ||| with an external environment.
bodyText ||| Reinforcement Learning for Language Pro-
bodyText ||| cessing Reinforcement learning has been previ-
bodyText ||| ously applied to the problem of dialogue manage-
bodyText ||| ment (Scheffler and Young, 2002; Roy et al., 2000;
bodyText ||| Litman et al., 2000; Singh et al., 1999). These
bodyText ||| systems converse with a human user by taking ac-
bodyText ||| tions that emit natural language utterances. The
bodyText ||| reinforcement learning state space encodes infor-
