title ||| A Frequency-based and a Poisson-based Definition of the
title ||| Probability of Being Informative
author ||| Thomas Roelleke
affiliation ||| Department of Computer Science
affiliation ||| Queen Mary University of London
email ||| thor@dcs.qmul.ac.uk
sectionHeader ||| ABSTRACT
bodyText ||| This paper reports on theoretical investigations about the
bodyText ||| assumptions underlying the inverse document frequency (idf ).
bodyText ||| We show that an intuitive idf-based probability function for
bodyText ||| the probability of a term being informative assumes disjoint
bodyText ||| document events. By assuming documents to be indepen-
bodyText ||| dent rather than disjoint, we arrive at a Poisson-based prob-
bodyText ||| ability of being informative. The framework is useful for
bodyText ||| understanding and deciding the parameter estimation and
bodyText ||| combination in probabilistic retrieval models.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.3.3 [Information Search and Retrieval]: Retrieval
category ||| models
sectionHeader ||| General Terms
keyword ||| Theory
sectionHeader ||| Keywords
keyword ||| Probabilistic information retrieval, inverse document fre-
keyword ||| quency (idf), Poisson distribution, information theory, in-
keyword ||| dependence assumption
sectionHeader ||| 1. INTRODUCTION AND BACKGROUND
bodyText ||| The inverse document frequency (idf) is one of the most
bodyText ||| successful parameters for a relevance-based ranking of re-
bodyText ||| trieved objects. With N being the total number of docu-
bodyText ||| ments, and n(t) being the number of documents in which
bodyText ||| term t occurs, the idf is defined as follows:
equation ||| idf(t) := −log n(tt) , 0 &lt;= idf(t) &lt; ∞
bodyText ||| Ranking based on the sum of the idf-values of the query
bodyText ||| terms that occur in the retrieved documents works well, this
bodyText ||| has been shown in numerous applications. Also, it is well
bodyText ||| known that the combination of a document-specific term
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| SIGIR’03, July 28–August 1, 2003, Toronto, Canada.
copyright ||| Copyright 2003 ACM 1-58113-646-3/03/0007 ...$5.00.
bodyText ||| weight and idf works better than idf alone. This approach
bodyText ||| is known as tf-idf, where tf(t, d) (0 &lt;= tf(t, d) &lt;= 1) is
bodyText ||| the so-called term frequency of term t in document d. The
bodyText ||| idf reflects the discriminating power (informativeness) of a
bodyText ||| term, whereas the tf reflects the occurrence of a term.
bodyText ||| The idf alone works better than the tf alone does. An ex-
bodyText ||| planation might be the problem of tf with terms that occur
bodyText ||| in many documents; let us refer to those terms as “noisy”
bodyText ||| terms. We use the notion of “noisy” terms rather than “fre-
bodyText ||| quent” terms since frequent terms leaves open whether we
bodyText ||| refer to the document frequency of a term in a collection or
bodyText ||| to the so-called term frequency (also referred to as within-
bodyText ||| document frequency) of a term in a document. We asso-
bodyText ||| ciate “noise” with the document frequency of a term in a
bodyText ||| collection, and we associate “occurrence” with the within-
bodyText ||| document frequency of a term. The tf of a noisy term might
bodyText ||| be high in a document, but noisy terms are not good candi-
bodyText ||| dates for representing a document. Therefore, the removal
bodyText ||| of noisy terms (known as “stopword removal”) is essential
bodyText ||| when applying tf. In a tf-idf approach, the removal of stop-
bodyText ||| words is conceptually obsolete, if stopwords are just words
bodyText ||| with a low idf.
bodyText ||| From a probabilistic point of view, tf is a value with a
bodyText ||| frequency-based probabilistic interpretation whereas idf has
bodyText ||| an “informative” rather than a probabilistic interpretation.
bodyText ||| The missing probabilistic interpretation of idf is a problem
bodyText ||| in probabilistic retrieval models where we combine uncertain
bodyText ||| knowledge of different dimensions (e.g.: informativeness of
bodyText ||| terms, structure of documents, quality of documents, age
bodyText ||| of documents, etc.) such that a good estimate of the prob-
bodyText ||| ability of relevance is achieved. An intuitive solution is a
bodyText ||| normalisation of idf such that we obtain values in the inter-
bodyText ||| val [0; 1]. For example, consider a normalisation based on
bodyText ||| the maximal idf-value. Let T be the set of terms occurring
bodyText ||| in a collection.
equation ||| Pf,Q (t is informative) :=  idf(t) 
equation ||| maxidf
equation ||| maxidf := max({idf(t)|t ∈ T}), maxidf &lt;= −log(1/N)
equation ||| minidf := min({idf(t)|t ∈ T}), minidf &gt;= 0
equation ||| minidf &lt; Pf,Q (t is informative) ≤ 1.0
equation ||| maxidf —
bodyText ||| This frequency-based probability function covers the interval
bodyText ||| [0; 1] if the minimal idf is equal to zero, which is the case
bodyText ||| if we have at least one term that occurs in all documents.
bodyText ||| Can we interpret Pf� Q , the normalised idf, as the probability
bodyText ||| that the term is informative?
