title ||| A Resilient Packet-Forwarding Scheme against Maliciously
title ||| Packet-Dropping Nodes in Sensor Networks
author ||| Suk-Bok Lee and Yoon-Hwa Choi
affiliation ||| Department of Computer Engineering
affiliation ||| Hongik University
address ||| 121-791 Seoul, Korea
email ||| {sblee, yhchoi}@cs.hongik.ac.kr
sectionHeader ||| ABSTRACT
bodyText ||| This paper focuses on defending against compromised nodes’
bodyText ||| dropping of legitimate reports and investigates the misbe-
bodyText ||| havior of a maliciously packet-dropping node in sensor net-
bodyText ||| works. We present a resilient packet-forwarding scheme us-
bodyText ||| ing Neighbor Watch System (NWS), specifically designed
bodyText ||| for hop-by-hop reliable delivery in face of malicious nodes
bodyText ||| that drop relaying packets, as well as faulty nodes that
bodyText ||| fail to relay packets. Unlike previous work with multipath
bodyText ||| data forwarding, our scheme basically employs single-path
bodyText ||| data forwarding, which consumes less power than multipath
bodyText ||| schemes. As the packet is forwarded along the single-path
bodyText ||| toward the base station, our scheme, however, converts into
bodyText ||| multipath data forwarding at the location where NWS de-
bodyText ||| tects relaying nodes’ misbehavior. Simulation experiments
bodyText ||| show that, with the help of NWS, our forwarding scheme
bodyText ||| achieves a high success ratio in face of a large number of
bodyText ||| packet-dropping nodes, and effectively adjusts its forwarding
bodyText ||| style, depending on the number of packet-dropping nodes
bodyText ||| en-route to the base station.
sectionHeader ||| Categories and Subject Descriptors
category ||| C.2.0 [Computer-Communication Networks]: General—
category ||| Security and protection
sectionHeader ||| General Terms
keyword ||| Security, Algorithm, Reliability
sectionHeader ||| Keywords
keyword ||| Sensor Network Security, Reliable Delivery, Packet-dropping
keyword ||| Attacks, Secure Routing
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Wireless sensor networks consist of hundreds or even thou-
bodyText ||| sands of small devices each with sensing, processing, and
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| SASN’06, October 30, 2006, Alexandria, Virginia, USA.
copyright ||| Copyright 2006 ACM 1-59593-554-1/06/0010 ...$5.00.
bodyText ||| communicating capabilities to monitor the real-world envi-
bodyText ||| ronment. They are envisioned to play an important role
bodyText ||| in a wide variety of areas ranging from critical military-
bodyText ||| surveillance applications to forest fire monitoring and the
bodyText ||| building security monitoring in the near future. In such a
bodyText ||| network, a large number of sensor nodes are distributed to
bodyText ||| monitor a vast field where the operational conditions are
bodyText ||| harsh or even hostile. To operate in such environments, se-
bodyText ||| curity is an important aspect for sensor networks and secu-
