title ||| A Two-Phase Sampling Technique for Information
title ||| Extraction from Hidden Web Databases
author ||| Y.L. Hedley, M. Younas, A. James
affiliation ||| School of Mathematical and Information Sciences
affiliation ||| Coventry University, Coventry CV1 5FB, UK
email ||| {y.hedley, m.younas, a.james}@coventry.ac.uk
email ||| ABSTRACT
bodyText ||| Hidden Web databases maintain a collection of specialised
bodyText ||| documents, which are dynamically generated in response to users’
bodyText ||| queries. However, the documents are generated by Web page
bodyText ||| templates, which contain information that is irrelevant to queries.
bodyText ||| This paper presents a Two-Phase Sampling (2PS) technique that
bodyText ||| detects templates and extracts query-related information from the
bodyText ||| sampled documents of a database. In the first phase, 2PS queries
bodyText ||| databases with terms contained in their search interface pages and
bodyText ||| the subsequently sampled documents. This process retrieves a
bodyText ||| required number of documents. In the second phase, 2PS detects
bodyText ||| Web page templates in the sampled documents in order to extract
bodyText ||| information relevant to queries. We test 2PS on a number of real-
bodyText ||| world Hidden Web databases. Experimental results demonstrate
bodyText ||| that 2PS effectively eliminates irrelevant information contained in
bodyText ||| Web page templates and generates terms and frequencies with
bodyText ||| improved accuracy.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.3.5 [Information Storage and Retrieval]: Online Information
category ||| Services – Web-based services.
sectionHeader ||| General Terms
keyword ||| Algorithms, Experimentation.
sectionHeader ||| Keywords
keyword ||| Hidden Web Databases, Document Sampling, Information
keyword ||| Extraction.
sectionHeader ||| 1. INTRODUCTION
bodyText ||| An increasing number of databases on the Web maintain a
bodyText ||| collection of documents such as archives, user manuals or news
bodyText ||| articles. These databases dynamically generate documents in
bodyText ||| response to users’ queries and are referred to as Hidden Web
bodyText ||| databases [5]. As the number of databases proliferates, it has
bodyText ||| become prohibitive for specialised search services (such as
bodyText ||| search.com) to evaluate databases individually in order to answer
bodyText ||| users’ queries.
bodyText ||| Current techniques such as database selection and categorisation
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that
copyright ||| copies bear this notice and the full citation on the first page. To copy
copyright ||| otherwise, or republish, to post on servers or to redistribute to lists,
copyright ||| requires prior specific permission and/or a fee.
note ||| WIDM’04, November 12–13, 2004, Washington, DC, USA.
copyright ||| Copyright 2004 ACM 1-58113-978-0/04/0011...$5.00.
copyright ||| M. Sanderson
affiliation ||| Department of Information Studies
affiliation ||| University of Sheffield, Sheffield, S1 4DP, UK
email ||| m.sanderson@sheffield.ac.uk
bodyText ||| have been employed to enhance the effectiveness of information
bodyText ||| retrieval from databases [2, 5, 10, 11, 15]. In the domain of the
bodyText ||| Hidden Web, knowledge about the contents of databases is often
bodyText ||| unavailable. Existing approaches such as in [2, 10, 15] acquire
bodyText ||| knowledge through sampling documents from databases. For
bodyText ||| instance, query-based sampling [2] queries databases with terms
bodyText ||| that are randomly selected from those contained in the sampled
bodyText ||| documents. The techniques in [10, 15] sample databases with
bodyText ||| terms obtained from Web logs to retrieve additional topic terms.
bodyText ||| A major issue associated with existing techniques is that they also
bodyText ||| extract information irrelevant to queries. That is, information
bodyText ||| extracted is often found in Web page templates, which contain
bodyText ||| navigation panels, search interfaces and advertisements.
bodyText ||| Consequently, the accuracy of terms and frequencies generated
bodyText ||| from sampled documents has been reduced.
bodyText ||| In addition, approximate string matching techniques are adopted
bodyText ||| by [13] to extract information from Web pages, but this approach
bodyText ||| is limited to textual contents only. Alternatively, the approaches
bodyText ||| proposed in [3, 4] analyse Web pages in tree-like structures.
bodyText ||| However, such an approach requires Web pages with well-
bodyText ||| conformed HTML tag trees. Furthermore, [3] discovers
bodyText ||| dynamically generated objects from Web pages, which are
bodyText ||| clustered into groups of similar structured pages based on a set of
bodyText ||| pre-defined templates, such as exception page templates and
bodyText ||| result page templates.
bodyText ||| In this paper, we propose a sampling and extraction technique,
bodyText ||| which is referred to as Two-Phase Sampling (2PS). 2PS aims to
bodyText ||| extract information relevant to queries in order to acquire
bodyText ||| information contents of underlying databases. Our technique is
bodyText ||| applied in two phases. First, it randomly selects a term from those
bodyText ||| found in the search interface pages of a database to initiate the
bodyText ||| process of sampling documents. Subsequently, 2PS queries the
bodyText ||| database with terms randomly selected from those contained in
bodyText ||| the sampled documents. Second, 2PS detects Web page templates
bodyText ||| and extracts query-related information from which terms and
bodyText ||| frequencies are generated to summarise the database contents.
bodyText ||| Our approach utilises information contained in search interface
bodyText ||| pages of a database to initiate the sampling process. This differs
bodyText ||| from current sampling techniques such as query-based sampling,
