title ||| Analysis of Soft Handover Measurements
title ||| in 3G Network
author ||| Kimmo Raivio
affiliation ||| Adaptive Informatics Research Centre
affiliation ||| Helsinki University of Technology
address ||| P.O. Box 5400, FIN-02015 HUT, Finland
email ||| kimmo.raivio@hut.fi
sectionHeader ||| ABSTRACT
bodyText ||| A neural network based clustering method for the analysis
bodyText ||| of soft handovers in 3G network is introduced. The method
bodyText ||| is highly visual and it could be utilized in explorative anal-
bodyText ||| ysis of mobile networks. In this paper, the method is used
bodyText ||| to find groups of similar mobile cell pairs in the sense of
bodyText ||| handover measurements. The groups or clusters found by
bodyText ||| the method are characterized by the rate of successful han-
bodyText ||| dovers as well as the causes of failing handover attempts.
bodyText ||| The most interesting clusters are those which represent cer-
bodyText ||| tain type of problems in handover attempts. By comparing
bodyText ||| variable histograms of a selected cluster to histograms of
bodyText ||| the whole data set an application domain expert may find
bodyText ||| some explanations on problems. Two clusters are investi-
bodyText ||| gated further and causes of failing handover attempts are
bodyText ||| discussed.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.4.3 [Information Systems Applications]: Communi-
category ||| cations Applications—Information browsers; I.5.3 [Pattern
category ||| Recognition]: Clustering
sectionHeader ||| General Terms
keyword ||| Algorithms, Management, Performance
sectionHeader ||| Keywords
keyword ||| 3G network, soft handover, mobility management, data min-
keyword ||| ing, hierarchical clustering, neural networks
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Mobility management is a great challenge in current and
bodyText ||| future radio access networks. In third generation (3G) net-
bodyText ||| works user experienced quality of service (QoS) under a
bodyText ||| move of mobile station (MS) from one mobile cell to an-
bodyText ||| other cell has been improved by implementing soft handover
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| MSWIM’06, October 2–6, 2006, Torremolinos, Malaga, Spain.
copyright ||| Copyright 2006 ACM 1-59593-477-4/06/0010 ...$5.00.
bodyText ||| (SHO). Soft handover makes it possible to have connections
bodyText ||| on several base stations (BS) simultaneously.
bodyText ||| In this paper, a set of measurements which can be used for
bodyText ||| soft handover decision making are analyzed and compared
bodyText ||| with other measurements in which statistics of successful-
bodyText ||| ness of handover attempts have been collected. We do not
bodyText ||| know exactly the parameters of used SHO algorithm. SHOs
bodyText ||| are investigated only on basis of data set and some general
bodyText ||| knowledge of 3G systems. Mobile cell pairs with handovers
bodyText ||| (HO) are divided in groups using clustering algorithm. Cell
bodyText ||| pairs in which SHOs are similar with each other fall in same
bodyText ||| group. Different types of SHO failures are analyzed using
bodyText ||| clustering information and distributions of measurements in
bodyText ||| each cluster.
bodyText ||| In Section 2 the soft handover concept, the measurements
bodyText ||| and used neural network algorithm are shortly introduced.
bodyText ||| Analysis methods which have been used are described in
bodyText ||| Section 3. Preliminary results are shown and discussed in
bodyText ||| Section 4. Finally, some conclusions are drawn in the last
bodyText ||| section.
sectionHeader ||| 2. BACKGROUND
