note ||| CHI 2008 Proceedings Â· Socio-Cultural Impact	April 5-10, 2008 Â· Florence, Italy
title ||| Ambient Social TV:
title ||| Drawing People into a Shared Experience
author ||| Gunnar Harboe, Crysta J. Metcalf, Frank Bentley,
author ||| Joe Tullio, Noel Massey, Guy Romano
affiliation ||| Motorola Labs
address ||| 1295 E. Algonquin Rd., Schaumburg, IL 60196
email ||| {gunnar.harboe, crysta.metcalf, f.bentley, joe.tullio, noel.massey, guy} @motorola.com
sectionHeader ||| ABSTRACT
bodyText ||| We examine how ambient displays can augment social
bodyText ||| television. Social TV 2 is an interactive television solution
bodyText ||| that incorporates two ambient displays to convey to
bodyText ||| participants an aggregate view of their friendsâ current TV-
bodyText ||| watching status. Social TV 2 also allows users to see which
bodyText ||| television shows friends and family are watching and send
bodyText ||| lightweight messages from within the TV-viewing
bodyText ||| experience. Through a two-week field study we found the
bodyText ||| ambient displays to be an integral part of the experience.
bodyText ||| We present the results of our field study with a discussion
bodyText ||| of the implications for future social systems in the home.
sectionHeader ||| Author Keywords
keyword ||| Social television, interactive television, social presence
keyword ||| awareness, ambient displays, field trial
sectionHeader ||| ACM Classification Keywords
keyword ||| H5.m. Information interfaces and presentation (e.g., HCI):
keyword ||| Miscellaneous.
sectionHeader ||| INTRODUCTION
bodyText ||| Although Internet use is gaining importance, TV watching
bodyText ||| is still the primary recreational activity of American adults,
bodyText ||| accounting for half of all leisure time [7]. Although there is
bodyText ||| great social potential in TV watching as a shared activity
bodyText ||| and a topic for conversation [20], at least half of all people
bodyText ||| usually watch alone [10].
bodyText ||| Many technologies coming out of the interactive television
bodyText ||| (iTV) field, such as Video-On-Demand and Personal Video
bodyText ||| Recorders (PVRs), focus on providing personalization and
bodyText ||| greater individual control. They cater to viewers as isolated
bodyText ||| individuals, and fragment audiences further [16].
bodyText ||| However, in recent years âsocial television,â the idea of
bodyText ||| using communication technology to connect TV viewers, in
bodyText ||| order to create remotely shared experiences around TV
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| CHI 2008, April 5â10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00
bodyText ||| content, has received much attention. Proponents of this
bodyText ||| idea see television as a social experience capable of
bodyText ||| reinforcing bonds in strong-tie relationships. TV
