note ||| 	Mobile Networks and Applications 9, 9–20, 2004 © 2004 Kluwer Academic Publishers. Manufactured in The Netherlands.
title ||| A Fair and Traffic Dependent Scheduling Algorithm for Bluetooth
title ||| Scatternets
author ||| ROHIT KAPOOR
affiliation ||| University of California, Los Angeles (UCLA), USA
author ||| ANDREA ZANELLA
affiliation ||| University of Padova, Italy
author ||| MARIO GERLA
affiliation ||| University of California, Los Angeles (UCLA), USA
bodyText ||| Abstract. The Bluetooth specification defines the notion of interconnected piconets, called scatternets, but does not define the actual
bodyText ||| mechanisms and algorithms necessary to set up and maintain them. The operation of a scatternet requires some Bluetooth units to be inter-
bodyText ||| piconet units (gateways), which need to time-division multiplex their presence among their piconets. This requires a scatternet-scheduling
bodyText ||| algorithm that can schedule the presence of these units in an efficient manner. In this paper, we propose a distributed scatternet-scheduling
bodyText ||| scheme that is implemented using the HOLD mode of Bluetooth and adapts to non-uniform and changing traffic. Another attribute of the
bodyText ||| scheme is that it results in fair allocation of bandwidth to each Bluetooth unit. This scheme provides an integrated solution for both intra-
bodyText ||| and inter-piconet scheduling, i.e., for polling of slaves and scheduling of gateways.
sectionHeader ||| Keywords: Bluetooth, scatternet, scheduling, fairness
sectionHeader ||| 1. Introduction
bodyText ||| The Bluetooth [10] technology was developed as a replace-
bodyText ||| ment of cables between electronic devices and this is perhaps
bodyText ||| its most obvious use. But, it is the ability of Bluetooth de-
bodyText ||| vices to form small networks called piconets that opens up a
bodyText ||| whole new arena for applications where information may be
bodyText ||| exchanged seamlessly among the devices in the piconet. Typ-
bodyText ||| ically, such a network, referred to as a PAN (Personal Area
bodyText ||| Network), consists of a mobile phone, laptop, palmtop, head-
bodyText ||| set, and other electronic devices that a person carries around
bodyText ||| in his every day life. The PAN may, from time to time, also
bodyText ||| include devices that are not carried along with the user, e.g.,
bodyText ||| an access point for Internet access or sensors located in a
bodyText ||| room. Moreover, devices from other PANs can also be in-
bodyText ||| terconnected to enable sharing of information.
bodyText ||| The networking capabilities of Bluetooth can be further
bodyText ||| enhanced by interconnecting piconets to form scatternets.
bodyText ||| This requires that some units be present in more than one pi-
bodyText ||| conet. These units, called gateways, need to time-division
bodyText ||| their presence among the piconets. An important issue with
bodyText ||| the gateways is that their presence in different piconets needs
bodyText ||| to be scheduled in an efficient manner. Moreover, since the
bodyText ||| gateway cannot receive information from more than one pi-
bodyText ||| conet at a time, there is a need to co-ordinate the presence of
bodyText ||| masters and gateways.
bodyText ||| Some previous work has looked at scheduling in a piconet
bodyText ||| [2,5] and also in a scatternet. In [4], the authors define a
bodyText ||| Rendezvous-Point based architecture for scheduling in a scat-
bodyText ||| ternet, which results in the gateway spending a fixed fraction
bodyText ||| of its time in each piconet. Such a fixed time-division of the
bodyText ||| gateway may clearly be inefficient since traffic is dynamic.
bodyText ||| In [9], the authors propose the Pseudo-Random Coordinated
bodyText ||| Scatternet Scheduling (PCSS) scheme in which Bluetooth
bodyText ||| nodes assign meeting points with their peers. The sequence
bodyText ||| of meeting points follows a pseudo-random process that leads
bodyText ||| to unique meeting points for different peers of a node. The
bodyText ||| intensity of these meeting points may be increased or de-
bodyText ||| creased according to the traffic intensity. This work presents
bodyText ||| performance results for various cases. In [11], a scatternet-
bodyText ||| scheduling algorithm based on the concept of a switch table,
bodyText ||| which can be dynamically adjusted based on traffic load, is
bodyText ||| presented. In [1], the authors present a credit-based schedul-
bodyText ||| ing scheme based on the SNIFF mode of Bluetooth, where
bodyText ||| credits may be reallocated to cater to changing traffic.
bodyText ||| Our scheduling scheme addresses the issues of fairness and
bodyText ||| utilization of bandwidth. Since Bluetooth is a low-bandwidth
bodyText ||| environment, it is important that bandwidth should be effi-
bodyText ||| ciently utilized. Also, since a low bandwidth can easily lead
bodyText ||| to starvation of flows, another metric we focus on is fairness.
bodyText ||| We propose a distributed scatternet-scheduling algorithm that
bodyText ||| is implemented using the HOLD mode [10] of Bluetooth
bodyText ||| and adapts to non-uniform and changing traffic. This algo-
bodyText ||| rithm provides an integrated solution for both intra- and inter-
bodyText ||| piconet scheduling, i.e., for polling of slaves and scheduling
bodyText ||| of gateways. The algorithm leads to a high bandwidth utiliza-
bodyText ||| tion and results in a fair division of (a) the piconet bandwidth
bodyText ||| between the slaves of a piconet and (b) the gateway presence
bodyText ||| among different piconets.
bodyText ||| In section 2, we discuss the Bluetooth technology. In
bodyText ||| section 3, we present a definition of fairness in the context
note ||| 10	R. KAPOOR ET AL.
figureCaption ||| Figure 1. Gateway may be viewed as a virtual master and masters as virtual
figureCaption ||| slaves.
bodyText ||| of Bluetooth scatternets, which takes into account intra- and
bodyText ||| inter-piconet max-min fairness. Section 4 describes the al-
bodyText ||| gorithm and proves its fairness property. Section 5 presents
bodyText ||| simulation results and section 6 presents the conclusions.
sectionHeader ||| 2. Bluetooth technology
bodyText ||| The Bluetooth system [3] operates in the worldwide un-
bodyText ||| licensed 2.4 GHz Industrial–Scientific–Medical (ISM) fre-
bodyText ||| quency band. To make the link robust to interference, it uses
bodyText ||| a Frequency Hopping (FH) technique with 79 radio carriers.
bodyText ||| It allows a raw data transmission rate of 1 Mbit/s.
