title ||| Unsupervised Argument Identification for Semantic Role Labeling
author ||| Omri Abend&apos; Roi Reichart2 Ari Rappoport&apos;
affiliation ||| &apos;Institute of Computer Science, 2ICNC
affiliation ||| Hebrew University of Jerusalem
email ||| {omria01|roiri|arir}@cs.huji.ac.il
sectionHeader ||| Abstract
bodyText ||| The task of Semantic Role Labeling
bodyText ||| (SRL) is often divided into two sub-tasks:
bodyText ||| verb argument identification, and argu-
bodyText ||| ment classification. Current SRL algo-
bodyText ||| rithms show lower results on the identifi-
bodyText ||| cation sub-task. Moreover, most SRL al-
bodyText ||| gorithms are supervised, relying on large
bodyText ||| amounts of manually created data. In
bodyText ||| this paper we present an unsupervised al-
bodyText ||| gorithm for identifying verb arguments,
bodyText ||| where the only type of annotation required
bodyText ||| is POS tagging. The algorithm makes use
bodyText ||| of a fully unsupervised syntactic parser,
bodyText ||| using its output in order to detect clauses
bodyText ||| and gather candidate argument colloca-
bodyText ||| tion statistics. We evaluate our algorithm
bodyText ||| on PropBank10, achieving a precision of
bodyText ||| 56%, as opposed to 47% of a strong base-
bodyText ||| line. We also obtain an 8% increase in
bodyText ||| precision for a Spanish corpus. This is
bodyText ||| the first paper that tackles unsupervised
bodyText ||| verb argument identification without using
bodyText ||| manually encoded rules or extensive lexi-
bodyText ||| cal or syntactic resources.
sectionHeader ||| 1 Introduction
bodyText ||| Semantic Role Labeling (SRL) is a major NLP
bodyText ||| task, providing a shallow sentence-level semantic
bodyText ||| analysis. SRL aims at identifying the relations be-
bodyText ||| tween the predicates (usually, verbs) in the sen-
bodyText ||| tence and their associated arguments.
bodyText ||| The SRL task is often viewed as consisting of
bodyText ||| two parts: argument identification (ARGID) and ar-
bodyText ||| gument classification. The former aims at identi-
bodyText ||| fying the arguments of a given predicate present
bodyText ||| in the sentence, while the latter determines the
bodyText ||| type of relation that holds between the identi-
bodyText ||| fied arguments and their corresponding predicates.
bodyText ||| The division into two sub-tasks is justified by
bodyText ||| the fact that they are best addressed using differ-
bodyText ||| ent feature sets (Pradhan et al., 2005). Perfor-
bodyText ||| mance in the ARGID stage is a serious bottleneck
bodyText ||| for general SRL performance, since only about
bodyText ||| 81% of the arguments are identified, while about
bodyText ||| 95% of the identified arguments are labeled cor-
bodyText ||| rectly (M`arquez et al., 2008).
bodyText ||| SRL is a complex task, which is reflected by the
bodyText ||| algorithms used to address it. A standard SRL al-
bodyText ||| gorithm requires thousands to dozens of thousands
bodyText ||| sentences annotated with POS tags, syntactic an-
bodyText ||| notation and SRL annotation. Current algorithms
bodyText ||| show impressive results but only for languages and
bodyText ||| domains where plenty of annotated data is avail-
bodyText ||| able, e.g., English newspaper texts (see Section 2).
bodyText ||| Results are markedly lower when testing is on a
bodyText ||| domain wider than the training one, even in En-
bodyText ||| glish (see the WSJ-Brown results in (Pradhan et
bodyText ||| al., 2008)).
bodyText ||| Only a small number of works that do not re-
bodyText ||| quire manually labeled SRL training data have
bodyText ||| been done (Swier and Stevenson, 2004; Swier and
bodyText ||| Stevenson, 2005; Grenager and Manning, 2006).
bodyText ||| These papers have replaced this data with the
bodyText ||| VerbNet (Kipper et al., 2000) lexical resource or
bodyText ||| a set of manually written rules and supervised
bodyText ||| parsers.
bodyText ||| A potential answer to the SRL training data bot-
bodyText ||| tleneck are unsupervised SRL models that require
bodyText ||| little to no manual effort for their training. Their
bodyText ||| output can be used either by itself, or as training
bodyText ||| material for modern supervised SRL algorithms.
bodyText ||| In this paper we present an algorithm for unsu-
bodyText ||| pervised argument identification. The only type of
bodyText ||| annotation required by our algorithm is POS tag-
page ||| 28
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 28â36,
note ||| Suntec, Singapore, 2-7 August 2009. cï¿½2009 ACL and AFNLP
bodyText ||| ging, which needs relatively little manual effort.
bodyText ||| The algorithm consists of two stages. As pre-
bodyText ||| processing, we use a fully unsupervised parser to
bodyText ||| parse each sentence. Initially, the set of possi-
bodyText ||| ble arguments for a given verb consists of all the
bodyText ||| constituents in the parse tree that do not contain
bodyText ||| that predicate. The first stage of the algorithm
bodyText ||| attempts to detect the minimal clause in the sen-
bodyText ||| tence that contains the predicate in question. Us-
bodyText ||| ing this information, it further reduces the possible
bodyText ||| arguments only to those contained in the minimal
bodyText ||| clause, and further prunes them according to their
bodyText ||| position in the parse tree. In the second stage we
bodyText ||| use pointwise mutual information to estimate the
bodyText ||| collocation strength between the arguments and
bodyText ||| the predicate, and use it to filter out instances of
bodyText ||| weakly collocating predicate argument pairs.
bodyText ||| We use two measures to evaluate the perfor-
bodyText ||| mance of our algorithm, precision and F-score.
bodyText ||| Precision reflects the algorithmâs applicability for
bodyText ||| creating training data to be used by supervised
bodyText ||| SRL models, while the standard SRL F-score mea-
bodyText ||| sures the modelâs performance when used by it-
bodyText ||| self. The first stage of our algorithm is shown to
bodyText ||| outperform a strong baseline both in terms of F-
bodyText ||| score and of precision. The second stage is shown
bodyText ||| to increase precision while maintaining a reason-
bodyText ||| able recall.
bodyText ||| We evaluated our model on sections 2-21 of
bodyText ||| Propbank. As is customary in unsupervised pars-
bodyText ||| ing work (e.g. (Seginer, 2007)), we bounded sen-
bodyText ||| tence length by 10 (excluding punctuation). Our
bodyText ||| first stage obtained a precision of 52.8%, which is
bodyText ||| more than 6% improvement over the baseline. Our
bodyText ||| second stage improved precision to nearly 56%, a
bodyText ||| 9.3% improvement over the baseline. In addition,
bodyText ||| we carried out experiments on Spanish (on sen-
bodyText ||| tences of length bounded by 15, excluding punctu-
bodyText ||| ation), achieving an increase of over 7.5% in pre-
bodyText ||| cision over the baseline. Our algorithm increases
bodyText ||| Fâscore as well, showing an 1.8% improvement
bodyText ||| over the baseline in English and a 2.2% improve-
bodyText ||| ment in Spanish.
bodyText ||| Section 2 reviews related work. In Section 3 we
bodyText ||| detail our algorithm. Sections 4 and 5 describe the
bodyText ||| experimental setup and results.
sectionHeader ||| 2 Related Work
bodyText ||| The advance of machine learning based ap-
bodyText ||| proaches in this field owes to the usage of large
bodyText ||| scale annotated corpora. English is the most stud-
bodyText ||| ied language, using the FrameNet (FN) (Baker et
bodyText ||| al., 1998) and PropBank (PB) (Palmer et al., 2005)
bodyText ||| resources. PB is a corpus well suited for evalu-
bodyText ||| ation, since it annotates every non-auxiliary verb
bodyText ||| in a real corpus (the WSJ sections of the Penn
bodyText ||| Treebank). PB is a standard corpus for SRL eval-
bodyText ||| uation and was used in the CoNLL SRL shared
bodyText ||| tasks of 2004 (Carreras and M`arquez, 2004) and
bodyText ||| 2005 (Carreras and M`arquez, 2005).
bodyText ||| Most work on SRL has been supervised, requir-
bodyText ||| ing dozens of thousands of SRL annotated train-
bodyText ||| ing sentences. In addition, most models assume
bodyText ||| that a syntactic representation of the sentence is
bodyText ||| given, commonly in the form of a parse tree, a de-
bodyText ||| pendency structure or a shallow parse. Obtaining
bodyText ||| these is quite costly in terms of required human
bodyText ||| annotation.
bodyText ||| The first work to tackle SRL as an indepen-
bodyText ||| dent task is (Gildea and Jurafsky, 2002), which
bodyText ||| presented a supervised model trained and evalu-
bodyText ||| ated on FrameNet. The CoNLL shared tasks of
bodyText ||| 2004 and 2005 were devoted to SRL, and stud-
bodyText ||| ied the influence of different syntactic annotations
bodyText ||| and domain changes on SRL results. Computa-
bodyText ||| tional Linguistics has recently published a special
bodyText ||| issue on the task (M`arquez et al., 2008), which
bodyText ||| presents state-of-the-art results and surveys the lat-
bodyText ||| est achievements and challenges in the field.
bodyText ||| Most approaches to the task use a multi-level
bodyText ||| approach, separating the task to an ARGID and an
bodyText ||| argument classification sub-tasks. They then use
bodyText ||| the unlabeled argument structure (without the se-
bodyText ||| mantic roles) as training data for the ARGID stage
bodyText ||| and the entire data (perhaps with other features)
bodyText ||| for the classification stage. Better performance
bodyText ||| is achieved on the classification, where state-
bodyText ||| of-the-art supervised approaches achieve about
bodyText ||| 81% F-score on the in-domain identification task,
bodyText ||| of which about 95% are later labeled correctly
bodyText ||| (M`arquez et al., 2008).
bodyText ||| There have been several exceptions to the stan-
bodyText ||| dard architecture described in the last paragraph.
bodyText ||| One suggestion poses the problem of SRL as a se-
bodyText ||| quential tagging of words, training an SVM clas-
bodyText ||| sifier to determine for each word whether it is in-
bodyText ||| side, outside or in the beginning of an argument
bodyText ||| (Hacioglu and Ward, 2003). Other works have in-
bodyText ||| tegrated argument classification and identification
bodyText ||| into one step (Collobert and Weston, 2007), while
bodyText ||| others went further and combined the former two
bodyText ||| along with parsing into a single model (Musillo
page ||| 29
bodyText ||| and Merlo, 2006).
bodyText ||| Work on less supervised methods has been
bodyText ||| scarce. Swier and Stevenson (2004) and Swier
bodyText ||| and Stevenson (2005) presented the first model
bodyText ||| that does not use an SRL annotated corpus. How-
bodyText ||| ever, they utilize the extensive verb lexicon Verb-
bodyText ||| Net, which lists the possible argument structures
bodyText ||| allowable for each verb, and supervised syntac-
bodyText ||| tic tools. Using VerbNet along with the output of
bodyText ||| a rule-based chunker (in 2004) and a supervised
bodyText ||| syntactic parser (in 2005), they spot instances in
bodyText ||| the corpus that are very similar to the syntactic
bodyText ||| patterns listed in VerbNet. They then use these as
bodyText ||| seed for a bootstrapping algorithm, which conse-
bodyText ||| quently identifies the verb arguments in the corpus
bodyText ||| and assigns their semantic roles.
bodyText ||| Another less supervised work is that
bodyText ||| of (Grenager and Manning, 2006), which presents
bodyText ||| a Bayesian network model for the argument
bodyText ||| structure of a sentence. They use EM to learn
bodyText ||| the modelâs parameters from unannotated data,
bodyText ||| and use this model to tag a test corpus. However,
bodyText ||| ARGID was not the task of that work, which dealt
bodyText ||| solely with argument classification. ARGID was
bodyText ||| performed by manually-created rules, requiring a
bodyText ||| supervised or manual syntactic annotation of the
bodyText ||| corpus to be annotated.
bodyText ||| The three works above are relevant but incom-
bodyText ||| parable to our work, due to the extensive amount
bodyText ||| of supervision (namely, VerbNet and a rule-based
bodyText ||| or supervised syntactic system) they used, both in
bodyText ||| detecting the syntactic structure and in detecting
bodyText ||| the arguments.
bodyText ||| Work has been carried out in a few other lan-
bodyText ||| guages besides English. Chinese has been studied
bodyText ||| in (Xue, 2008). Experiments on Catalan and Span-
bodyText ||| ish were done in SemEval 2007 (M`arquez et al.,
bodyText ||| 2007) with two participating systems. Attempts
bodyText ||| to compile corpora for German (Burdchardt et al.,
bodyText ||| 2006) and Arabic (Diab et al., 2008) are also un-
bodyText ||| derway. The small number of languages for which
bodyText ||| extensive SRL annotated data exists reflects the
bodyText ||| considerable human effort required for such en-
bodyText ||| deavors.
bodyText ||| Some SRL works have tried to use unannotated
bodyText ||| data to improve the performance of a base su-
bodyText ||| pervised model. Methods used include bootstrap-
bodyText ||| ping approaches (Gildea and Jurafsky, 2002; Kate
bodyText ||| and Mooney, 2007), where large unannotated cor-
bodyText ||| pora were tagged with SRL annotation, later to
bodyText ||| be used to retrain the SRL model. Another ap-
bodyText |||  proach used similarity measures either between
bodyText ||| verbs (Gordon and Swanson, 2007) or between
bodyText ||| nouns (Gildea and Jurafsky, 2002) to overcome
bodyText ||| lexical sparsity. These measures were estimated
bodyText ||| using statistics gathered from corpora augmenting
bodyText ||| the modelâs training data, and were then utilized
bodyText ||| to generalize across similar verbs or similar argu-
bodyText ||| ments.
bodyText ||| Attempts to substitute full constituency pars-
bodyText ||| ing by other sources of syntactic information have
bodyText ||| been carried out in the SRL community. Sugges-
bodyText ||| tions include posing SRL as a sequence labeling
bodyText ||| problem (M`arquez et al., 2005) or as an edge tag-
bodyText ||| ging problem in a dependency representation (Ha-
bodyText ||| cioglu, 2004). Punyakanok et al. (2008) provide
bodyText ||| a detailed comparison between the impact of us-
bodyText ||| ing shallow vs. full constituency syntactic infor-
bodyText ||| mation in an English SRL system. Their results
bodyText ||| clearly demonstrate the advantage of using full an-
bodyText ||| notation.
bodyText ||| The identification of arguments has also been
bodyText ||| carried out in the context of automatic subcatego-
bodyText ||| rization frame acquisition. Notable examples in-
bodyText ||| clude (Manning, 1993; Briscoe and Carroll, 1997;
bodyText ||| Korhonen, 2002) who all used statistical hypothe-
bodyText ||| sis testing to filter a parserâs output for arguments,
bodyText ||| with the goal of compiling verb subcategorization
bodyText ||| lexicons. However, these works differ from ours
bodyText ||| as they attempt to characterize the behavior of a
bodyText ||| verb type, by collecting statistics from various in-
bodyText ||| stances of that verb, and not to determine which
bodyText ||| are the arguments of specific verb instances.
bodyText ||| The algorithm presented in this paper performs
bodyText ||| unsupervised clause detection as an intermedi-
bodyText ||| ate step towards argument identification. Super-
bodyText ||| vised clause detection was also tackled as a sepa-
bodyText ||| rate task, notably in the CoNLL 2001 shared task
bodyText ||| (Tjong Kim Sang and D`ejean, 2001). Clause in-
bodyText ||| formation has been applied to accelerating a syn-
bodyText ||| tactic parser (Glaysher and Moldovan, 2006).
sectionHeader ||| 3 Algorithm
bodyText ||| In this section we describe our algorithm. It con-
bodyText ||| sists of two stages, each of which reduces the set
bodyText ||| of argument candidates, which a-priori contains all
bodyText ||| consecutive sequences of words that do not con-
bodyText ||| tain the predicate in question.
subsectionHeader ||| 3.1 Algorithm overview
bodyText ||| As pre-processing, we use an unsupervised parser
bodyText ||| that generates an unlabeled parse tree for each sen-
page ||| 30
bodyText ||| tence (Seginer, 2007). This parser is unique in that
bodyText ||| it is able to induce a bracketing (unlabeled pars-
bodyText ||| ing) from raw text (without even using POS tags)
bodyText ||| achieving state-of-the-art results. Since our algo-
bodyText ||| rithm uses millions to tens of millions sentences,
bodyText ||| we must use very fast tools. The parserâs high
bodyText ||| speed (thousands of words per second) enables us
bodyText ||| to process these large amounts of data.
bodyText ||| The only type of supervised annotation we
bodyText ||| use is POS tagging. We use the taggers MX-
bodyText ||| POST (Ratnaparkhi, 1996) for English and Tree-
bodyText ||| Tagger (Schmid, 1994) for Spanish, to obtain POS
bodyText ||| tags for our model.
bodyText ||| The first stage of our algorithm uses linguisti-
bodyText ||| cally motivated considerations to reduce the set of
bodyText ||| possible arguments. It does so by confining the set
bodyText ||| of argument candidates only to those constituents
bodyText ||| which obey the following two restrictions. First,
bodyText ||| they should be contained in the minimal clause
bodyText ||| containing the predicate. Second, they should be
bodyText ||| k-th degree cousins of the predicate in the parse
bodyText ||| tree. We propose a novel algorithm for clause de-
bodyText ||| tection and use its output to determine which of
bodyText ||| the constituents obey these two restrictions.
bodyText ||| The second stage of the algorithm uses point-
bodyText ||| wise mutual information to rule out constituents
bodyText ||| that appear to be weakly collocating with the pred-
bodyText ||| icate in question. Since a predicate greatly re-
bodyText ||| stricts the type of arguments with which it may
bodyText ||| appear (this is often referred to as âselectional re-
bodyText ||| strictionsâ), we expect it to have certain character-
bodyText ||| istic arguments with which it is likely to collocate.
subsectionHeader ||| 3.2 Clause detection stage
bodyText ||| The main idea behind this stage is the observation
bodyText ||| that most of the arguments of a predicate are con-
bodyText ||| tained within the minimal clause that contains the
bodyText ||| predicate. We tested this on our development data
bodyText ||| â section 24 of the WSJ PTB, where we saw that
bodyText ||| 86% of the arguments that are also constituents
