title ||| 2-Source Dispersers for Sub-Polynomial Entropy and
title ||| Ramsey Graphs Beating the Frankl-Wilson Construction
none ||| ∗
author ||| Boaz Barak
affiliation ||| Department of Computer Science
affiliation ||| Princeton University
email ||| boaz@cs.princeton.edu
author ||| Ronen Shaltiel ‡
affiliation ||| University of Haifa
address ||| Mount Carmel
address ||| Haifa, Israel
email ||| ronen@cs.haifa.ac.il
sectionHeader ||| ABSTRACT
bodyText ||| The main result of this paper is an explicit disperser for two
bodyText ||| independent sources on n bits, each of entropy k = no(1).
bodyText ||| Put differently, setting N = 2n and K = 2k, we construct
bodyText ||| explicit N × N Boolean matrices for which no K × K sub-
bodyText ||| matrix is monochromatic. Viewed as adjacency matrices of
bodyText ||| bipartite graphs, this gives an explicit construction of K-
bodyText ||| Ramsey bipartite graphs of size N.
bodyText ||| This greatly improves the previous bound of k = o(n) of
bodyText ||| Barak, Kindler, Shaltiel, Sudakov and Wigderson [4]. It also
bodyText ||| significantly improves the 25-year record of k = ~O(√n) on
bodyText ||| the special case of Ramsey graphs, due to Frankl and Wilson
bodyText ||| [9].
bodyText ||| The construction uses (besides ”classical” extractor ideas)
bodyText ||| almost all of the machinery developed in the last couple of
bodyText ||| years for extraction from independent sources, including:
bodyText ||| •	Bourgain’s extractor for 2 independent sources of some
bodyText ||| entropy rate &lt; 1/2 [5]
bodyText ||| •	Raz’s extractor for 2 independent sources, one of which
bodyText ||| has any entropy rate &gt; 1/2 [18]
footnote ||| ∗Supported by a Princeton University startup grant.
footnote ||| †Most of this work was done while the author was visiting
footnote ||| Princeton University and the Institute for Advanced Study.
footnote ||| Supported in part by an MCD fellowship from UT Austin
footnote ||| and NSF Grant CCR-0310960.
footnote ||| ‡This research was supported by the United States-Israel
footnote ||| Binational Science Foundation (BSF) grant 2004329.
footnote ||| §This research was supported by NSF Grant CCR-0324906.
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| STOC’06, May 21–23, 2006, Seattle, Washington, USA.
copyright ||| Copyright 2006 ACM 1-59593-134-1/06/0005 ...$5.00.
author ||| Anup Rao †
affiliation ||| Department of Computer Science
affiliation ||| University of Texas at Austin
email ||| arao@cs.utexas.edu
author ||| Avi Wigderson §
affiliation ||| Institute for Advanced Study
address ||| Princeton
address ||| New Jersey
email ||| avi@math.ias.edu
bodyText ||| •	Rao’s extractor for 2 independent block-sources of en-
bodyText ||| tropy no(1) [17]
bodyText ||| •	The “Challenge-Response” mechanism for detecting
bodyText ||| “entropy concentration” of [4].
bodyText ||| The main novelty comes in a bootstrap procedure which
bodyText ||| allows the Challenge-Response mechanism of [4] to be used
bodyText ||| with sources of less and less entropy, using recursive calls
bodyText ||| to itself. Subtleties arise since the success of this mecha-
bodyText ||| nism depends on restricting the given sources, and so re-
bodyText ||| cursion constantly changes the original sources. These are
bodyText ||| resolved via a new construct, in between a disperser and
bodyText ||| an extractor, which behaves like an extractor on sufficiently
bodyText ||| large subsources of the given ones.
note ||| This version is only an extended abstract, please see the
note ||| full version, available on the authors’ homepages, for more
note ||| details.
sectionHeader ||| Categories and Subject Descriptors
category ||| G.2.2 [Mathematics of Computing]: Discrete Mathe-
category ||| matics—Graph algorithms
sectionHeader ||| General Terms
keyword ||| Theory, Algorithms
sectionHeader ||| Keywords
keyword ||| Dispersers, Ramsey Graphs, Independent Sources, Extrac-
keyword ||| tors
sectionHeader ||| 1. INTRODUCTION
bodyText ||| This paper deals with randomness extraction from weak
bodyText ||| random sources. Here a weak random source is a distribu-
bodyText ||| tion which contains some entropy. The extraction task is to
bodyText ||| design efficient algorithms (called extractors) to convert this
bodyText ||| entropy into useful form, namely a sequence of independent
bodyText ||| unbiased bits. Beyond the obvious motivations (potential
bodyText ||| use of physical sources in pseudorandom generators and in
bodyText ||| derandomization), extractors have found applications in a
page ||| 671
bodyText ||| variety of areas in theoretical computer science where ran-
bodyText ||| domness does not seem an issue, such as in efficient con-
bodyText ||| structions of communication networks [24, 7], error correct-
bodyText ||| ing codes [22, 12], data structures [14] and more.
bodyText ||| Most work in this subject over the last 20 years has fo-
bodyText ||| cused on what is now called seeded extraction, in which the
bodyText ||| extractor is given as input not only the (sample from the)
bodyText ||| defective random source, but also a few truly random bits
bodyText ||| (called the seed). A comprehensive survey of much of this
bodyText ||| body of work is [21].
bodyText ||| Another direction, which has been mostly dormant till
bodyText ||| about two years ago, is (seedless, deterministic) extraction
bodyText ||| from a few independent weak sources. This kind of extrac-
bodyText ||| tion is important in several applications where it is unrealis-
bodyText ||| tic to have a short random seed or deterministically enumer-
bodyText ||| ate over its possible values. However, it is easily shown to be
bodyText ||| impossible when only one weak source is available. When at
bodyText ||| least 2 independent sources are available extraction becomes
bodyText ||| possible in principle. The 2-source case is the one we will
bodyText ||| focus on in this work.
bodyText ||| The rest of the introduction is structured as follows. We’ll
bodyText ||| start by describing our main result in the context of Ramsey
bodyText ||| graphs. We then move to the context of extractors and dis-
bodyText ||| perser, describing the relevant background and stating our
bodyText ||| result in this language. Then we give an overview of the
bodyText ||| construction of our dispersers, describing the main building
bodyText ||| blocks we construct along the way. As the construction is
bodyText ||| quite complex and its analysis quite subtle, in this proceed-
bodyText ||| ings version we try to abstract away many of the technical
bodyText ||| difficulties so that the main ideas, structure and tools used
bodyText ||| are highlighted. For that reason we also often state defini-
bodyText ||| tions and theorems somewhat informally.
subsectionHeader ||| 1.1 Ramsey Graphs
construct ||| DefInItIOn 1.1. A graph on N vertices is called a K-
construct ||| Ramsey Graph if it contains no clique or independent set of
construct ||| size K.
bodyText ||| In 1947 Erd}os published his paper inaugurating the Prob-
bodyText ||| abilistic Method with a few examples, including a proof that
bodyText ||| most graphs on N = 2n vertices are 2n-Ramsey. The quest
bodyText ||| for constructing such graphs explicitly has existed ever since
bodyText ||| and lead to some beautiful mathematics.
bodyText ||| The best record to date was obtained in 1981 by Frankl
bodyText ||| and Wilson [9], who used intersection theorems for set sys-
bodyText ||| tems to construct N-vertex graphs which are 21�n log n-Ramsey.
bodyText ||| This bound was matched by Alon [1] using the Polynomial
bodyText ||| Method, by Grolmusz [11] using low rank matrices over rings,
bodyText ||| and also by Barak [2] boosting Abbot’s method with almost
bodyText ||| k-wise independent random variables (a construction that
bodyText ||| was independently discovered by others as well). Remark-
bodyText ||| ably all of these different approaches got stuck at essentially
bodyText ||| the same bound. In recent work, Gopalan [10] showed that
bodyText ||| other than the last construction, all of these can be viewed
bodyText ||| as coming from low-degree symmetric representations of the
bodyText ||| OR function. He also shows that any such symmetric rep-
bodyText ||| resentation cannot be used to give a better Ramsey graph,
bodyText ||| which gives a good indication of why these constructions
bodyText ||| had similar performance. Indeed, as we will discuss in a
bodyText ||| later section, the √n entropy bound initially looked like a
bodyText ||| natural obstacle even for our techniques, though eventually
bodyText ||| we were able to surpass it.
bodyText ||| The analogous question for bipartite graphs seemed much
bodyText ||| harder.
construct ||| DefInItIOn 1.2. A bipartite graph on two sets of N ver-
construct ||| tices is a K-Ramsey Bipartite Graph if it has no K × K
construct ||| complete or empty bipartite subgraph.
bodyText ||| While Erd}os’ result on the abundance of 2n-Ramsey graphs
bodyText ||| holds as is for bipartite graphs, until recently the best ex-
bodyText ||| plicit construction of bipartite Ramsey graphs was 2n/2-
bodyText ||| Ramsey, using the Hadamard matrix. This was improved
bodyText ||| last year, first to o(2n/2) by Pudlak and R}odl [16] and then
bodyText ||| to 2o(n) by Barak, Kindler, Shaltiel, Sudakov and Wigderson
bodyText ||| [4] .
bodyText ||| It is convenient to view such graphs as functions f :
bodyText ||| ({0, 1}n)2 → {0, 1}. This then gives exactly the definition
bodyText ||| of a disperser.
construct ||| DefInItIOn 1.3. A function f : ({0, 1}n)2 → {0, 1} is
construct ||| called a 2-source disperser for entropy k if for any two sets
construct ||| X, Y ⊂ {0, 1}n with | X | = |Y| = 2k, we have that the image
construct ||| f (X, Y) is {0, 1}.
bodyText ||| This allows for a more formal definition of explicitness: we
bodyText ||| simply demand that the function f is computable in polyno-
bodyText ||| mial time. Most of the constructions mentioned above are
bodyText ||| explicit in this sense.&apos;
bodyText ||| Our main result (stated informally) significantly improves
bodyText ||| the bounds in both the bipartite and non-bipartite settings:
construct ||| TheOrem 1.4. For every N we construct polynomial time
construct ||| computable bipartite graphs which are 2n&apos;(1)-Ramsey. A stan-
construct ||| dard transformation of these graphs also yields polynomial
construct ||| time computable ordinary Ramsey Graphs with the same pa-
construct ||| rameters.
subsectionHeader ||| 1.2 Extractors and Dispersers from indepen-
subsectionHeader ||| dent sources
bodyText ||| Now we give a brief review of past relevant work (with the
bodyText ||| goal of putting this paper in proper context) and describe
bodyText ||| some of the tools from these past works that we will use.
bodyText ||| We start with the basic definitions of k-sources by Nisan
bodyText ||| and Zuckerman [15] and of extractors and dispersers for in-
bodyText ||| dependent sources by Santha and Vazirani [20].
construct ||| DefInItIOn 1.5 ([15], See alSO [8]). The min-entropy
construct ||| of a distribution X is the maximum k such that for every
construct ||| element x in its support, Pr[X = x] ≤ 2-k. If X is a dis-
construct ||| tribution on strings with min-entropy at least k, we will call
construct ||| X a k-source 2.
bodyText ||| To simplify the presentation, in this version of the paper
bodyText ||| we will assume that we are working with entropy as opposed
bodyText ||| to min-entropy.
construct ||| DefInItIOn 1.6 ([20]). A function f : ({0,1}n)c →
construct ||| {0, 1}m is a c-source (k, ǫ) extractor if for every family of c
construct ||| independent k-sources X&apos;, • • • , Xc, the output f (X&apos;, • • • , Xc)
footnote ||| &apos;The Abbot’s product based Ramsey-graph construction of
footnote ||| [3] and the bipartite Ramsey construction of [16] only satisfy
footnote ||| a weaker notion of explicitness.
footnote ||| 2It is no loss of generality to imagine that X is uniformly
footnote ||| distributed over some (unknown) set of size 2k.
page ||| 672
bodyText ||| is a ǫ-close 3 to uniformly distributed on m bits. f is a dis-
bodyText ||| perser for the same parameters if the output is simply re-
bodyText ||| quired to have a support of relative size (1 − ǫ).
bodyText ||| To simplify the presentation, in this version of the paper,
bodyText ||| we will assume that ǫ = 0 for all of our constructions.
bodyText ||| In this language, Erd}os’ theorem says that most functions
bodyText ||| f : ({0, 1}n)2 → {0, 1} are dispersers for entropy 1 + logn
bodyText ||| (treating f as the characteristic function for the set of edges
bodyText ||| of the graph). The proof easily extends to show that indeed
bodyText ||| most such functions are in fact extractors. This naturally
bodyText ||| challenges us to find explicit functions f that are 2-source
bodyText ||| extractors.
bodyText ||| Until one year ago, essentially the only known explicit
bodyText ||| construction was the Hadamard extractor Had defined by
bodyText ||| Had(x,y)
bodyText ||| k &gt; n/2 as observed by Chor and Goldreich [8] and can
bodyText ||| be extended to give m = Q(n) output bits as observed by
bodyText ||| Vazirani [23]. Over 20 years later, a recent breakthrough
bodyText ||| of Bourgain [5] broke this “1/2 barrier” and can handle 2
bodyText ||| sources of entropy .4999n, again with linear output length
bodyText ||| m = 0(n). This seemingly minor improvement will be cru-
bodyText ||| cial for our work!
construct ||| TheOrem 1.7 ([5] ). There is a polynomial time com-
