title ||| A New Approach to Intranet Search
title ||| Based on Information Extraction
author ||| Hang Li, Yunbo Cao
affiliation ||| Microsoft Research Asia
address ||| 5F Sigma Center
address ||| No.49 Zhichun Road,
address ||| Haidian, Beijing, China, 100080
email ||| {hangli, yucao}@microsoft.com
author ||| Jun Xu*
affiliation ||| College of Software
affiliation ||| Nankai University
address ||| No.94 Weijin Road,
address ||| Tianjin, China, 300071
email ||| nkxj@yahoo.com.cn
author ||| Yunhua Hu*
affiliation ||| Dept. of Computer Science
affiliation ||| Xi’an Jiaotong University
address ||| No 28, West Xianning Road,
address ||| Xi&apos;an, China, 710049
email ||| yunhuahu@mail.xjtu.edu.cn
author ||| Shenjie Li*
affiliation ||| Dept. of Computer Science
affiliation ||| Hong Kong University of Science and Technology
affiliation ||| Kowloon, Hong Kong, China
email ||| lisj@cs.ust.hk
sectionHeader ||| ABSTRACT
bodyText ||| This paper is concerned with ‘intranet search’. By intranet search, we
bodyText ||| mean searching for information on an intranet within an organization.
bodyText ||| We have found that search needs on an intranet can be categorized into
bodyText ||| types, through an analysis of survey results and an analysis of search
bodyText ||| log data. The types include searching for definitions, persons, experts,
bodyText ||| and homepages. Traditional information retrieval only focuses on
bodyText ||| search of relevant documents, but not on search of special types of
bodyText ||| information. We propose a new approach to intranet search in which
bodyText ||| we search for information in each of the special types, in addition to
bodyText ||| the traditional relevance search. Information extraction technologies
bodyText ||| can play key roles in such kind of ‘search by type’ approach, because
bodyText ||| we must first extract from the documents the necessary information in
bodyText ||| each type. We have developed an intranet search system called
bodyText ||| ‘Information Desk’. In the system, we try to address the most
bodyText ||| important types of search first - finding term definitions, homepages of
bodyText ||| groups or topics, employees’ personal information and experts on
bodyText ||| topics. For each type of search, we use information extraction
bodyText ||| technologies to extract, fuse, and summarize information in advance.
bodyText ||| The system is in operation on the intranet of Microsoft and receives
bodyText ||| accesses from about 500 employees per month. Feedbacks from users
bodyText ||| and system logs show that users consider the approach useful and the
bodyText ||| system can really help people to find information. This paper describes
bodyText ||| the architecture, features, component technologies, and evaluation
bodyText ||| results of the system.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.3.3 [Information Storage and Retrieval]: Information Search
category ||| and Retrieval – search process; I.7.m [Document and Text
category ||| Processing]: Miscellaneous
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that
copyright ||| copies bear this notice and the full citation on the first page. To copy
copyright ||| otherwise, or republish, to post on servers or to redistribute to lists,
copyright ||| requires prior specific permission and/or a fee.
note ||| CIKM’05, October 31-November 5, 2005, Bremen, Germany.
note ||| Copyright 2005 ACM 1-59593-140-6/05/0010...$5.00.
author ||| Dmitriy Meyerzon
affiliation ||| Microsoft Corporation
affiliation ||| One Microsoft Way,
address ||| Redmond, WA, USA, 98052
email ||| dmitriym@microsoft.com
sectionHeader ||| General Terms: Algorithms, Experimentation, Human
sectionHeader ||| Factors
sectionHeader ||| Keywords: Intranet search, information extraction, metadata
sectionHeader ||| extraction, expert finding, definition search
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Internet search has made significant progress in recent years. In
bodyText ||| contrast, intranet search does not seem to be so successful. The
bodyText ||| IDC white paper entitled “The high cost of not finding
bodyText ||| information” [13] reports that information workers spend from
bodyText ||| 15% to 35% of their work time on searching for information and
bodyText ||| 40% of information workers complain that they cannot find the
bodyText ||| information they need to do their jobs on their company intranets.
bodyText ||| Many commercial systems [35, 36, 37, 38, 39] have been
bodyText ||| developed for intranet search. However, most of them view
bodyText ||| intranet search as a problem of conventional relevance search. In
