title ||| A Similarity Measure for Motion Stream
title ||| Segmentation and Recognition*
author ||| Chuanjun Li	B. Prabhakaran
affiliation ||| Department of Computer Science
affiliation ||| The University of Texas at Dallas, Richardson, TX 75083
email ||| {chuanjun, praba}@utdallas.edu
sectionHeader ||| ABSTRACT
bodyText ||| Recognition of motion streams such as data streams gener-
bodyText ||| ated by different sign languages or various captured human
bodyText ||| body motions requires a high performance similarity mea-
bodyText ||| sure. The motion streams have multiple attributes, and mo-
bodyText ||| tion patterns in the streams can have different lengths from
bodyText ||| those of isolated motion patterns and different attributes
bodyText ||| can have different temporal shifts and variations. To ad-
bodyText ||| dress these issues, this paper proposes a similarity measure
bodyText ||| based on singular value decomposition (SVD) of motion ma-
bodyText ||| trices. Eigenvector differences weighed by the corresponding
bodyText ||| eigenvalues are considered for the proposed similarity mea-
bodyText ||| sure. Experiments with general hand gestures and human
bodyText ||| motion streams show that the proposed similarity measure
bodyText ||| gives good performance for recognizing motion patterns in
bodyText ||| the motion streams in real time.
sectionHeader ||| Categories and Subject Descriptors: H.2.8 [Database
sectionHeader ||| Management]: Database Applications – Data Mining
sectionHeader ||| General Terms: Algorithm
sectionHeader ||| Keywords: Pattern recognition, gesture, data streams, seg-
sectionHeader ||| mentation, singular value decomposition.
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Motion streams can be generated by continuously per-
bodyText ||| formed sign language words [14] or captured human body
bodyText ||| motions such as various dances. Captured human motions
bodyText ||| can be applied to the movie and computer game industries
bodyText ||| by reconstructing various motions from video sequences [10]
bodyText ||| or images [15] or from motions captured by motion capture
bodyText ||| systems [4]. Recognizing motion patterns in the streams
bodyText ||| with unsupervised methods requires no training process, and
bodyText ||| is very convenient when new motions are expected to be
bodyText ||| added to the known pattern pools. A similarity measure
bodyText ||| with good performance is thus necessary for segmenting and
bodyText ||| recognizing the motion streams. Such a similarity measure
bodyText ||| needs to address some new challenges posed by real world
footnote ||| *Work supported partially by the National Science Founda-
footnote ||| tion under Grant No. 0237954 for the project CAREER:
footnote ||| Animation Databases.
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
copyright ||| Copyright 200X ACM X-XXXXX-XX-X/XX/XX ...$5.00.
bodyText ||| motion streams: first, the motion patterns have dozens of at-
bodyText ||| tributes, and similar patterns can have different lengths due
bodyText ||| to different motion durations; second, different attributes of
bodyText ||| similar motions have different variations and different tem-
bodyText ||| poral shifts due to motion variations; and finally, motion
bodyText ||| streams are continuous, and there are no obvious ”pauses”
bodyText ||| between neighboring motions in a stream. A good similarity
bodyText ||| measure not only needs to capture the similarity of complete
bodyText ||| motion patterns, but also needs to capture the differences
bodyText ||| between complete motion patterns and incomplete motion
bodyText ||| patterns or sub-patterns in order to segment a stream for
bodyText ||| motion recognition.
bodyText ||| As the main contribution of this paper, we propose a sim-
bodyText ||| ilarity measure to address the above issues. The proposed
bodyText ||| similarity measure is defined based on singular value decom-
bodyText ||| position of the motion matrices. The first few eigenvectors
bodyText ||| are compared for capturing the similarity of two matrices,
bodyText ||| and the inner products of the eigenvectors are given differ-
bodyText ||| ent weights for their different contributions. We propose to
bodyText ||| use only the eigenvalues corresponding to the involved eigen-
bodyText ||| vectors of the two motion matrices as weights. This simple
bodyText ||| and intuitive weighing strategy gives the same importance to
bodyText ||| eigenvalues of the two matrices. We also show that the 95%
bodyText ||| variance rule for choosing the number of eigenvectors [13] is
bodyText ||| not sufficient for recognizing both isolated patterns and mo-
bodyText ||| tion streams. Our experiments demonstrate that at least the
bodyText ||| first 6 eigenvectors need to be considered for motion streams
bodyText ||| of either 22 attribute or 54 attributes, and the first 6 eigen-
bodyText ||| values accounts for more than 99.5% of the total variance in
bodyText ||| the motion matrices.
sectionHeader ||| 2. RELATED WORK
bodyText ||| Multi-attribute pattern similarity search, especially in con-
bodyText ||| tinuous motion streams, has been widely studied for sign
bodyText ||| language recognition and for motion synthesis in computer
bodyText ||| animation. The recognition methods usually include tem-
bodyText ||| plate matching by distance measures and hidden Markov
bodyText ||| models (HMM).
bodyText ||| Template matching by using similarity/distance measures
bodyText ||| has been employed for multi-attribute pattern recognition.
bodyText ||| Joint angles are extracted in [11] as features to represent dif-
bodyText ||| ferent human body static poses for the Mahalanobis distance
bodyText ||| measure of two joint angle features. Similarly, momentum,
bodyText ||| kinetic energy and force are constructed in [2,5] as activ-
bodyText ||| ity measure and prediction of gesture boundaries for various
bodyText ||| segments of the human body, and the Mahalanobis distance
bodyText ||| function of two composite features are solved by dynamic
bodyText ||| programming.
page ||| 89
bodyText ||| Similarity measures are defined for multi-attribute data
