title ||| A Computational Approach to Reflective Meta-Reasoning about
title ||| Languages with Bindings *
author ||| Aleksey Nogin Alexei Kopylov Xin Yu Jason Hickey
affiliation ||| Department of Computer Science
affiliation ||| California Institute of Technology
address ||| M/C 256-80, Pasadena, CA 91125
email ||| {nogin,kopylov,xiny,jyh}@cs.caltech.edu
sectionHeader ||| Abstract
bodyText ||| We present a foundation for a computational meta-theory of lan-
bodyText ||| guages with bindings implemented in a computer-aided formal rea-
bodyText ||| soning environment. Our theory provides the ability to reason ab-
bodyText ||| stractly about operators, languages, open-ended languages, classes
bodyText ||| of languages, etc. The theory is based on the ideas of higher-order
bodyText ||| abstract syntax, with an appropriate induction principle parameter-
bodyText ||| ized over the language (i. e. a set of operators) being used. In our ap-
bodyText ||| proach, both the bound and free variables are treated uniformly and
bodyText ||| this uniform treatment extends naturally to variable-length bind-
bodyText ||| ings. The implementation is reflective, namely there is a natural
bodyText ||| mapping between the meta-language of the theorem-prover and the
bodyText ||| object language of our theory. The object language substitution op-
bodyText ||| eration is mapped to the meta-language substitution and does not
bodyText ||| need to be defined recursively. Our approach does not require de-
bodyText ||| signing a custom type theory; in this paper we describe the im-
bodyText ||| plementation of this foundational theory within a general-purpose
bodyText ||| type theory. This work is fully implemented in the MetaPRL the-
bodyText ||| orem prover, using the pre-existing NuPRL-like Martin-L¨of-style
bodyText ||| computational type theory. Based on this implementation, we lay
bodyText ||| out an outline for a framework for programming language experi-
bodyText ||| mentation and exploration as well as a general reflective reasoning
bodyText ||| framework. This paper also includes a short survey of the existing
bodyText ||| approaches to syntactic reflection.
sectionHeader ||| Categories and Subject Descriptors D.3.1 [Programming Lan-
sectionHeader ||| guages]: Formal Definitions and Theory—Syntax; F.4.3 [Math-
sectionHeader ||| ematical Logic and Formal Languages]: Formal Languages—
sectionHeader ||| Operations on languages
sectionHeader ||| General Terms Languages, Theory, Verification
sectionHeader ||| Keywords Higher-Order Abstract Syntax, Reflection, Type The-
sectionHeader ||| ory, Meta PRL, N uPRL, Programming Language Experimentation,
sectionHeader ||| Languages with Bindings.
footnote ||| * An extended version of this paper is available as Caltech Technical Report
footnote ||| CaltechCSTR:2005.003 [NKYH05]
copyright ||| Permission to make digital or hard copies of all or part of this work for personal or
copyright ||| classroom use is granted without fee provided that copies are not made or distributed
copyright ||| for profit or commercial advantage and that copies bear this notice and the full citation
copyright ||| on the first page. To copy otherwise, to republish, to post on servers or to redistribute
copyright ||| to lists, requires prior specific permission and/or a fee.
note ||| MERLIN’05 September 30, 2005, Tallinn, Estonia.
copyright ||| Copyright �c 2005 ACM 1-59593-072-8/05/0009...$5.00.
sectionHeader ||| 1. Introduction
subsectionHeader ||| 1.1 Reflection
bodyText ||| Very generally, reflection is the ability of a system to be “self-
