title ||| An expressive aspect language for system applications
title ||| with Arachne
author ||| R´emi Douence, Thomas Fritz, Nicolas Loriant,
author ||| Jean-Marc Menaud, Marc S´egura-Devillechaise, Mario S¨udholt
affiliation ||| OBASCO project
affiliation ||| ´Ecole des Mines de Nantes/INRIA
address ||| 4 rue Alfred Kastler
address ||| 44307 Nantes Cedex 3, France
email ||| {douence,tfritz,nloriant,jmenaud,msegura,sudholt}@emn.fr
sectionHeader ||| ABSTRACT
bodyText ||| C applications, in particular those using operating system
bodyText ||| level services, frequently comprise multiple crosscutting con-
bodyText ||| cerns: network protocols and security are typical examples
bodyText ||| of such concerns. While these concerns can partially be ad-
bodyText ||| dressed during design and implementation of an application,
bodyText ||| they frequently become an issue at runtime, e.g., to avoid
bodyText ||| server downtime. A deployed network protocol might not be
bodyText ||| efficient enough and may thus need to be replaced. Buffer
bodyText ||| overflows might be discovered that imply critical breaches in
bodyText ||| the security model of an application. A prefetching strategy
bodyText ||| may be required to enhance performance.
bodyText ||| While aspect-oriented programming seems attractive in
bodyText ||| this context, none of the current aspect systems is expres-
bodyText ||| sive and efficient enough to address such concerns. This
bodyText ||| paper presents a new aspect system to provide a solution to
bodyText ||| this problem. While efficiency considerations have played
bodyText ||| an important part in the design of the aspect language, the
bodyText ||| language allows aspects to be expressed more concisely than
bodyText ||| previous approaches. In particular, it allows aspect pro-
bodyText ||| grammers to quantify over sequences of execution points as
bodyText ||| well as over accesses through variable aliases. We show how
bodyText ||| the former can be used to modularize the replacement of net-
bodyText ||| work protocols and the latter to prevent buffer overflows.
bodyText ||| We also present an implementation of the language as an
bodyText ||| extension of Arachne, a dynamic weaver for C applications.
bodyText ||| Finally, we present performance evaluations supporting that
bodyText ||| Arachne is fast enough to extend high performance applica-
bodyText ||| tions, such as the Squid web cache.
sectionHeader ||| Keywords
keyword ||| aspect language, sequence pointcut, dynamic weaving, sys-
keyword ||| tem applications
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| AOSD 05 Chicago Illinois USA
copyright ||| Copyright 2005 ACM 1-59593-042-6/05/03 ...$ 5.00.
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Real-world applications typically comprise multiple cross-
bodyText ||| cutting concerns. This applies, in particular, to C applica-
bodyText ||| tions using operating system level services. We have exam-
bodyText ||| ined three concerns which are typical for this domain in the
bodyText ||| context of a large application, the open source web cache
bodyText ||| Squid [36]. More concretely, we have considered translation
bodyText ||| of network protocols (which may be necessary for efficiency
bodyText ||| reasons), insertion of checks for buffer overflows (which are
bodyText ||| at the heart of many of today’s security issues), and in-
bodyText ||| troduction of prefetching strategies within the cache (which
bodyText ||| can be used to enhance efficiency of the web cache). We
bodyText ||| have found that all these concerns are scattered over large
bodyText ||| portions of the code of Squid.
bodyText ||| Hence, the three concerns are crosscutting in the sense
bodyText ||| of Aspect-Oriented Programming (AOP) [24] and aspects
bodyText ||| should therefore be a means of choice for their modular-
bodyText ||| ization. The concerns have three important characteristics.
bodyText ||| First, they must frequently be applied at runtime, e.g., in
bodyText ||| order to rapidly fix a buffer overflow and thus prevent secu-
bodyText ||| rity breaches without incurring server downtime. A dynamic
bodyText ||| aspect weaver is therefore needed. Second, they expose in-
bodyText ||| tricate relationships between execution points, e.g., network
bodyText ||| protocols are most concisely expressed in terms of sequences
bodyText ||| of execution points, not individual ones. The aspect system
bodyText ||| must therefore support expressive means for the definition of
bodyText ||| aspects, in particular pointcuts. Third, efficiency is crucial
bodyText ||| in the application domain we consider.
bodyText ||| To our knowledge, none of the current aspect systems for
bodyText ||| C meet these three requirements and is suitable for the mod-
bodyText ||| ularization of such concerns. Moreover, requirements for
bodyText ||| dynamic weaving and efficiency often trade off with expres-
bodyText ||| sivity. Squid should be as efficient as possible and therefore
bodyText ||| exploit any suitable operating system and hardware partic-
bodyText ||| ularity. Its code base is therefore difficult to understand and
bodyText ||| manipulate, thus hindering in particular modularization ef-
bodyText ||| forts. It is therefore highly questionable that the considered
bodyText ||| modularization problems can be solved without aspects.
bodyText ||| In this paper we propose a solution to the aspectization of
bodyText ||| such concerns of C applications. More concretely, we provide
bodyText ||| three main contributions. First, we provide a new expressive
bodyText ||| aspect language featuring a construct for quantification over
bodyText ||| sequences of execution points as well as over accesses to lo-
bodyText ||| cal aliases of global variables. We show how this aspect lan-
page ||| 27
bodyText ||| guage permits concise expression of the considered concerns
bodyText ||| as aspects. Second, we present how the aspect language can
bodyText ||| be implemented efficiently through runtime weaving into bi-
bodyText ||| nary code. Concretely, this is done by integrating the aspect
bodyText ||| language into our tool Arachne, a dynamic weaver for C ap-
bodyText ||| plications. Furthermore, we present how Arachne improves
bodyText ||| on our previous work µDyner [32]. Finally, we give evidence
bodyText ||| that our approach meets strong efficiency requirements by
bodyText ||| showing performance evaluations in the context of Squid.
bodyText ||| The paper is structured as follows. Section 2 presents the
bodyText ||| motivating concerns we identified within Squid. Section 3
bodyText ||| shows how to modularize these concerns as aspects and de-
bodyText ||| fines our aspect language. Section 4 describes its implemen-
bodyText ||| tation within Arachne. Section 5 assesses the performance
bodyText ||| of our implementation. Section 6 describes related work.
bodyText ||| Section 7 concludes and suggests futures work.
sectionHeader ||| 2. MOTIVATIONS
bodyText ||| Legacy C applications involve multiple crosscutting con-
bodyText ||| cerns. Many of them remain challenging, both in terms
bodyText ||| of expressiveness required to handle them properly in an
bodyText ||| aspect-oriented language and in terms of constraints posed
bodyText ||| on the weaver. This section describes three such concerns
bodyText ||| in C applications: switching the network protocol, buffer
bodyText ||| overflows and prefetching. The network protocol concern is
bodyText ||| typically scattered through the entire application. It is an
bodyText ||| issue when administrators discover at runtime that the re-
bodyText ||| tained protocol is not efficient enough. Likewise the security
bodyText ||| threats posed by buffer overflows is a real concrete problem
bodyText ||| for administrators. While guarding all buffers against over-
bodyText ||| flows might decrease performance considerably, administra-
bodyText ||| tors are left with no other option than accepting the trade-
bodyText ||| off between security and performance chosen at application’s
bodyText ||| design time. Prefetching is another well-known crosscutting
bodyText ||| concern [12]. Since prefetching aims at increasing perfor-
bodyText ||| mance, prefetching aspects make only sense with an efficient
bodyText ||| weaver. Yet, it is still difficult to modularize these three con-
bodyText ||| cerns in today’s aspect-oriented language. In this section,
bodyText ||| we first describe the context in which the concerns arise be-
