title ||| An Intensional Approach to the Specification of Test Cases
title ||| for Database Applications
author ||| David Willmor
affiliation ||| School of Computer Science
affiliation ||| University of Manchester
address ||| Oxford Road, Manchester, UK
email ||| d.willmor@cs.manchester.ac.uk
email ||| ABSTRACT
bodyText ||| When testing database applications, in addition to creating
bodyText ||| in-memory fixtures it is also necessary to create an initial
bodyText ||| database state that is appropriate for each test case. Cur-
bodyText ||| rent approaches either require exact database states to be
bodyText ||| specified in advance, or else generate a single initial state
bodyText ||| (under guidance from the user) that is intended to be suit-
bodyText ||| able for execution of all test cases. The first method allows
bodyText ||| large test suites to be executed in batch, but requires con-
bodyText ||| siderable programmer effort to create the test cases (and
bodyText ||| to maintain them). The second method requires less pro-
bodyText ||| grammer effort, but increases the likelihood that test cases
bodyText ||| will fail in non-fault situations, due to unexpected changes
bodyText ||| to the content of the database. In this paper, we propose a
bodyText ||| new approach in which the database states required for test-
bodyText ||| ing are specified intensionally, as constrained queries, that
bodyText ||| can be used to prepare the database for testing automati-
bodyText ||| cally. This technique overcomes the limitations of the other
bodyText ||| approaches, and does not appear to impose significant per-
bodyText ||| formance overheads.
sectionHeader ||| Categories and Subject Descriptors
category ||| D.2.5 [Software Engineering]: Testing and Debugging—
category ||| Testing tools
sectionHeader ||| General Terms
keyword ||| Experimentation, Verification
sectionHeader ||| Keywords
keyword ||| databases, software testing, database testing
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Modern information systems are typically organised as
bodyText ||| collections of independent application programs that com-
bodyText ||| municate with one another by means of a central database.
bodyText ||| The database records the state of the organisation that the
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| ICSE’06, May 20–28, 2006, Shanghai, China.
copyright ||| Copyright 2006 ACM 1-59593-085-X/06/0005 ...$5.00.
author ||| Suzanne M. Embury
affiliation ||| School of Computer Science
affiliation ||| University of Manchester
address ||| Oxford Road, Manchester, UK
email ||| s.m.embury@cs.manchester.ac.uk
bodyText ||| information system supports, while the application programs
bodyText ||| implement the business processes that manipulate the state.
bodyText ||| To take a simple but ubiquitous example, a database sys-
bodyText ||| tem might record details of customers, products and sales,
bodyText ||| while the application programs associated with it handle op-
