title ||| Automated Rich Presentation of a Semantic Topic
author ||| Lie Lu and Zhiwei Li
affiliation ||| Microsoft Research Asia
email ||| {llu, zli}@microsoft.com
sectionHeader ||| ABSTRACT
bodyText ||| To have a rich presentation of a topic, it is not only expected that
bodyText ||| many relevant multimodal information, including images, text,
bodyText ||| audio and video, could be extracted; it is also important to
bodyText ||| organize and summarize the related information, and provide
bodyText ||| users a concise and informative storyboard about the target topic.
bodyText ||| It facilitates users to quickly grasp and better understand the
bodyText ||| content of a topic. In this paper, we present a novel approach to
bodyText ||| automatically generating a rich presentation of a given semantic
bodyText ||| topic. In our proposed approach, the related multimodal informa-
bodyText ||| tion of a given topic is first extracted from available multimedia
bodyText ||| databases or websites. Since each topic usually contains multiple
bodyText ||| events, a text-based event clustering algorithm is then performed
bodyText ||| with a generative model. Other media information, such as the
bodyText ||| representative images, possibly available video clips and flashes
bodyText ||| (interactive animates), are associated with each related event. A
bodyText ||| storyboard of the target topic is thus generated by integrating each
bodyText ||| event and its corresponding multimodal information. Finally, to
bodyText ||| make the storyboard more expressive and attractive, an incidental
bodyText ||| music is chosen as background and is aligned with the storyboard.
bodyText ||| A user study indicates that the presented system works quite well
bodyText ||| on our testing examples.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.5.3 [Information Interfaces and Presentation]: Group and
category ||| Organization Interfaces - Organizational design; H.3.1 [Informa-
category ||| tion Storage and Retrieval]: Content Analysis and Indexing -
category ||| abstracting methods.
sectionHeader ||| General Terms
keyword ||| Algorithms, Design, Management, Experimentation, Theory
sectionHeader ||| Keywords
keyword ||| Rich presentation, multimodality, multimedia authoring, story-
keyword ||| board, events clustering, multimedia fusion
sectionHeader ||| 1. INTRODUCTION
bodyText ||| In the multimedia field, a major objective of content analysis is to
bodyText ||| discover the high-level semantics and structures from the low-
bodyText ||| level features, and thus to facilitate indexing, browsing, searching,
bodyText ||| and managing the multimedia database. In recent years, a lot of
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that
copyright ||| copies bear this notice and the full citation on the first page. To copy
copyright ||| otherwise, or republish, to post on servers or to redistribute to lists,
copyright ||| requires prior specific permission and/or a fee.
note ||| MM’05, November 6–11, 2005, Singapore.
copyright ||| Copyright 2005 ACM 1-59593-044-2/05/0011...$5.00.
bodyText ||| technologies have been developed for various media types,
bodyText ||| including images, video, audio and etc. For example, various
bodyText ||| approaches and systems have been proposed in image content
bodyText ||| analysis, such as semantic classification [1], content-based image
bodyText ||| retrieval [2] and photo album management [3]. There are also a lot
bodyText ||| of research focuses on video analysis, such as video segmentation
bodyText ||| [4], highlight detection [5], video summarization [6][7], and video
bodyText ||| structure analysis [8], applied in various data including news
bodyText ||| video, movie and sports video. Since audio information is very
bodyText ||| helpful for video analysis, many research works on audio are also
bodyText ||| developed to enhance multimedia analysis, such as audio
bodyText ||| classification [9], and audio effect detection in different audio
bodyText ||| streams [10]. Most recently, there are more and more approaches
bodyText ||| and systems integrating multimodal information in order to
bodyText ||| improve analysis performance [11][12].
bodyText ||| The main efforts of the above mentioned research have focused on
bodyText ||| understanding the semantics (including a topic, an event or the
bodyText ||| similarity) from the multimodal information. That is, after the
bodyText ||| multimedia data is given, we want to detect the semantics implied
bodyText ||| in these data. In this paper, we propose a new task, Rich
bodyText ||| Presentation, which is an inverse problem of the traditional
bodyText ||| multimedia content analysis. That is, if we have a semantic topic,
bodyText ||| how can we integrate its relevant multimodal information,
bodyText ||| including image, text, audio and video, to richly present the target
bodyText ||| topic and to provide users a concise and informative storyboard?
bodyText ||| In this paper, the so-called “semantic topic” is a generic concept.
bodyText ||| It could be any keyword representing an event or events, a
bodyText ||| person’s name, or anything else. For example, “World Cup 2002”
bodyText ||| and “US election” could be topics, as well as “Halloween” and
bodyText ||| “Harry Potter”. In this paper, our task is to find sufficient
