title ||| Automatic Extraction of Titles from General Documents
title ||| using Machine Learning
author ||| Yunhua Hu1
affiliation ||| Computer Science Department
affiliation ||| Xi’an Jiaotong University
address ||| No 28, Xianning West Road
address ||| Xi&apos;an, China, 710049
email ||| yunhuahu@mail.xjtu.edu.cn
author ||| Hang Li, Yunbo Cao
affiliation ||| Microsoft Research Asia
address ||| 5F Sigma Center,
address ||| No. 49 Zhichun Road, Haidian,
address ||| Beijing, China, 100080
email ||| {hangli,yucao}@microsoft.com
author ||| Dmitriy Meyerzon
affiliation ||| Microsoft Corporation
address ||| One Microsoft Way
address ||| Redmond, WA,
address ||| USA, 98052
email ||| dmitriym@microsoft.com
author ||| Qinghua Zheng
affiliation ||| Computer Science Department
affiliation ||| Xi’an Jiaotong University
address ||| No 28, Xianning West Road
address ||| Xi&apos;an, China, 710049
email ||| qhzheng@mail.xjtu.edu.cn
sectionHeader ||| ABSTRACT
bodyText ||| In this paper, we propose a machine learning approach to title
bodyText ||| extraction from general documents. By general documents, we
bodyText ||| mean documents that can belong to any one of a number of
bodyText ||| specific genres, including presentations, book chapters, technical
bodyText ||| papers, brochures, reports, and letters. Previously, methods have
bodyText ||| been proposed mainly for title extraction from research papers. It
bodyText ||| has not been clear whether it could be possible to conduct
bodyText ||| automatic title extraction from general documents. As a case study,
bodyText ||| we consider extraction from Office including Word and
bodyText ||| PowerPoint. In our approach, we annotate titles in sample
bodyText ||| documents (for Word and PowerPoint respectively) and take them
bodyText ||| as training data, train machine learning models, and perform title
bodyText ||| extraction using the trained models. Our method is unique in that
bodyText ||| we mainly utilize formatting information such as font size as
bodyText ||| features in the models. It turns out that the use of formatting
bodyText ||| information can lead to quite accurate extraction from general
bodyText ||| documents. Precision and recall for title extraction from Word is
bodyText ||| 0.810 and 0.837 respectively, and precision and recall for title
bodyText ||| extraction from PowerPoint is 0.875 and 0.895 respectively in an
bodyText ||| experiment on intranet data. Other important new findings in this
bodyText ||| work include that we can train models in one domain and apply
bodyText ||| them to another domain, and more surprisingly we can even train
bodyText ||| models in one language and apply them to another language.
bodyText ||| Moreover, we can significantly improve search ranking results in
bodyText ||| document retrieval by using the extracted titles.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.3.3 [Information Storage and Retrieval]: Information Search
category ||| and Retrieval - Search Process; H.4.1 [Information Systems
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, or
copyright ||| republish, to post on servers or to redistribute to lists, requires prior specific
copyright ||| permission and/or a fee.
note ||| JCDL’05, June 7–11, 2005, Denver, Colorado, USA
copyright ||| Copyright 2005 ACM 1-58113-876-8/05/0006...$5.00.
copyright ||| Applications]: Office Automation - Word processing; D.2.8
copyright ||| [Software Engineering]: Metrics - complexity measures,
copyright ||| performance measures
sectionHeader ||| General Terms
