note ||| CHI 2008 Proceedings Â· Help Me Search	April 5-10, 2008 Â· Florence, Italy
title ||| Conversation Pivots and Double Pivots
author ||| Daniel Xiaodan Zhou, Nathan Oostendorp, Michael Hess, Paul Resnick
affiliation ||| CommunityLab*
affiliation ||| University of Michigan School of Information
address ||| Ann Arbor, MI 48109
email ||| {mrzhou, oostendo, mlhess, presnick}@umich.edu
sectionHeader ||| ABSTRACT
bodyText ||| Many sites on the web offer collaborative databases that
bodyText ||| catalog items such as bands, events, products, or software
bodyText ||| modules. Conversation pivots allow readers to navigate
bodyText ||| from pages about these items to conversations about them
bodyText ||| on the same site or elsewhere on the Internet. Double pivots
bodyText ||| allow readers to navigate from item pages to pages about
bodyText ||| other items mentioned in the same conversations. Using
bodyText ||| text mining techniques specific to the collection it is
bodyText ||| possible to find references to collected items in online
bodyText ||| conversations. We implemented conversation pivots for the
bodyText ||| CPAN archive of Perl modules, and for Drupal.org, the
bodyText ||| reference site for the Drupal content management system.
sectionHeader ||| Author Keywords
keyword ||| Online Discussion, Conversation, Recommender, Pivot,
keyword ||| Drupal, Perlmonks
sectionHeader ||| ACM Classification Keywords
category ||| H5.4 Hypertext/Hypermedia Navigation. H5.2. User
category ||| Interfaces
sectionHeader ||| INTRODUCTION
bodyText ||| Many websites maintain collections of pages about people,
bodyText ||| places, and things. These item pages typically include
bodyText ||| structured data. The sites also frequently include online
bodyText ||| forums, with an abundant and unstructured repository of
bodyText ||| user-contributed data about the same items. Drenner et al
bodyText ||| [1] describe these areas as âitem-landâ and âforum-landâ,
bodyText ||| and describe how the site MovieLens was able to cross-link
bodyText ||| them. Movie item pages have links to conversation threads
bodyText ||| mentioning the movies and conversation pages link to the
bodyText ||| referenced movie pages.
bodyText ||| More generally, item-land describes a large variety of
bodyText ||| online collections:
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
