note ||| CHI 2008 Proceedings Â· Am I Safe	April 5-10, 2008 Â· Florence, Italy
title ||| TALC: Using Desktop Graffiti to Fight
title ||| Software Vulnerability
author ||| Kandha Sankarapandian, Travis Little, W. Keith Edwards
affiliation ||| Georgia Institute of Technology
address ||| 85 Fifth Street NW, Atlanta, GA 30308, USA.
email ||| {kandha, tlittle , keith}@cc.gatech.edu
sectionHeader ||| ABSTRACT
bodyText ||| With the proliferation of computer security threats on the
bodyText ||| Internet, especially threats such as worms that
bodyText ||| automatically exploit software flaws, it is becoming more
bodyText ||| and more important that home users keep their computers
bodyText ||| secure from known software vulnerabilities. Unfortunately,
bodyText ||| keeping software up-to-date is notoriously difficult for
bodyText ||| home users. This paper introduces TALC, a system to
bodyText ||| encourage and help home users patch vulnerable software.
bodyText ||| TALC increases home usersâ awareness of software
bodyText ||| vulnerabilities and their motivation to patch their software;
bodyText ||| it does so by detecting unpatched software and then
bodyText ||| drawing graffiti on their computerâs background wallpaper
bodyText ||| image to denote potential vulnerabilities. Users can âclean
bodyText ||| upâ the graffiti by applying necessary patches, which
bodyText ||| TALC makes possible by assisting in the software patching
bodyText ||| process
category ||| ACM Classification: H.5.m Information interfaces and
category ||| presentation, H.5.2 User Interfaces, K.6.5 Management of
category ||| Computer and Information Systems: Security and
category ||| Protection, D.4.6 Operating Systems: Security and
category ||| Protection
keyword ||| General terms: Human factors, security, management
keyword ||| Keywords: Usable security, Internet security, home users,
keyword ||| patch management, software vulnerabilities, security
keyword ||| framework, graffiti
sectionHeader ||| INTRODUCTION
bodyText ||| One of the most significant computer security threats faced
bodyText ||| by users today results from vulnerabilities in the operating
bodyText ||| system and application software installed on usersâ
bodyText ||| computers. Software defectsâbugs such as susceptibility
bodyText ||| to buffer overflow attacks [7], cross site scripting [26], and
bodyText ||| so forthârepresent vectors through which malware can
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| CHI 2008, April 5â10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00
bodyText ||| infect and compromise usersâ machines. Once machines
bodyText ||| have been compromised, malicious parties can extract
bodyText ||| personal information from them, or enlist them into botnets
bodyText ||| to serve in further attacks on network resources. The latter
bodyText ||| threat, in particular, has a significant impact on the entire
bodyText ||| Internet community as botnets are the means to Distributed
bodyText ||| Denial of Service (DDoS), spam and phishing attacks [14];
bodyText ||| the exponential increase in size and number of botnets [6]
bodyText ||| is a stark reflection on the number of vulnerable machines
bodyText ||| that exist in the Internet. Ironically, in many cases, patches
bodyText ||| exist to repair these vulnerabilities; however, users are
bodyText ||| often unaware that such patches exist, or are unmotivated to
bodyText ||| install them, or may not know how to install them.
bodyText ||| Numerous reports from both government and industry
bodyText ||| sources highlight the magnitude of the threat posed by
bodyText ||| unpatched software vulnerabilities. For example, statistics
