note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
title ||| Donât Look Now, But Weâve Created a Bureaucracy:
title ||| The Nature and Roles of Policies and Rules
title ||| in Wikipedia
author ||| Brian Butler
affiliation ||| Katz Graduate School of
affiliation ||| Business, University of
affiliation ||| Pittsburgh
email ||| bbutler@katz.pitt.edu
author ||| Elisabeth Joyce
affiliation ||| Edinboro University of
affiliation ||| Pennsylvania
email ||| ejoyce@edinboro.edu
author ||| Jacqueline Pike
affiliation ||| Katz Graduate School of
affiliation ||| Business, University of
affiliation ||| Pittsburgh
email ||| jpike@katz.pitt.edu
sectionHeader ||| ABSTRACT
bodyText ||| Wikis are sites that support the development of emergent,
bodyText ||| collective infrastructures that are highly flexible and open,
bodyText ||| suggesting that the systems that use them will be
bodyText ||| egalitarian, free, and unstructured. Yet it is apparent that
bodyText ||| the flexible infrastructure of wikis allows the development
bodyText ||| and deployment of a wide range of structures. However, we
bodyText ||| find that the policies in Wikipedia and the systems and
bodyText ||| mechanisms that operate around them are multi-faceted. In
bodyText ||| this descriptive study, we draw on prior work on rules and
bodyText ||| policies in organizations to propose and apply a conceptual
bodyText ||| framework for understanding the natures and roles of
bodyText ||| policies in wikis. We conclude that wikis are capable of
bodyText ||| supporting a broader range of structures and activities than
bodyText ||| other collaborative platforms. Wikis allow for and, in fact,
bodyText ||| facilitate the creation of policies that serve a wide variety of
bodyText ||| functions.
sectionHeader ||| Author Keywords
keyword ||| Wikis, Wikipedia, community, collaboration, policy,
keyword ||| policies, rules, dynamics.
sectionHeader ||| ACM Classification Keywords
category ||| K.4.3. [Computers and Society]: Organizational Impact â
category ||| Computer-supported collaborative work, H.5.3
category ||| [Information Interfaces]: Group and Organization Interfaces
category ||| - Collaborative computing, Web-based interaction,
category ||| Computer-supported cooperative work, H.3.5 [Information
category ||| Storage and Retrieval]: Online Information Systems.
sectionHeader ||| INTRODUCTION
construct ||| âThe Wikipedia online encyclopedia â written by
construct ||| thousands of individuals working without a boss â shows
construct ||| the way... â [28]
bodyText ||| Wikipedia is characterized by many as emergent, complex,
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| CHI 2008, April 5â10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00
bodyText ||| messy, informal, popularly uncontrolled, non-
bodyText ||| organizational, and radically different from traditional
bodyText ||| organizations [5, 11, 22, 42, 52, 53]. Consistent with this
bodyText ||| characterization, one of the founding principles of
bodyText ||| Wikipedia is âIgnore all rules,â which states that if a rule
bodyText ||| inhibits developing Wikipedia, the contributor should
bodyText ||| ignore it [45].
bodyText ||| Yet examination of the administrative structures of
bodyText ||| Wikipedia reveals a complex structure of rules, processes,
bodyText ||| policies, and roles. There are 44 wiki pages in the
bodyText ||| âWikipedia Official Policyâ category as of September
bodyText ||| 20071. There are 248 wiki pages categorized as âWikipedia
bodyText ||| guidelinesâ which are organized into at least eight
bodyText ||| subcategories. In addition, these do not seem to be
bodyText ||| sufficient, since there are 45 pending proposals for
bodyText ||| guidelines and policies, not to mention the 200 rejected
bodyText ||| proposals for guidelines and policies.
bodyText ||| Even the principle of âIgnore all rules,â labeled as one of
bodyText ||| the official Wikipedia policies, is not immune from such
bodyText ||| âdevelopmentâ [45]. While the âIgnore all rulesâ policy
bodyText ||| itself is only sixteen words long, the page explaining what
bodyText ||| the policy means contains over 500 words, refers readers to
bodyText ||| seven other documents, has generated over 8,000 words of
bodyText ||| discussion, and has been changed over 100 times in less
bodyText ||| than a year.
bodyText ||| Studies of Wikipedia activities [5, 11, 42, 43] and
bodyText ||| anecdotal discussions among participants [49] suggest that
bodyText ||| these policies, rules, and guidelines play an important part
bodyText ||| in both the day-to-day operations and overall success of
bodyText ||| Wikipedia. These arguments are consistent with findings
bodyText ||| and arguments made with regard to other types of online
bodyText ||| collective action, such as online communities [19, 24, 32],
bodyText ||| open source development [15, 16, 26, 41, 44], and virtual
bodyText ||| organizations [1].
bodyText ||| The purpose of this study is to propose a conceptual
bodyText ||| framework for understanding the nature and role of policies
bodyText ||| and rules within wikis. Drawing from prior studies of rules
footnote ||| 1 All references to Wikipedia content are based on data
footnote ||| exported from the site in September 2007. Since the
footnote ||| policies undergo perpetual re-editing and reconfiguring, the
footnote ||| data presented here represents a snap-shot.
page ||| 1101
note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
bodyText ||| and policies in a variety of contexts, including teams,
bodyText ||| traditional organizations, and legal systems [29], different
bodyText ||| images of rules and policies are considered. In each case,
bodyText ||| examples and evidence are drawn from Wikipedia to
bodyText ||| illustrate that view of rules and policies. Following this we
bodyText ||| discuss the implications of the framework for understanding
bodyText ||| both the potential and likely outcomes of wiki efforts and
bodyText ||| design implications of the different perspectives for both
bodyText ||| wiki implementation and development of infrastructures for
bodyText ||| supporting wiki-like initiatives.
sectionHeader ||| RULES, POLICIES AND GUIDELINES
bodyText ||| In the broadest scope, terms like rules, policies, and
bodyText ||| guidelines all refer to the âexplicit and implicit norms,
bodyText ||| regulations, and expectations that regulate the behavior of
bodyText ||| individuals and interactions between themâ [29 p. 5].
bodyText ||| Taken in its most general sense, this definition can also be
bodyText ||| seen as including informal or implicit norms and constraints
bodyText ||| that can significantly affect behavior and interaction, even
bodyText ||| though they are not formally recognized or recorded.
bodyText ||| Given the widely discussed importance of informal norms
bodyText ||| in contexts such as open source projects [35, 41] and other
bodyText ||| online social settings [3, 4], it may be beneficial to equate
bodyText ||| formal and informal rules. In particular this approach
bodyText ||| suggests that insights and results from the study of explicit,
bodyText ||| formal rules and policies may be useful for understanding
bodyText ||| the development, application, and impact of informal rules
bodyText ||| and norms. However, in this study we focus on formal, or
bodyText ||| written, policies, rules, and guidelines.
bodyText ||| We use the terms rules, policies, and guidelines
bodyText ||| interchangeably. While there are some contexts in which
bodyText ||| these are clearly conceptually distinguishable, the
bodyText ||| difference between and application of the terms vary from
bodyText ||| context to context. This suggests that while some aspects
bodyText ||| require distinguishing them from each other, there is not
bodyText ||| ready agreement on what they are or how the terms should
bodyText ||| be used. Furthermore, and for our purposes perhaps more
bodyText ||| importantly, this conceptual equivalence is reflected in the
bodyText ||| Wikipedia definitions which state:
construct ||| âA guideline is any page that is: (1) actionable (i.e. it
construct ||| recommends, or recommends against, an action to be taken
construct ||| by editors) and (2) authorized by consensus. Guidelines are
construct ||| not set in stone and should be treated with common sense
construct ||| and the occasional exception.
construct ||| A policy is similar to a guideline, only more official and
construct ||| less likely to have exceptions.â [48]
bodyText ||| This study focuses on formal written policies for both
bodyText ||| practical and conceptual reasons. Practically, formal rules
bodyText ||| are ideal for study because of the relative ease of
bodyText ||| determining what the policy is, when it was put in place,
bodyText ||| who participated in creating it, when it was referenced, and,
bodyText ||| in some cases, when it was removed. This is particularly
bodyText ||| true in the context of a wiki because of its facilities for
bodyText ||| archiving and managing collaborative documents.
bodyText ||| However, beyond the practical issues, formal written rules
bodyText ||| and policies are significant because of their role as
bodyText ||| boundary objects [33, 34], or as specifications of how the
bodyText ||| content will be used and communication will occur. They
bodyText ||| can serve a variety of purposes by virtue of the fact that
bodyText ||| they are explicit and external. Because they are explicit and
bodyText ||| visible, though, written policies and rules are often sites of
bodyText ||| conflict [29 p. 18]. These same characteristics also mean
bodyText ||| that written policies have greater potential as levers for
bodyText ||| developers, designers, and managers to affect a community
bodyText ||| or collaborative effort [10, 19].
bodyText ||| Hence, while it may be the case that informal norms are
bodyText ||| important, it makes sense to focus on the nature and role of
bodyText ||| formal written rules and policies in the operation of a
bodyText ||| distributed collaborative effort like Wikipedia.
sectionHeader ||| IMAGES AND ROLES OF RULES AND POLICIES
