note ||| CHI 2008 Proceedings Â· Shared Authoring	April 5-10, 2008 Â· Florence, Italy
title ||| Exploring the Role of the Reader in the Activity of
title ||| Blogging
author ||| Eric Baumer	Mark Sueyoshi	Bill Tomlinson
affiliation ||| Department of Informatics	Intâl Studies / East Asian Cultures	Department of Informatics
affiliation ||| U of California, Irvine, USA	U of California, Irvine, USA	U of California, Irvine, USA
email ||| ebaumer@ics.uci.edu	msueyosh@uci.edu	wmt@uci.edu
sectionHeader ||| ABSTRACT
bodyText ||| Within the last decade, blogs have become an important
bodyText ||| element of popular culture, mass media, and the daily lives
bodyText ||| of countless Internet users. Despite the mediumâs
bodyText ||| interactive nature, most research on blogs focuses on either
bodyText ||| the blog itself or the blogger, rarely if at all focusing on the
bodyText ||| readerâs impact. In order to gain a better understanding of
bodyText ||| the social practice of blogging, we must take into account
bodyText ||| the role, contributions, and significance of the reader. This
bodyText ||| paper presents the findings of a qualitative study of blog
bodyText ||| readers, including common blog reading practices, some of
bodyText ||| the dimensions along which reading practices vary,
bodyText ||| relationships between identity presentation and perception,
bodyText ||| the interpretation of temporality, and the ways in which
bodyText ||| readers feel that they are a part of the blogs they read. It
bodyText ||| also describes similarities to, and discrepancies with,
bodyText ||| previous work, and suggests a number of directions and
bodyText ||| implications for future work on blogging.
sectionHeader ||| Author Keywords
keyword ||| Blogging, blog readers.
sectionHeader ||| ACM Classification Keywords
category ||| H.5.m. Information interfaces and presentation (e.g., HCI):
category ||| Miscellaneous; K.4.m. Computers and Society:
category ||| Miscellaneous.
sectionHeader ||| INTRODUCTION
bodyText ||| By most indications, blogs are proliferating at an ever-
bodyText ||| increasing rate. Although specific figures vary among
bodyText ||| different sources [16,25] there is consensus that blogs have
bodyText ||| become an important, active, and influential part of online
bodyText ||| media. Research on blogging, e.g., [11,15,21], has revealed
bodyText ||| important insights about the activity of blogging, the
bodyText ||| attitudes of bloggers, and the practices surrounding blogs.
bodyText ||| However, blogging is not a solo activity. While work has
bodyText ||| been done in areas such as analyzing conversations between
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| CHI 2008, April 5â10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00.
bodyText ||| blogs, e.g., [7,10], and applying social network analysis to
bodyText ||| blogs, e.g., [8,19], little work has been done examining the
bodyText ||| role of the reader in the blogging process. This gap is
bodyText ||| surprising, considering Nardi et al.âs prediction that âfuture
bodyText ||| research is sure to pay attention to blog readersâ [21:231].
bodyText ||| Furthermore, according to Lenhart and Fox [16], as of July
bodyText ||| 2006, 57 million American adults read blogs, over a third of
bodyText ||| the 147 million who use the Internet. Sifry [25] puts the
bodyText ||| number of unique Technorati visitors at over 9 million in
bodyText ||| March 2007, up by over 50% from February 2007. Clearly,
bodyText ||| not only is the number of blogs increasing, but also the
bodyText ||| number of blog readers. The role of this ever increasing
bodyText ||| population of blog readers presents a promising and
bodyText ||| important, yet little-explored, area of research.
bodyText ||| This paper is not the first call for a focus on readers. In the
bodyText ||| 1960âs and 1970âs, a shift occurred in literary theory from
bodyText ||| focusing primarily on the literary object itself to including
bodyText ||| the readerâs response to the literature. Reader-response
bodyText ||| theory, or reader-response criticism, cf. [3,17], focuses not
bodyText ||| on the literature itself but rather on the audienceâs response
bodyText ||| to, and interpretation of, the text. The reader is not a passive
bodyText ||| recipient of content, this critique argues, but rather engages
bodyText ||| in an active process of interpretation. Reality and meaning
bodyText ||| exist neither solely in the text nor solely in the reader, but
bodyText ||| are constructed through the dialectic interactions between
bodyText ||| the two. Similarly, the reality and meaning of a blog exists
bodyText ||| neither solely in the blog itself nor solely in the reader, but
bodyText ||| rather in the readerâs active interpretation of, and
bodyText ||| interaction with, the blog. Furthermore, technologies and
bodyText ||| practices such as commenting, linking, tagging, and
bodyText ||| trackbacks enable a level of explicit interaction with both
bodyText ||| the text and the author not available in previous textual
bodyText ||| media. This paper argues for a shift in the study of blogging
bodyText ||| similar to that in literary criticism represented by reader-
bodyText ||| response theory. This shift to emphasize the interactional
bodyText ||| aspects of blogging also fits into a larger trend in HCI
bodyText ||| research of moving from the user as information processor,
bodyText ||| to human actor, to embodied experiencer [5]. In order to
