title ||| Investigations on Word Senses and Word Usages
author ||| Katrin Erk	Diana McCarthy	Nicholas Gaylord
affiliation ||| University of Texas at Austin	University of Sussex	University of Texas at Austin
email ||| katrin.erk@mail.utexas.edu	dianam@sussex.ac.uk	nlgaylord@mail.utexas.edu
sectionHeader ||| Abstract
bodyText ||| The vast majority of work on word senses
bodyText ||| has relied on predefined sense invento-
bodyText ||| ries and an annotation schema where each
bodyText ||| word instance is tagged with the best fit-
bodyText ||| ting sense. This paper examines the case
bodyText ||| for a graded notion of word meaning in
bodyText ||| two experiments, one which uses WordNet
bodyText ||| senses in a graded fashion, contrasted with
bodyText ||| the “winner takes all” annotation, and one
bodyText ||| which asks annotators to judge the similar-
bodyText ||| ity of two usages. We find that the graded
bodyText ||| responses correlate with annotations from
bodyText ||| previous datasets, but sense assignments
bodyText ||| are used in a way that weakens the case for
bodyText ||| clear cut sense boundaries. The responses
bodyText ||| from both experiments correlate with the
bodyText ||| overlap of paraphrases from the English
bodyText ||| lexical substitution task which bodes well
bodyText ||| for the use of substitutes as a proxy for
bodyText ||| word sense. This paper also provides two
bodyText ||| novel datasets which can be used for eval-
bodyText ||| uating computational systems.
sectionHeader ||| 1 Introduction
bodyText ||| The vast majority of work on word sense tag-
bodyText ||| ging has assumed that predefined word senses
bodyText ||| from a dictionary are an adequate proxy for the
bodyText ||| task, although of course there are issues with
bodyText ||| this enterprise both in terms of cognitive valid-
bodyText ||| ity (Hanks, 2000; Kilgarriff, 1997; Kilgarriff,
bodyText ||| 2006) and adequacy for computational linguis-
bodyText ||| tics applications (Kilgarriff, 2006). Furthermore,
bodyText ||| given a predefined list of senses, annotation efforts
bodyText ||| and computational approaches to word sense dis-
bodyText ||| ambiguation (WSD) have usually assumed that one
bodyText ||| best fitting sense should be selected for each us-
bodyText ||| age. While there is usually some allowance made
bodyText ||| for multiple senses, this is typically not adopted by
bodyText ||| annotators or computational systems.
bodyText ||| Research on the psychology of concepts (Mur-
bodyText ||| phy, 2002; Hampton, 2007) shows that categories
bodyText ||| in the human mind are not simply sets with clear-
bodyText ||| cut boundaries: Some items are perceived as
bodyText ||| more typical than others (Rosch, 1975; Rosch and
bodyText ||| Mervis, 1975), and there are borderline cases on
bodyText ||| which people disagree more often, and on whose
bodyText ||| categorization they are more likely to change their
bodyText ||| minds (Hampton, 1979; McCloskey and Glucks-
bodyText ||| berg, 1978). Word meanings are certainly related
bodyText ||| to mental concepts (Murphy, 2002). This raises
bodyText ||| the question of whether there is any such thing as
bodyText ||| the one appropriate sense for a given occurrence.
bodyText ||| In this paper we will explore using graded re-
bodyText ||| sponses for sense tagging within a novel annota-
bodyText ||| tion paradigm. Modeling the annotation frame-
bodyText ||| work after psycholinguistic experiments, we do
bodyText ||| not train annotators to conform to sense distinc-
bodyText ||| tions; rather we assess individual differences by
bodyText ||| asking annotators to produce graded ratings in-
bodyText ||| stead of making a binary choice. We perform two
bodyText ||| annotation studies. In the first one, referred to
bodyText ||| as WSsim (Word Sense Similarity), annotators
bodyText ||| give graded ratings on the applicability of Word-
bodyText ||| Net senses. In the second one, Usim (Usage Sim-
bodyText ||| ilarity), annotators rate the similarity of pairs of
bodyText ||| occurrences (usages) of a common target word.
bodyText ||| Both studies explore whether users make use of
bodyText ||| a graded scale or persist in making binary deci-
bodyText ||| sions even when there is the option for a graded
bodyText ||| response. The first study additionally tests to what
bodyText ||| extent the judgments on WordNet senses fall into
bodyText ||| clear-cut clusters, while the second study allows
bodyText ||| us to explore meaning similarity independently of
bodyText ||| any lexicon resource.
page ||| 10
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 10–18,
note ||| Suntec, Singapore, 2-7 August 2009. c�2009 ACL and AFNLP
sectionHeader ||| 2 Related Work
bodyText ||| Manual word sense assignment is difficult for
bodyText ||| human annotators (Krishnamurthy and Nicholls,
bodyText ||| 2000). Reported inter-annotator agreement (ITA)
bodyText ||| for fine-grained word sense assignment tasks has
bodyText ||| ranged between 69% (Kilgarriff and Rosenzweig,
bodyText ||| 2000) for a lexical sample using the HECTOR dic-
bodyText ||| tionary and 78.6.% using WordNet (Landes et al.,
bodyText ||| 1998) in all-words annotation. The use of more
bodyText ||| coarse-grained senses alleviates the problem: In
bodyText ||| OntoNotes (Hovy et al., 2006), an ITA of 90% is
bodyText ||| used as the criterion for the construction of coarse-
bodyText ||| grained sense distinctions. However, intriguingly,
bodyText ||| for some high-frequency lemmas such as leave
bodyText ||| this ITA threshold is not reached even after mul-
bodyText ||| tiple re-partitionings of the semantic space (Chen
bodyText ||| and Palmer, 2009). Similarly, the performance
bodyText ||| of WSD systems clearly indicates that WSD is not
bodyText ||| easy unless one adopts a coarse-grained approach,
bodyText ||| and then systems tagging all words at best perform
bodyText ||| a few percentage points above the most frequent
bodyText ||| sense heuristic (Navigli et al., 2007). Good perfor-
bodyText ||| mance on coarse-grained sense distinctions may
bodyText ||| be more useful in applications than poor perfor-
bodyText ||| mance on fine-grained distinctions (Ide and Wilks,
bodyText ||| 2006) but we do not know this yet and there is
bodyText ||| some evidence to the contrary (Stokoe, 2005).
bodyText ||| Rather than focus on the granularity of clus-
bodyText ||| ters, the approach we will take in this paper
bodyText ||| is to examine the phenomenon of word mean-
bodyText ||| ing both with and without recourse to predefined
bodyText ||| senses by focusing on the similarity of uses of a
bodyText ||| word. Human subjects show excellent agreement
bodyText ||| on judging word similarity out of context (Ruben-
bodyText ||| stein and Goodenough, 1965; Miller and Charles,
bodyText ||| 1991), and human judgments have previously been
bodyText ||| used successfully to study synonymy and near-
bodyText ||| synonymy (Miller and Charles, 1991; Bybee and
bodyText ||| Eddington, 2006). We focus on polysemy rather
bodyText ||| than synonymy. Our aim will be to use WSsim
bodyText ||| to determine to what extent annotations form co-
bodyText ||| hesive clusters. In principle, it should be possi-
bodyText ||| ble to use existing sense-annotated data to explore
bodyText ||| this question: almost all sense annotation efforts
bodyText ||| have allowed annotators to assign multiple senses
bodyText ||| to a single occurrence, and the distribution of these
bodyText ||| sense labels should indicate whether annotators
bodyText ||| viewed the senses as disjoint or not. However,
bodyText ||| the percentage of markables that received multi-
bodyText ||| ple sense labels in existing corpora is small, and it
bodyText ||| varies massively between corpora: In the SemCor
bodyText ||| corpus (Landes et al., 1998), only 0.3% of all
bodyText ||| markables received multiple sense labels. In the
bodyText ||| SENSEVAL-3 English lexical task corpus (Mihal-
