title ||| Cross Language Dependency Parsing using a Bilingual Lexicon*
author ||| Hai Zhao(O— )tt, Yan Song(*,,O)t, Chunyu Kitt, Guodong Zhout
affiliation ||| tDepartment of Chinese, Translation and Linguistics
affiliation ||| City University of Hong Kong
address ||| 83 Tat Chee Avenue, Kowloon, Hong Kong, China
affiliation ||| $School of Computer Science and Technology
address ||| Soochow University, Suzhou, China 2'5006
email ||| {haizhao,yansong,ctckit}@cityu.edu.hk, gdzhou@suda.edu.cn
sectionHeader ||| Abstract
bodyText ||| This paper proposes an approach to en-
bodyText ||| hance dependency parsing in a language
bodyText ||| by using a translated treebank from an-
bodyText ||| other language. A simple statistical ma-
bodyText ||| chine translation method, word-by-word
bodyText ||| decoding, where not a parallel corpus but
bodyText ||| a bilingual lexicon is necessary, is adopted
bodyText ||| for the treebank translation. Using an en-
bodyText ||| semble method, the key information ex-
bodyText ||| tracted from word pairs with dependency
bodyText ||| relations in the translated text is effectively
bodyText ||| integrated into the parser for the target lan-
bodyText ||| guage. The proposed method is evaluated
bodyText ||| in English and Chinese treebanks. It is
bodyText ||| shown that a translated English treebank
bodyText ||| helps a Chinese parser obtain a state-of-
bodyText ||| the-art result.
sectionHeader ||| 1 Introduction
bodyText ||| Although supervised learning methods bring state-
bodyText ||| of-the-art outcome for dependency parser infer-
bodyText ||| ring (McDonald et al., 2005; Hall et al., 2007), a
bodyText ||| large enough data set is often required for specific
bodyText ||| parsing accuracy according to this type of meth-
bodyText ||| ods. However, to annotate syntactic structure, ei-
bodyText ||| ther phrase- or dependency-based, is a costly job.
bodyText ||| Until now, the largest treebanks' in various lan-
bodyText ||| guages for syntax learning are with around one
bodyText ||| million words (or some other similar units). Lim-
bodyText ||| ited data stand in the way of further performance
bodyText ||| enhancement. This is the case for each individual
bodyText ||| language at least. But, this is not the case as we
bodyText ||| observe all treebanks in different languages as a
bodyText ||| whole. For example, of ten treebanks for CoNLL-
bodyText ||| 2007 shared task, none includes more than 500K
footnote ||| �The study is partially supported by City University of
footnote ||| Hong Kong through the Strategic Research Grant 7002037
footnote ||| and 7002388. The first author is sponsored by a research fel-
footnote ||| lowship from CTL, City University of Hong Kong.
footnote ||| 'It is a tradition to call an annotated syntactic corpus as
footnote ||| treebank in parsing community.
bodyText ||| tokens, while the sum of tokens from all treebanks
bodyText ||| is about two million (Nivre et al., 2007).
bodyText ||| As different human languages or treebanks
bodyText ||| should share something common, this makes it
bodyText ||| possible to let dependency parsing in multiple lan-
bodyText ||| guages be beneficial with each other. In this pa-
bodyText ||| per, we study how to improve dependency parsing
bodyText ||| by using (automatically) translated texts attached
bodyText ||| with transformed dependency information. As a
bodyText ||| case study, we consider how to enhance a Chinese
bodyText ||| dependency parser by using a translated English
bodyText ||| treebank. What our method relies on is not the
bodyText ||| close relation of the chosen language pair but the
bodyText ||| similarity of two treebanks, this is the most differ-
bodyText ||| ent from the previous work.
bodyText ||| Two main obstacles are supposed to confront in
bodyText ||| a cross-language dependency parsing task. The
bodyText ||| first is the cost of translation. Machine translation
bodyText ||| has been shown one of the most expensive lan-
bodyText ||| guage processing tasks, as a great deal of time and
bodyText ||| space is required to perform this task. In addition,
bodyText ||| a standard statistical machine translation method
bodyText ||| based on a parallel corpus will not work effec-
bodyText ||| tively if it is not able to find a parallel corpus that
bodyText ||| right covers source and target treebanks. How-
bodyText ||| ever, dependency parsing focuses on the relations
bodyText ||| of word pairs, this allows us to use a dictionary-
bodyText ||| based translation without assuming a parallel cor-
bodyText ||| pus available, and the training stage of translation
bodyText ||| may be ignored and the decoding will be quite fast
bodyText ||| in this case. The second difficulty is that the out-
bodyText ||| puts of translation are hardly qualified for the pars-
bodyText ||| ing purpose. The most challenge in this aspect is
bodyText ||| morphological preprocessing. We regard that the
bodyText ||| morphological issue should be handled aiming at
bodyText ||| the specific language, our solution here is to use
bodyText ||| character-level features for a target language like
bodyText ||| Chinese.
bodyText ||| The rest of the paper is organized as follows.
bodyText ||| The next section presents some related existing
bodyText ||| work. Section 3 describes the procedure on tree-
page ||| 55
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 55–63,
note ||| Suntec, Singapore, 2-7 August 2009. c�2009 ACL and AFNLP
bodyText ||| bank translation and dependency transformation.
bodyText ||| Section 4 describes a dependency parser for Chi-
bodyText ||| nese as a baseline. Section 5 describes how a
bodyText ||| parser can be strengthened from the translated
bodyText ||| treebank. The experimental results are reported in
bodyText ||| Section 6. Section 7 looks into a few issues con-
bodyText ||| cerning the conditions that the proposed approach
bodyText ||| is suitable for. Section 8 concludes the paper.
sectionHeader ||| 2 The Related Work
bodyText ||| As this work is about exploiting extra resources to
bodyText ||| enhance an existing parser, it is related to domain
bodyText ||| adaption for parsing that has been draw some in-
bodyText ||| terests in recent years. Typical domain adaptation
bodyText ||| tasks often assume annotated data in new domain
bodyText ||| absent or insufficient and a large scale unlabeled
bodyText ||| data available. As unlabeled data are concerned,
bodyText ||| semi-supervised or unsupervised methods will be
bodyText ||| naturally adopted. In previous works, two basic
bodyText ||| types of methods can be identified to enhance an
bodyText ||| existing parser from additional resources. The first
bodyText ||| is usually focus on exploiting automatic generated
bodyText ||| labeled data from the unlabeled data (Steedman
bodyText ||| et al., 2003; McClosky et al., 2006; Reichart and
bodyText ||| Rappoport, 2007; Sagae and Tsujii, 2007; Chen
bodyText ||| et al., 2008), the second is on combining super-
bodyText ||| vised and unsupervised methods, and only unla-
bodyText ||| beled data are considered (Smith and Eisner, 2006;
bodyText ||| Wang and Schuurmans, 2008; Koo et al., 2008).
bodyText ||| Our purpose in this study is to obtain a further
bodyText ||| performance enhancement by exploiting treebanks
bodyText ||| in other languages. This is similar to the above
bodyText ||| first type of methods, some assistant data should
bodyText ||| be automatically generated for the subsequent pro-
bodyText ||| cessing. The differences are what type of data are
bodyText ||| concerned with and how they are produced. In our
bodyText ||| method, a machine translation method is applied
bodyText ||| to tackle golden-standard treebank, while all the
bodyText ||| previous works focus on the unlabeled data.
bodyText ||| Although cross-language technique has been
bodyText ||| used in other natural language processing tasks,
bodyText ||| it is basically new for syntactic parsing as few
bodyText ||| works were concerned with this issue. The rea-
bodyText ||| son is straightforward, syntactic structure is too
bodyText ||| complicated to be properly translated and the cost
bodyText ||| of translation cannot be afforded in many cases.
bodyText ||| However, we empirically find this difficulty may
bodyText ||| be dramatically alleviated as dependencies rather
bodyText ||| than phrases are used for syntactic structure repre-
bodyText ||| sentation. Even the translation outputs are not so
bodyText ||| good as the expected, a dependency parser for the
bodyText ||| target language can effectively make use of them
bodyText ||| by only considering the most related information
bodyText ||| extracted from the translated text.
