title ||| A New Statistical Formula for Chinese Text Segmentation
title ||| Incorporating Contextual Information
author ||| Yubin Dai
author ||| Christopher S.G. Khoo
affiliation ||| Division of Information Studies
affiliation ||| School of Applied Science
affiliation ||| Nanyang Technological University
address ||| Singapore 639798
address ||| (65) 790-4602
email ||| dyb_lte@hotmail.com
email ||| assgkhoo@ntu.edu.sg
sectionHeader ||| ABSTRACT
bodyText ||| A new statistical formula for identifying 2-character words in
bodyText ||| Chinese text, called the contextual information formula, was
bodyText ||| developed empirically by performing stepwise logistic regression
bodyText ||| using a sample of sentences that had been manually segmented.
bodyText ||| Contextual information in the form of the frequency of characters
bodyText ||| that are adjacent to the bigram being processed as well as the
bodyText ||| weighted document frequency of the overlapping bigrams were
bodyText ||| found to be significant factors for predicting the probablity that
bodyText ||| the bigram constitutes a word. Local information (the number of
bodyText ||| times the bigram occurs in the document being segmented) and
bodyText ||| the position of the bigram in the sentence were not found to be
bodyText ||| useful in determining words. The contextual information formula
bodyText ||| was found to be significantly and substantially better than the
bodyText ||| mutual information formula in identifying 2-character words.
bodyText ||| The method can also be used for identifying multi-word terms in
bodyText ||| English text.
sectionHeader ||| Keywords
keyword ||| Chinese text segmentation, word boundary identification, logistic
keyword ||| regression, multi-word terms
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Chinese text is different from English text in that there is no
bodyText ||| explicit word boundary. In English text, words are separated by
bodyText ||| spaces. Chinese text (as well as text of other Oriental languages)
bodyText ||| is made up of ideographic characters, and a word can comprise
bodyText ||| one, two or more such characters, without explicit indication
bodyText ||| where one word ends and another begins.
bodyText ||| This has implications for natural language processing and
bodyText ||| information retrieval with Chinese text. Text processing
bodyText ||| techniques that have been developed for Western languages deal
bodyText ||| with words as meaningful text units and assume that words are
bodyText ||| easy to identify. These techniques may not work well for Chinese
bodyText ||| text without some adjustments. To apply these techniques to
author ||| Teck Ee Loh
address ||| 10 Kent Ridge Crescent
affiliation ||| Data Storage Institute
address ||| Singapore 119260
address ||| (65) 874-8413
email ||| dsilohte@dsi.nus.edu.sg
bodyText ||| Chinese text, automatic methods for identifying word boundaries
bodyText ||| accurately have to be developed. The process of identifying word
bodyText ||| boundaries has been referred to as text segmentation or, more
bodyText ||| accurately, word segmentation.
bodyText ||| Several techniques have been developed for Chinese text
bodyText ||| segmentation. They can be divided into:
listItem ||| 1. statistical methods, based on statistical properties and
listItem ||| frequencies of characters and character strings in a corpus
listItem ||| (e.g. [13] and [16]).
listItem ||| 2. dictionary-based methods, often complemented with
listItem ||| grammar rules. This approach uses a dictionary of words to
listItem ||| identify word boundaries. Grammar rules are often used to
listItem ||| resolve conflicts (choose between alternative segmentations)
listItem ||| and to improve the segmentation (e.g. [4], [8], [19] and [20]).
listItem ||| 3. syntax-based methods, which integrate the word
listItem ||| segmentation process with syntactic parsing or part-of-speech
listItem ||| tagging (e.g. [1]).
listItem ||| 4. conceptual methods, that make use of some kind of semantic
listItem ||| processing to extract information and store it in a knowledge
listItem ||| representation scheme. Domain knowledge is used for
listItem ||| disambiguation (e.g. [9]).
bodyText ||| Many researchers use a combination of methods (e.g. [14]).
bodyText ||| The objective of this study was to empirically develop a
bodyText ||| statistical formula for Chinese text segmentation. Researchers
bodyText ||| have used different statistical methods in segmentation, most of
bodyText ||| which were based on theoretical considerations or adopted from
bodyText ||| other fields. In this study, we developed a statistical formula
bodyText ||| empirically by performing stepwise logistic regression using a
bodyText ||| sample of sentences that had been manually segmented. This
bodyText ||| paper reports the new formula developed for identifying 2-
bodyText ||| character words, and the effectiveness of this formula compared
bodyText ||| with the mutual information formula.
bodyText ||| This study has the following novel aspects:
listItem ||| •	The statistical formula was derived empirically using
listItem ||| regression analysis.
listItem ||| •	The manual segmentation was performed to identify
bodyText ||| meaningful	words rather than simple words.
bodyText ||| Meaningful words include phrasal words and multi-
bodyText ||| word terms.
listItem ||| •	In addition to the relative frequencies of bigrams and
bodyText ||| characters often used in other studies, our study also
bodyText ||| investigated the use of document frequencies and weighted
page ||| 82
bodyText ||| document frequencies. Weighted document frequencies are
bodyText ||| similar to document frequencies but each document is
bodyText ||| weighted by the square of the number of times the character
bodyText ||| or bigram occurs in the document.
listItem ||| •	Contextual information was included in the study. To predict
listItem ||| whether the bigram BC in the character string	A B C D
listItem ||| constitutes a word, we investigated whether the
listItem ||| frequencies for AB, CD, A and D should be included in the
listItem ||| formula.
listItem ||| •	Local frequencies were included in the study. We
listItem ||| investigated character and bigram frequencies within the
listItem ||| document in which the sentence occurs (i.e. the number of
listItem ||| times the character or bigram appears in the document being
listItem ||| segmented).
listItem ||| •	We investigated whether the position of the bigram (at the
listItem ||| beginning of the sentence, before a punctuation mark, or after
listItem ||| a punctuation mark) had a significant effect.
listItem ||| •	We developed a segmentation algorithm to apply the
listItem ||| statistical formula to segment sentences and resolve conflicts.
bodyText ||| In this study, our objective was to segment text into
bodyText ||| meaningful words rather than simple words . A simple
bodyText ||| word is the smallest independent unit of a sentence that has
bodyText ||| meaning on its own. A meaningful word can be a simple word or
bodyText ||| a compound word comprising 2 or more simple words –
bodyText ||| depending on the context. In many cases, the meaning of a
bodyText ||| compound word is more than just a combination of the meanings
bodyText ||| of the constituent simple words, i.e. some meaning is lost when
bodyText ||| the compound word is segmented into simple words.
bodyText ||| Furthermore, some phrases are used so often that native speakers
bodyText ||| perceive them and use them as a unit. Admittedly, there is some
bodyText ||| subjectivity in the manual segmentation of text. But the fact that
bodyText ||| statistical models can be developed to predict the manually
bodyText ||| segmented words substantially better than chance indicates some
bodyText ||| level of consistency in the manual segmentation.
bodyText ||| The problem of identifying meaningful words is not limited to
bodyText ||| Chinese and oriental languages. Identifying multi-word terms is
bodyText ||| also a problem in text processing with English and other Western
bodyText ||| languages, and researchers have used the mutual information
bodyText ||| formula and other statistical approaches for identifying such
bodyText ||| terms (e.g. [3], [6] and [7]).
sectionHeader ||| 2. PREVIOUS STUDIES
bodyText ||| There are few studies using a purely statistical approach to
bodyText ||| Chinese text segmentation. One statistical formula that has been
bodyText ||| used by other researchers (e.g. [11] and [16]) is the mutual
bodyText ||| information formula. Given a character string A B C D
bodyText ||| , the mutual information for the bigram BC is given by the
bodyText ||| formula:
equation ||| freq(BC)
equation ||| log2 freq(B) * freq(C)
equation ||| = log2 freq(BC) – log2 freq(B) – log2 freq(C)
bodyText ||| where freq refers to the relative frequency of the character or
bodyText ||| bigram in the corpus (i.e. the number of times the character or
bodyText ||| bigram occurs in the corpus divided by the number of characters
bodyText ||| in the corpus).
bodyText ||| Mutual information is a measure of how strongly the two
bodyText ||| characters are associated, and can be used as a measure of how
bodyText ||| likely the pair of characters constitutes a word. Sproat & Shih
bodyText ||| [16] obtained recall and precision values of 94% using mutual
bodyText ||| information to identify words. This study probably segmented
bodyText ||| text into simple words rather than meaningful words. In our
bodyText ||| study, text was segmented into meaningful words and we
bodyText ||| obtained much poorer results for the mutual information
bodyText ||| formula.
bodyText ||| Lua [12] and Lua & Gan [13] applied information theory to the
bodyText ||| problem of Chinese text segmentation. They calculated the
bodyText ||| information content of characters and words using the
bodyText ||| information entropy formula I = - log2 P, where P is the
bodyText ||| probability of occurrence of the character or word. If the
bodyText ||| information content of a character string is less than the sum of
bodyText ||| the information content of the constituent characters, then the
bodyText ||| character string is likely to constitute a word. The formula for
bodyText ||| calculating this loss of information content when a word is
bodyText ||| formed is identical to the mutual information formula. Lua &
bodyText ||| Gan [13] obtained an accuracy of 99% (measured in terms of the
bodyText ||| number of errors per 100 characters).
bodyText ||| Tung & Lee [18] also used information entropy to identify
bodyText ||| unknown words in a corpus. However, instead of calculating the
bodyText ||| entropy value for the character string that is hypothesized to be a
bodyText ||| word (i.e. the candidate word), they identified all the characters
bodyText ||| that occurred to the left of the candidate word in the corpus. For
