title ||| Accelerated Focused Crawling through
title ||| Online Relevance Feedback*
author ||| Soumen Chakrabartit	Kunal Punera	Mallela Subramanyam
affiliation ||| IIT Bombay	IIT Bombay	University of Texas, Austin
sectionHeader ||| Abstract
bodyText ||| The organization of HTML into a tag tree structure, which
bodyText ||| is rendered by browsers as roughly rectangular regions with
bodyText ||| embedded text and HREF links, greatly helps surfers locate
bodyText ||| and click on links that best satisfy their information need.
bodyText ||| Can an automatic program emulate this human behavior
bodyText ||| and thereby learn to predict the relevance of an unseen
bodyText ||| HREF target page w.r.t. an information need, based on
bodyText ||| information limited to the HREF source page? Such a
bodyText ||| capability would be of great interest in focused crawling and
bodyText ||| resource discovery, because it can fine-tune the priority of
bodyText ||| unvisited URLs in the crawl frontier, and reduce the number
bodyText ||| of irrelevant pages which are fetched and discarded.
bodyText ||| We show that there is indeed a great deal of usable
bodyText ||| information on a HREF source page about the relevance
bodyText ||| of the target page. This information, encoded suitably, can
bodyText ||| be exploited by a supervised apprentice which takes online
bodyText ||| lessons from a traditional focused crawler by observing
bodyText ||| a carefully designed set of features and events associated
bodyText ||| with the crawler. Once the apprentice gets a sufficient
bodyText ||| number of examples, the crawler starts consulting it to
bodyText ||| better prioritize URLs in the crawl frontier. Experiments on
bodyText ||| a dozen topics using a 482-topic taxonomy from the Open
bodyText ||| Directory (Dmoz) show that online relevance feedback can
bodyText ||| reduce false positives by 30% to 90%.
category ||| Categories and subject descriptors:
category ||| H.5.4 [Information interfaces and presentation]:
category ||| Hypertext/hypermedia; I.5.4 [Pattern recognition]:
category ||| Applications, Text processing; I.2.6 [Artificial
category ||| intelligence]: Learning; I.2.8 [Artificial intelligence]:
category ||| Problem Solving, Control Methods, and Search.
keyword ||| General terms: Algorithms, performance,
keyword ||| measurements, experimentation.
sectionHeader ||| Keywords: Focused crawling, Document object model,
sectionHeader ||| Reinforcement learning.
sectionHeader ||| 1 Introduction
bodyText ||| Keyword search and clicking on links are the dominant
bodyText ||| modes of accessing hypertext on the Web. Support for
bodyText ||| keyword search through crawlers and search engines is very
bodyText ||| mature, but the surfing paradigm is not modeled or assisted
footnote ||| *(Note: The HTML version of this paper is best viewed using
footnote ||| Microsoft Internet Explorer. To view the HTML version using
footnote ||| Netscape, add the following line to your ~/.Xdefaults or
footnote ||| ~/.Xresources file:
footnote ||| Netscape*documentFonts.charset*adobe-fontspecific: iso-8859-1
footnote ||| For printing use the PDF version, as browsers may not print the
footnote ||| mathematics properly.)
footnote ||| tContact author, email soumen@cse.iitb.ac.in
copyright ||| Copyright is held by the author/owner(s).
note ||| WWW2002, May 7–11, 2002, Honolulu, Hawaii, USA.
note ||| ACM 1-58113-449-5/02/0005
figureCaption ||| Figure 1: A basic focused crawler controlled by one topic
figureCaption ||| classifier/learner.
bodyText ||| as well. Support for surfing is limited to the basic interface
bodyText ||| provided by Web browsers, except for a few notable research
bodyText ||| prototypes.
bodyText ||| While surfing, the user typically has a topic-specific
bodyText ||| information need, and explores out from a few known
bodyText ||| relevant starting points in the Web graph (which may be
bodyText ||| query responses) to seek new pages relevant to the chosen
bodyText ||| topic/s. While deciding for or against clicking on a specific
bodyText ||| link (u, v), humans use a variety of clues on the source
bodyText ||| page u to estimate the worth of the (unseen) target page
bodyText ||| v, including the tag tree structure of u, text embedded in
bodyText ||| various regions of that tag tree, and whether the link is
bodyText ||| relative or remote. “Every click on a link is a leap of faith”
bodyText ||| [19], but humans are very good at discriminating between
bodyText ||| links based on these clues.
bodyText ||| Making an educated guess about the worth of clicking
bodyText ||| on a link (u, v) without knowledge of the target v is
bodyText ||| central to the surfing activity. Automatic programs which
bodyText ||| can learn this capability would be valuable for a number
bodyText ||| of applications which can be broadly characterized as
bodyText ||| personalized, topic-specific information foragers.
bodyText ||| Large-scale, topic-specific information gatherers are
bodyText ||| called focused crawlers [1, 9, 14, 28, 30]. In contrast to giant,
bodyText ||| all-purpose crawlers which must process large portions of
bodyText ||| the Web in a centralized manner, a distributed federation of
bodyText ||| focused crawlers can cover specialized topics in more depth
bodyText ||| and keep the crawl more fresh, because there is less to cover
bodyText ||| for each crawler.
bodyText ||| In its simplest form, a focused crawler consists of a
bodyText ||| supervised topic classifier (also called a ‘learner’) controlling
bodyText ||| the priority of the unvisited frontier of a crawler (see
bodyText ||| Figure 1). The classifier is trained a priori on document
bodyText ||| samples embedded in a topic taxonomy such as Yahoo!
bodyText ||| or Dmoz. It thereby learns to label new documents as
bodyText ||| belonging to topics in the given taxonomy [2, 5, 21]. The
bodyText ||| goal of the focused crawler is to start from nodes relevant
bodyText ||| to a focus topic c* in the Web graph and explore links to
bodyText ||| selectively collect pages about c*, while avoiding fetching
bodyText ||| pages not about c*.
bodyText ||| Suppose the crawler has collected a page u and
figure ||| If Pr(c*|u) is large enough
figure ||| then enqueue all outlinks v of u
figure ||| with priority Pr(c*|u)
figure ||| Dmoz
figure ||| topic
figure ||| taxonomy
figure ||| Class models
figure ||| consisting of
figure ||| term stats
figure ||| Frontier URLS
figure ||| priority queue
figure ||| Pick
figure ||| best
figure ||| Crawler
figure ||| Seed
figure ||| URLs
figure ||| Baseline learner
figure ||| Submit page for classification
figure ||| Newly fetched
figure ||| page u
