note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
title ||| Harvesting with SONAR - The Value of Aggregating Social
title ||| Network Information
author ||| Ido Guy, Michal Jacovi, Elad Shahar,
author ||| Noga Meshulam, Vladimir Soroka
affiliation ||| IBM Haifa Research Lab
address ||| Mt. Carmel, Haifa 31905, Israel
email ||| {ido, jacovi, elads, noga, vladi} @il.ibm.com
sectionHeader ||| ABSTRACT
bodyText ||| Web 2.0 gives people a substantial role in content and
bodyText ||| metadata creation. New interpersonal connections are
bodyText ||| formed and existing connections become evident. This
bodyText ||| newly created social network (SN) spans across multiple
bodyText ||| services and aggregating it could bring great value. In this
bodyText ||| work we present SONAR, an API for gathering and sharing
bodyText ||| SN information. We give a detailed description of SONAR,
bodyText ||| demonstrate its potential value through user scenarios, and
bodyText ||| show results from experiments we conducted with a
bodyText ||| SONAR-based social networking application within our
bodyText ||| organizational intranet. These suggest that aggregating SN
bodyText ||| information across diverse data sources enriches the SN
bodyText ||| picture and makes it more complete and useful for the end
bodyText ||| user.
sectionHeader ||| Author Keywords
keyword ||| Social networks, SN, social network analysis, SNA,
keyword ||| aggregation.
sectionHeader ||| ACM Classification Keywords
category ||| H.5.3 Group and Organizational Interfaces – Computer-
category ||| supported cooperative work
sectionHeader ||| INTRODUCTION
bodyText ||| Social software – software that has people as its focal point
bodyText ||| – is the core of Web 2.0. From blogs and wikis through
bodyText ||| recommender systems to social bookmarking and personal
bodyText ||| network systems – social applications proliferate. In
bodyText ||| continuation to its dominance on the internet, social
bodyText ||| software has recently emerged in organizations, as a mean
bodyText ||| of connecting employees in a better way and enhancing
bodyText ||| knowledge management and expertise location. Blogging
bodyText ||| systems [14], social bookmarking [19], and people tagging
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| CHI 2008, April 5–10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00.
author ||| Stephen Farrell
affiliation ||| IBM Almaden Research Center
address ||| 650 Harry Road, San Jose, California
email ||| sfarrell@almaden.ibm.com
bodyText ||| [7], are examples of social applications that became part of
bodyText ||| organizations’ intranets in the purpose of promoting intra-
bodyText ||| organizational interaction.
bodyText ||| Many of these social applications expose interesting
bodyText ||| information about people’s relationships. For example, by
bodyText ||| analysing blog commenters, or bookmarking similarities,
bodyText ||| connections among people can become evident. By
bodyText ||| extracting this information and aggregating it across
bodyText ||| multiple sources, a comprehensive and often intriguing
bodyText ||| picture of individual and organizational social networks
bodyText ||| may be revealed.
bodyText ||| Potential sources of social information are very diverse.
bodyText ||| Different users make use of different tools, and social
bodyText ||| information is scattered among many services and
bodyText ||| applications. As these applications rarely interoperate, each
bodyText ||| is typically only aware of its own social data and cannot
bodyText ||| benefit from other applications’ data.
bodyText ||| The diversity of sources of social networking data also
bodyText ||| brings a variety of semantics to interpersonal connections.
bodyText ||| While some of these semantics are straightforward and
bodyText ||| derived from the nature of the connection (brother, close
bodyText ||| friend, manager, etc.), others are more complex. Many
bodyText ||| researchers recognized that people are connected through
bodyText ||| artifacts. For example, many studies have investigated
bodyText ||| networks where two people are connected if they have co-
bodyText ||| authored a paper [22]. Newer examples of artifacts that
bodyText ||| connect people include email messages [3,28], and web
bodyText ||| pages [14]. Affiliation networks [29] present people’s
bodyText ||| connections through groups in which they co-participate,
bodyText ||| such as a board of directors, or a movie cast [22]. The
bodyText ||| above examples imply that aggregating social network data
bodyText ||| presents the challenge of creating a single framework,
bodyText ||| general yet informative, to fit all types of connections.
bodyText ||| To address the above challenges, we introduce SONAR
bodyText ||| (Social Networks Architecture) – an API for sharing social
bodyText ||| network data and aggregating it across applications to show
bodyText ||| who is related to whom and how. Applications
bodyText ||| implementing the SONAR API (SONAR providers) should
bodyText ||| provide internal information about how strongly people are
bodyText ||| connected and by what means. SONAR clients can use the
bodyText ||| SONAR API to access data from a single provider that
bodyText ||| implements the API. However, the more compelling case is
page ||| 1017
note ||| CHI 2008 Proceedings · Online Social Networks	April 5-10, 2008 · Florence, Italy
bodyText ||| where an intermediate component, an aggregator, is used
bodyText ||| by clients, with the very same SONAR API, to consolidate
bodyText ||| the data from different providers. This way, one can choose
bodyText ||| multiple providers and assign an appropriate weight to each
bodyText ||| of them. It is expected that federating more data providers
bodyText ||| will make the resulting answers to queries more complete.
bodyText ||| Clients of SONAR may vary from expertise miners,
bodyText ||| through network visualizers, to user interface widgets.
bodyText ||| SONAR answers questions such as “who does this person
bodyText ||| communicate with most?”, “what are all the artifacts co-
bodyText ||| authored by these two individuals?”, “whom should I invite
bodyText ||| to a brainstorm on a certain topic?”
bodyText ||| SONAR includes two types of data sources: personal
bodyText ||| (private) and public. Personal sources, such as email and
bodyText ||| instant messaging (IM), are only available to their owner
bodyText ||| and reflect the owner’s personal, or egocentric, social
bodyText ||| network (i.e., all nodes in the network are directly related to
bodyText ||| the owner). Public data sources, such as blogs and
bodyText ||| organizational charts, are available to all users and reflect
bodyText ||| their extended, or sociocentric, network. SONAR maintains
bodyText ||| the privacy model of its data sources: only those users who
bodyText ||| have access to a certain piece of data by the original
bodyText ||| provider will have access to the social information extracted
bodyText ||| from this data by SONAR.
bodyText ||| As of now, we implemented the SONAR API for over ten
bodyText ||| sources, public and personal, within the IBM intranet.
bodyText ||| SONAR’s ultimate goal is to be widely used by social
bodyText ||| networking and Web 2.0 services on the internet and to
bodyText ||| define a standard, analogous to RSS [11]. SONAR is based
bodyText ||| on the REST design pattern [9] and uses standard data
bodyText ||| formats such as Atom [23] and JSON [13].
bodyText ||| When used for creating a sociocentric view of a social
bodyText ||| network, SONAR is based solely on public sources. Any
bodyText ||| user may use this view to examine publicly visible
bodyText ||| connections within any group of people. When used for
bodyText ||| creating an egocentric view of a user’s network, SONAR
bodyText ||| also makes use of the user’s personal sources. Enriching the
bodyText ||| egocentric network, as reflected in personal sources, with
bodyText ||| information from public sources, opens up new
bodyText ||| opportunities for learning about one’s extended network
bodyText ||| (i.e., one’s connections and their connections with others).
bodyText ||| Consider, for example, Alice who seeks a social connection
bodyText ||| to Cindy. Cindy may not appear at all in Alice’s egocentric
bodyText ||| network based on personal sources. However, examining
bodyText ||| the extended network, Alice may discover that Bob – who
bodyText ||| appears on her egocentric network by her personal data – is
bodyText ||| related to Cindy according to public sources. Alice will then
bodyText ||| be able to discover a social path to Cindy through Bob,
