note ||| CHI 2008 Proceedings · Search	April 5-10, 2008 · Florence, Italy
title ||| The Adaptation of Visual Search Strategy to Expected
title ||| Information Gain
author ||| Yuan-Chi Tseng
affiliation ||| The University of Manchester
address ||| MBS Crawford House 2.30, Booth Street West,
address ||| Manchester, M15 6PB, UK
email ||| yuan-chi.tseng@postgrad.manchester.ac.uk
sectionHeader ||| ABSTRACT
bodyText ||| An important question for Human-Computer Interaction is
bodyText ||| to understand how and why visual search strategy is
bodyText ||| adapted to the demands imposed by the task of searching
bodyText ||| the results of a search engine. There is emerging evidence
bodyText ||| that a key part of the answer concerns the expected
bodyText ||| information gain of each of the set of available information
bodyText ||| gathering actions. We build on previous research to show
bodyText ||| that people are acutely sensitive to differences in the density
bodyText ||| and in the number of items returned by the search engine.
bodyText ||| These factors cause shifts in the efficiency of the available
bodyText ||| information gathering actions. We focus on an image
bodyText ||| browsing task, and show that, as a consequence of changes
bodyText ||| to the efficiency of available actions, people make small but
bodyText ||| significant changes to eye-movement strategy.
sectionHeader ||| Author Keywords
keyword ||| Visual Search, Visual Exploration, Strategy, Cognitive
keyword ||| Models, Decision Making, Image Search Results,
keyword ||| Thumbnails, Eye Movement, Density, Spacing
sectionHeader ||| ACM Classification Keywords
category ||| H.5.2 Information Interfaces and Presentation: User
category ||| Interfaces – Theory and methods; H.1.2 Models and
category ||| Principles: User/Machine Systems – Human Information
category ||| Processing; H.3.3 Information Storage and Retrieval:
category ||| Information Search and Retrieval – Selection process
sectionHeader ||| INTRODUCTION
bodyText ||| An important question for Human-Computer Interaction
bodyText ||| (HCI) is how to design the presentation of search results to
bodyText ||| facilitate visual search behaviour [9,20,35]. Researchers
bodyText ||| have proposed many alternatives to the standard list of
bodyText ||| results. They include Space-filling thumbnails of text [7],
bodyText ||| Tabular interface [36], Faceted category interface [42], and
bodyText ||| Textually-enhanced thumbnails [41].
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise,
copyright ||| or republish, to post on servers or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| CHI 2008, April 5–10, 2008, Florence, Italy.
copyright ||| Copyright 2008 ACM 978-1-60558-011-1/08/04...$5.00.
author ||| Andrew Howes
affiliation ||| The University of Manchester
address ||| MBS East F31, Booth Street West, Manchester,
address ||| M15 6PB, UK
email ||| howesa@manchester.ac.uk
bodyText ||| The number of proposals is, in part, a reflection of the scale
bodyText ||| of the design space. Identifying which of the potentially
bodyText ||| hundreds of interesting points in this space is best might be
bodyText ||| informed by a theory of how people choose to search
bodyText ||| through results, e.g. an ACT-R or EPIC theory of the
bodyText ||| cognitive, motor, and perceptual processing required to
bodyText ||| achieve the task [2,18,22,23]. Recent efforts to understand,
bodyText ||| what Payne, Howes and Reader [28] call interactive search
bodyText ||| tasks, have included [5,6,8,13,31]. However, it is
bodyText ||| sometimes difficult to ascertain which interface will be best
bodyText ||| when the details of the strategy that people will use given a
bodyText ||| particular task environment are unclear [10,14,17,19]. In
bodyText ||| this paper we are interested in the strategy choices that
bodyText ||| people make about visual search, i.e. how they choose to
bodyText ||| look at search results. Our focus is on the assumption that
bodyText ||| people attempt to maximise expected utility given the
bodyText ||| constraints of the human visual system [8,39] and that
bodyText ||| design changes which change the efficiency of information
bodyText ||| gathering actions will lead to changes in observed
bodyText ||| behaviour.
bodyText ||| There is some evidence in the visual perception and
bodyText ||| cognition literature that visual search strategy is adapted to
bodyText ||| the demands imposed by particular task environments
bodyText ||| [4,26,40]. It appears that people seek to maximise the
bodyText ||| efficiency of visual search in the context of the particular
