### Note the number of CPU for parallel crfpp is 6
Directory model does not exist! Creating ...
Executing: mkdir -p model
### Number of training files = 40
ACL09/P09-1001.txt ACL09/P09-1002.txt ACL09/P09-1003.txt ACL09/P09-1004.txt ACL09/P09-1005.txt ACL09/P09-1006.txt ACL09/P09-1007.txt ACL09/P09-1008.txt ACL09/P09-1009.txt ACL09/P09-1010.txt ACM/1.txt ACM/10.txt ACM/12.txt ACM/13.txt ACM/14.txt ACM/15.txt ACM/17.txt ACM/18.txt ACM/19.txt ACM/21.txt ACM/22.txt ACM/25.txt ACM/3.txt ACM/32.txt ACM/35.txt ACM/36.txt ACM/39.txt ACM/40.txt ACM/5.txt ACM/6.txt CHI08/p1-harboe.txt CHI08/p1009-zhou.txt CHI08/p1017-guy.txt CHI08/p1027-joinson.txt CHI08/p1045-stoll.txt CHI08/p1055-sankarpandian.txt CHI08/p1065-egelman.txt CHI08/p1075-tseng.txt CHI08/p1101-butler.txt CHI08/p1111-baumer.txt

### Constructing src train data model/train.src... Done!
Executing: /mnt/homes/lmthang/RA/parscit/thang/bin/../../bin/sectLabel/tr2crfpp.pl -q -in model/train.src -out model/train.feature -c ../../resources/sectLabel/sectLabel.config -template 1>model/template
#
## Training ...
Executing: /mnt/homes/lmthang/RA/parscit/thang/bin/../../crfpp/crf_learn -p 6 -f 3 -c 3 model/template model/train.feature model/sectLabel.model
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 
Done!6.16 s

Number of sentences: 40
Number of features:  1270336
Number of thread(s): 6
Freq:                3
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=0 terr=0.99831 serr=1.00000 act=1270336 obj=118527.95235 diff=1.00000
iter=1 terr=0.33678 serr=1.00000 act=1270336 obj=72583.98447 diff=0.38762
iter=2 terr=0.33678 serr=1.00000 act=1270336 obj=54266.34469 diff=0.25236
iter=3 terr=0.31877 serr=1.00000 act=1270336 obj=52731.22063 diff=0.02829
iter=4 terr=0.33678 serr=1.00000 act=1270336 obj=49491.14404 diff=0.06145
iter=5 terr=0.31117 serr=1.00000 act=1270336 obj=46692.19916 diff=0.05655
iter=6 terr=0.28864 serr=1.00000 act=1270336 obj=40817.35550 diff=0.12582
iter=7 terr=0.23263 serr=1.00000 act=1270336 obj=36582.45090 diff=0.10375
iter=8 terr=0.22695 serr=1.00000 act=1270336 obj=33176.80036 diff=0.09310
iter=9 terr=0.21536 serr=1.00000 act=1270336 obj=31090.72060 diff=0.06288
iter=10 terr=0.20282 serr=1.00000 act=1270336 obj=27518.97387 diff=0.11488
iter=11 terr=0.18290 serr=1.00000 act=1270336 obj=24652.73264 diff=0.10416
iter=12 terr=0.16970 serr=1.00000 act=1270336 obj=22983.78888 diff=0.06770
iter=13 terr=0.16026 serr=1.00000 act=1270336 obj=20307.84328 diff=0.11643
iter=14 terr=0.15290 serr=1.00000 act=1270336 obj=18337.57189 diff=0.09702
iter=15 terr=0.15438 serr=1.00000 act=1270336 obj=17456.83522 diff=0.04803
iter=16 terr=0.15092 serr=1.00000 act=1270336 obj=16672.55410 diff=0.04493
iter=17 terr=0.13465 serr=1.00000 act=1270336 obj=15776.55389 diff=0.05374
