title ||| A Geometric Constraint Library for
title ||| 3D Graphical Applications
author ||| Hiroshi Hosobe
affiliation ||| National Institute of Informatics
address ||| 2-1-2 Hitotsubashi, Chiyoda-ku, Tokyo 101-8430, Japan
email ||| hosobe@nii.ac.jp
sectionHeader ||| ABSTRACT
bodyText ||| Recent computer technologies have enabled fast high-quality
bodyText ||| 3D graphics on personal computers, and also have made
bodyText ||| the development of 3D graphical applications easier. How-
bodyText ||| ever, most of such technologies do not sufficiently support
bodyText ||| layout and behavior aspects of 3D graphics. Geometric con-
bodyText ||| straints are, in general, a powerful tool for specifying layouts
bodyText ||| and behaviors of graphical objects, and have been applied
bodyText ||| to 2D graphical user interfaces and specialized 3D graph-
bodyText ||| ics packages. In this paper, we present Chorus3D, a geo-
bodyText ||| metric constraint library for 3D graphical applications. It
bodyText ||| enables programmers to use geometric constraints for vari-
bodyText ||| ous purposes such as geometric layout, constrained dragging,
bodyText ||| and inverse kinematics. Its novel feature is to handle scene
bodyText ||| graphs by processing coordinate transformations in geomet-
bodyText ||| ric constraint satisfaction. We demonstrate the usefulness of
bodyText ||| Chorus3D by presenting sample constraint-based 3D graph-
bodyText ||| ical applications.
sectionHeader ||| Keywords
keyword ||| geometric constraints, constraint satisfaction, geometric lay-
keyword ||| out, 3D graphics, scene graphs
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Recent advances in commodity hardware have enabled fast
bodyText ||| high-quality 3D graphics on personal computers. Also, soft-
bodyText ||| ware technologies such as VRML and Java 3D have made the
bodyText ||| development of 3D graphical applications easier. However,
bodyText ||| most of such technologies mainly focus on rendering aspects
bodyText ||| of 3D graphics, and do not sufficiently support layout and
bodyText ||| behavior aspects.
bodyText ||| Constraints are, in general, a powerful tool for specifying
bodyText ||| layouts and behaviors of graphical objects. It is widely
bodyText ||| recognized that constraints facilitate describing geometric
bodyText ||| layouts and behaviors of diagrams in 2D graphical user in-
bodyText ||| terfaces such as drawing editors, and therefore constraint
bodyText ||| solvers for this purpose have been extensively studied [3, 7,
copyright ||| Permission to make digital or hard copies of all or part of this work for
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers or to distribute to lists, requires prior specific
copyright ||| permission and/or fee.
note ||| Int. Symp. on Smart Graphics, June 11-13, 2002, Hawthorne, NY, USA.
note ||| Copyright 2002 ACM 1-58113-555-6/02/0600...$5.00
bodyText ||| 8, 9, 11, 12, 13, 17, 18]. Also, many specialized 3D graph-
bodyText ||| ics packages enable the specification of object layouts and
bodyText ||| behaviors by using constraints or similar functions.
bodyText ||| It is natural to consider that various 3D graphical applica-
bodyText ||| tions can also be enhanced by incorporating constraints. It
bodyText ||| might seem sufficient for this purpose to modify existing 2D
bodyText ||| geometric constraint solvers to support 3D geometry. It is,
bodyText ||| however, insufficient in reality because of the essential dif-
bodyText ||| ference between the ways of specifying 2D and 3D graphics;
bodyText ||| typical 2D graphics handles only simple coordinate systems,
bodyText ||| whereas most 3D graphics requires multiple coordinate sys-
bodyText ||| tems with complex relations such as rotations to treat scene
bodyText ||| graphs. It means that we need to additionally support coor-
bodyText ||| dinate transformations in 3D geometric constraint solvers.
bodyText ||| In this paper, we present Chorus3D, a geometric constraint
bodyText ||| library for 3D graphical applications. The novel feature of
bodyText ||| Chorus3D is to handle scene graphs by processing coordi-
bodyText ||| nate transformations in geometric constraint satisfaction.
bodyText ||| We have realized Chorus3D by adding this feature to our
bodyText ||| previous 2D geometric constraint library Chorus [13].
bodyText ||| Another important point of Chorus3D is that it inherits from
bodyText ||| Chorus the capability to handle “soft” constraints with hier-
bodyText ||| archical strengths or preferences (i.e., constraint hierarchies
bodyText ||| [7]), which are useful for specifying default layouts and be-
bodyText ||| haviors of graphical objects. It determines solutions so that
bodyText ||| they satisfy as many strong constraints as possible, leaving
bodyText ||| weaker inconsistent constraints unsatisfied.
bodyText ||| Chorus3D also inherits from Chorus a module mechanism
bodyText ||| which allows user-defined kinds of geometric constraints.
bodyText ||| This feature enables programmers to use geometric con-
bodyText ||| straints for various purposes including the following:
