title ||| A Machine Learning Based Approach for Table Detection
title ||| on The Web
author ||| Yalin Wang
affiliation ||| Intelligent Systems Laboratory
affiliation ||| Dept. of Electrical Engineering
affiliation ||| Univ. of Washington
address ||| Seattle, WA 98195 US
email ||| ylwang@u.washington.edu
author ||| Jianying Hu
affiliation ||| Avaya Labs Research
address ||| 233, Mount Airy Road
address ||| Basking Ridge, NJ 07920 US
email ||| jianhu@avaya.com
sectionHeader ||| ABSTRACT
bodyText ||| Table is a commonly used presentation scheme, especially
bodyText ||| for describing relational information. However, table under-
bodyText ||| standing remains an open problem. In this paper, we con-
bodyText ||| sider the problem of table detection in web documents. Its
bodyText ||| potential applications include web mining, knowledge man-
bodyText ||| agement, and web content summarization and delivery to
bodyText ||| narrow-bandwidth devices. We describe a machine learning
bodyText ||| based approach to classify each given table entity as either
bodyText ||| genuine or non-genuine. Various features reflecting the lay-
bodyText ||| out as well as content characteristics of tables are studied.
bodyText ||| In order to facilitate the training and evaluation of our
bodyText ||| table classifier, we designed a novel web document table
bodyText ||| ground truthing protocol and used it to build a large ta-
bodyText ||| ble ground truth database. The database consists of 1,393
bodyText ||| HTML files collected from hundreds of different web sites
bodyText ||| and contains 11,477 leaf <TABLE> elements, out of which
bodyText ||| 1,740 are genuine tables. Experiments were conducted us-
bodyText ||| ing the cross validation method and an F-measure of 95.89%
bodyText ||| was achieved.
sectionHeader ||| Categories and Subject Descriptors
category ||| H.4.3 [Information Systems Applications]: Communi-
category ||| cations Applications Information browsers
sectionHeader ||| General Terms
keyword ||| Algorithms
sectionHeader ||| Keywords
keyword ||| Table Detection, Layout Analysis, Machine Learning, Deci-
keyword ||| sion tree, Support Vector Machine, Information Retrieval
sectionHeader ||| 1. INTRODUCTION
bodyText ||| The increasing ubiquity of the Internet has brought about
bodyText ||| a constantly increasing amount of online publications. As
bodyText ||| a compact and efficient way to present relational informa-
bodyText ||| tion, tables are used frequently in web documents. Since
bodyText ||| tables are inherently concise as well as information rich, the
bodyText ||| automatic understanding of tables has many applications in-
bodyText ||| cluding knowledge management, information retrieval, web
copyright ||| Copyright is held by the author/owner(s).
note ||| WWW2002, May 7–11,2002, Honolulu, Hawaii, USA.
note ||| ACM 1-58113-449-5/02/0005.
bodyText ||| mining, summarization, and content delivery to mobile de-
bodyText ||| vices. The processes of table understanding in web doc-
bodyText ||| uments include table detection, functional and structural
bodyText ||| analysis and finally table interpretation [6]. In this paper,
bodyText ||| we concentrate on the problem of table detection. The web
bodyText ||| provides users with great possibilities to use their own style
bodyText ||| of communication and expressions. In particular, people use
bodyText ||| the <TABLE> tag not only for relational information display
bodyText ||| but also to create any type of multiple-column layout to
bodyText ||| facilitate easy viewing, thus the presence of the <TABLE>
bodyText ||| tag does not necessarily indicate the presence of a relational
bodyText ||| table. In this paper, we define genuine tables to be docu-
bodyText ||| ment entities where a two dimensional grid is semantically
bodyText ||| significant in conveying the logical relations among the cells
bodyText ||| [10]. Conversely, Non-genuine tables are document entities
bodyText ||| where <TABLE> tags are used as a mechanism for grouping
bodyText ||| contents into clusters for easy viewing only. Figure 1 gives
bodyText ||| a few examples of genuine and non-genuine tables. While
bodyText ||| genuine tables in web documents could also be created with-
bodyText ||| out the use of <TABLE> tags at all, we do not consider such
bodyText ||| cases in this article as they seem very rare from our ex-
bodyText ||| perience. Thus, in this study, Table detection refers to the
bodyText ||| technique which classifies a document entity enclosed by the
bodyText ||| <TABLE></TABLE> tags as genuine or non-genuine tables.
bodyText ||| Several researchers have reported their work on web table
bodyText ||| detection [2, 10, 6, 14]. In [2], Chen et al. used heuris-
bodyText ||| tic rules and cell similarities to identify tables. They tested
bodyText ||| their table detection algorithm on 918 tables from airline in-
bodyText ||| formation web pages and achieved an F-measure of 86.50%.
bodyText ||| Penn et al. proposed a set of rules for identifying genuinely
bodyText ||| tabular information and news links in HTML documents
bodyText ||| [10]. They tested their algorithm on 75 web site front-pages
bodyText ||| and achieved an F-measure of 88.05%. Yoshida et al. pro-
bodyText ||| posed a method to integrate WWW tables according to the
bodyText ||| category of objects presented in each table [14]. Their data
bodyText ||| set contains 35,232 table tags gathered from the web. They
bodyText ||| estimated their algorithm parameters using all of table data
bodyText ||| and then evaluated algorithm accuracy on 175 of the tables.
bodyText ||| The average F-measure reported in their paper is 82.65%.
bodyText ||| These previous methods all relied on heuristic rules and were
bodyText ||| only tested on a database that is either very small [10], or
bodyText ||| highly domain specific [2]. Hurst mentioned that a Naive
bodyText ||| Bayes classifier algorithm produced adequate results but no
bodyText ||| detailed algorithm and experimental information was pro-
bodyText ||| vided [6].
bodyText ||| We propose a new machine learning based approach for
page ||| 242
figureCaption ||| Figure 1: Examples of genuine and non-genuine tables.
bodyText ||| table detection from generic web documents. In particu-
bodyText ||| lar, we introduce a set of novel features which reflect the
bodyText ||| layout as well as content characteristics of tables. These
bodyText ||| features are used in classifiers trained on thousands of ex-
bodyText ||| amples. To facilitate the training and evaluation of the table
bodyText ||| classifiers, we designed a novel web document table ground
bodyText ||| truthing protocol and used it to build a large table ground
bodyText ||| truth database. The database consists of 1,393 HTML files
bodyText ||| collected from hundreds of different web sites and contains
bodyText ||| 11,477 leaf <TABLE> elements, out of which 1,740 are gen-
bodyText ||| uine tables. Experiments on this database using the cross
bodyText ||| validation method demonstrate significant performance im-
bodyText ||| provements over previous methods.
bodyText ||| The rest of the paper is organized as follows. We describe
bodyText ||| our feature set in Section 2, followed by a brief discussion
bodyText ||| of the classifiers we experimented with in Section 3. In Sec-
bodyText ||| tion 4, we present a novel table ground truthing protocol
bodyText ||| and explain how we built our database. Experimental re-
bodyText ||| sults are then reported in Section 5 and we conclude with
bodyText ||| future directions in Section 6.
sectionHeader ||| 2. FEATURES FOR WEB TABLE
sectionHeader ||| DETECTION
bodyText ||| Feature selection is a crucial step in any machine learning
bodyText ||| based methods. In our case, we need to find a combination
bodyText ||| of features that together provide significant separation be-
bodyText ||| tween genuine and non-genuine tables while at the same time
bodyText ||| constrain the total number of features to avoid the curse of
bodyText ||| dimensionality. Past research has clearly indicated that lay-
bodyText ||| out and content are two important aspects in table under-
bodyText ||| standing [6]. Our features were designed to capture both of
bodyText ||| these aspects. In particular, we developed 16 features which
bodyText ||| can be categorized into three groups: seven layout features,
bodyText ||| eight content type features and one word group feature. In
bodyText ||| the first two groups, we attempt to capture the global com-
bodyText ||| position of tables as well as the consistency within the whole
bodyText ||| table and across rows and columns. The last feature looks at
bodyText ||| words used in tables and is derived directly from the vector
bodyText ||| space model commonly used in Information Retrieval.
bodyText ||| Before feature extraction, each HTML document is first
bodyText ||| parsed into a document hierarchy tree using Java Swing
bodyText ||| XML parser with W3C HTML 3.2 DTD [10]. A <TABLE>
bodyText ||| node is said to be a leaf table if and only if there are no
bodyText ||| <TABLE> nodes among its children [10]. Our experience in-
bodyText ||| dicates that almost all genuine tables are leaf tables. Thus
bodyText ||| in this study only leaf tables are considered candidates for
bodyText ||| genuine tables and are passed on to the feature extraction
bodyText ||| stage. In the following we describe each feature in detail.
subsectionHeader ||| 2.1 Layout Features
bodyText ||| In HTML documents, although tags like <TR> and <TD>
bodyText ||| (or <TH>) may be assumed to delimit table rows and table
bodyText ||| cells, they are not always reliable indicators of the number
bodyText ||| of rows and columns in a table. Variations can be caused
bodyText ||| by spanning cells created using <ROWSPAN> and <COLSPAN>
bodyText ||| tags. Other tags such as <BR> could be used to move con-
bodyText ||| tent into the next row. Therefore to extract layout features
bodyText ||| reliably one can not simply count the number of <TR>'s and
bodyText ||| <TD>'s. For this purpose, we maintain a matrix to record all
page ||| 243
bodyText ||| the cell spanning information and serve as a pseudo render-
bodyText ||| ing of the table. Layout features based on row or column
bodyText ||| numbers are then computed from this matrix.
bodyText ||| Given a table T, assuming its numbers of rows and columns
bodyText ||| are rn and cn respectively, we compute the following layout
bodyText ||| features:
listItem ||| •	Average number of columns, computed as the average
listItem ||| number of cells per row:
bodyText ||| Here LCcl is defined as: LCcl = 0.5 — D, where D =
bodyText ||| min{lcl — mil�mi,1.0}. Intuitively, LCcl measures the
bodyText ||| degree of consistency between cl and the mean cell
bodyText ||| length, with —0.5 indicating extreme inconsistency and
bodyText ||| 0.5 indicating extreme consistency. When most cells
bodyText ||| within Ri are consistent, the cumulative measure CLCi
bodyText ||| is positive, indicating a more or less consistent row.
bodyText ||| 3. Take the average across all rows:
equation ||| ci,
equation ||| c =
equation ||| 1
equation ||| rn
equation ||| Xrn
equation ||| i�1
equation ||| CLCr = 1
equation ||| r
equation ||| Xr CLCi .
equation ||| i�1
bodyText ||| where ci is the number of cells in row i, i = 1, ..., rn,
listItem ||| •	Standard deviation of number of columns:
