title ||| A Pseudo Random Coordinated Scheduling Algorithm for
title ||| Bluetooth Scatternets
author ||| Andr´as R´acz, Gy¨orgy Mikl´os, Ferenc Kubinszky, Andr´as Valk´o
affiliation ||| Traffic Analysis and Network Performance Lab., Ericsson Research
address ||| Laborc 1, 1037 Budapest, Hungary
address ||| Ph: +36-1-4377621, Fax: +36-1-4377767
email ||| Andras.Racz@eth.ericsson.se
sectionHeader ||| ABSTRACT
bodyText ||| The emergence of Bluetooth as a default radio interface allows
bodyText ||| handheld devices to be rapidly interconnected into ad hoc networks.
bodyText ||| Bluetooth allows large numbers of piconets to form a scatternet us-
bodyText ||| ing designated nodes that participate in multiple piconets. A unit
bodyText ||| that participates in multiple piconets can serve as a bridge and for-
bodyText ||| wards traffic between neighbouring piconets. Since a Bluetooth
bodyText ||| unit can transmit or receive in only one piconet at a time, a bridging
bodyText ||| unit has to share its time among the different piconets. To sched-
bodyText ||| ule communication with bridging nodes one must take into account
bodyText ||| their availability in the different piconets, which represents a dif-
bodyText ||| ficult, scatternet wide coordination problem and can be an impor-
bodyText ||| tant performance bottleneck in building scatternets. In this paper
bodyText ||| we propose the Pseudo-Random Coordinated Scatternet Schedul-
bodyText ||| ing (PCSS) algorithm to perform the scheduling of both intra and
bodyText ||| inter-piconet communication. In this algorithm Bluetooth nodes
bodyText ||| assign meeting points with their peers such that the sequence of
bodyText ||| meeting points follows a pseudo random process that is different
bodyText ||| for each pair of nodes. The uniqueness of the pseudo random se-
bodyText ||| quence guarantees that the meeting points with different peers of
bodyText ||| the node will collide only occasionally. This removes the need
bodyText ||| for explicit information exchange between peer devices, which is
bodyText ||| a major advantage of the algorithm. The lack of explicit signaling
bodyText ||| between Bluetooth nodes makes it easy to deploy the PCSS algo-
bodyText ||| rithm in Bluetooth devices, while conformance to the current Blue-
bodyText ||| tooth specification is also maintained. To assess the performance of
bodyText ||| the algorithm we define two reference case schedulers and perform
bodyText ||| simulations in a number of scenarios where we compare the perfor-
bodyText ||| mance of PCSS to the performance of the reference schedulers.
sectionHeader ||| Keywords
keyword ||| Bluetooth, scheduling, inter-piconet communication, scatternet
sectionHeader ||| 1. INTRODUCTION
bodyText ||| Short range radio technologies enable users to rapidly interconnect
bodyText ||| handheld electronic devices such as cellular phones, palm devices
bodyText ||| or notebook computers. The emergence of Bluetooth [1] as de-
copyright ||| Permission to make digital or hard copies of part or all of this work or
copyright ||| personal or classroom use is granted without fee provided that copies are
copyright ||| not made or distributed for profit or commercial advantage and that copies
copyright ||| bear this notice and the full citation on the first page. To copy otherwise, to
copyright ||| republish, to post on servers, or to redistribute to lists, requires prior
copyright ||| specific permission and/or a fee.
note ||| MobiHOC 2001, Long Beach, CA, USA
copyright ||| © ACM 2001 1-58113-390-1/01/10...$5.00
bodyText ||| fault radio interface in these devices provides an opportunity to turn
bodyText ||| them from stand-alone tools into networked equipment. Building
bodyText ||| Bluetooth ad hoc networks also represents, however, a number of
bodyText ||| new challenges, partly stemming from the fact that Bluetooth was
bodyText ||| originally developed for single hop wireless connections. In this
bodyText ||| paper we study the scheduling problems of inter-piconet commu-
bodyText ||| nication and propose a lightweight scheduling algorithm that Blue-
bodyText ||| tooth nodes can employ to perform the scheduling of both intra and
bodyText ||| inter-piconet communication.
bodyText ||| Bluetooth is a short range radio technology operating in the unli-
bodyText ||| censed ISM (Industrial-Scientific-Medical) band using a frequency
bodyText ||| hopping scheme. Bluetooth (BT) units are organized into piconets.
bodyText ||| There is one Bluetooth device in each piconet that acts as the mas-
bodyText ||| ter, which can have any number of slaves out of which up to seven
bodyText ||| can be active simultaneously. The communication within a piconet
bodyText ||| is organized by the master which polls each slave according to some
bodyText ||| polling scheme. A slave is only allowed to transmit in a slave-
bodyText ||| to-master slot if it has been polled by the master in the previous
bodyText ||| master-to-slave slot. In Section 3 we present a brief overview of
bodyText ||| the Bluetooth technology.
bodyText ||| A Bluetooth unit can participate in more than one piconet at any
bodyText ||| time but it can be a master in only one piconet. A unit that par-
bodyText ||| ticipates in multiple piconets can serve as a bridge thus allowing
bodyText ||| the piconets to form a larger network. We define bridging degree
bodyText ||| as the number of piconets a bridging node is member of. A set
bodyText ||| of piconets that are all interconnected by such bridging units is re-
bodyText ||| ferred to as a scatternet network (Figure 1). Since a Bluetooth unit
bodyText ||| can transmit or receive in only one piconet at a time, bridging units
bodyText ||| must switch between piconets on a time division basis. Due to the
bodyText ||| fact that different piconets are not synchronized in time a bridging
bodyText ||| unit necessarily loses some time while switching from one piconet
bodyText ||| to the other. Furthermore, the temporal unavailability of bridging
bodyText ||| nodes in the different piconets makes it difficult to coordinate the
bodyText ||| communication with them, which impacts throughput and can be
bodyText ||| an important performance constraint in building scatternets.
bodyText ||| There are two important phenomena that can reduce the efficiency
bodyText ||| of the polling based communication in Bluetooth scatternets:
listItem ||| •	slaves that have no data to transmit may be unnecessarily
listItem ||| polled, while other slaves with data to transmit may have to
listItem ||| wait to be polled; and
listItem ||| •	at the time of an expected poll one of the nodes of a master-
listItem ||| slave node pair may not be present in the piconet (the slave
figureCaption ||| Figure 1: Example scatternet
bodyText ||| that is being polled is not listening or the master that is ex-
bodyText ||| pected to poll is not polling).
bodyText ||| The first problem applies to polling based schemes in general, while
bodyText ||| the second one is specific to the Bluetooth environment. In or-
bodyText ||| der to improve the efficiency of inter-piconet communication the
bodyText ||| scheduling algorithm has to coordinate the presence of bridging
bodyText ||| nodes in the different piconets such that the effect of the second
bodyText ||| phenomenon be minimized.
bodyText ||| However, the scheduling of inter-piconet communication expands
bodyText ||| to a scatternet wide coordination problem. Each node that has more
bodyText ||| than one Bluetooth links have to schedule the order in which it com-
bodyText ||| municates with its respective neighbours. A node with multiple
bodyText ||| Bluetooth links can be either a piconet master or a bridging node or
bodyText ||| both. The scheduling order of two nodes will mutually depend on
bodyText ||| each other if they have a direct Bluetooth link in which case they
bodyText ||| have to schedule the communication on their common link for the
bodyText ||| same time slots. This necessitates some coordination between the
bodyText ||| respective schedulers. For instance in Figure 1 the scheduling order
bodyText ||| of node A and the scheduling order of its bridging neighbours, B,
bodyText ||| C, D and E mutually depend on each other, while nodes D and E
bodyText ||| further effects nodes F, G and H as well. Furthermore, the possi-
bodyText ||| ble loops in a scatternet (e.g., A-E-G-H-F-D) makes it even more
bodyText ||| complicated to resolve scheduling conflicts.
bodyText ||| In case of bursty traffic in the scatternet the scheduling problem
bodyText ||| is further augmented by the need to adjust scheduling order in re-
bodyText ||| sponse to dynamic variation of traffic intensity. In a bursty traffic
bodyText ||| environment it is desirable that a node spends most of its time on
bodyText ||| those links that have a backlogged burst of data.
bodyText ||| One way to address the coordination problem of inter-piconet
bodyText ||| scheduling is to explicitly allocate, in advance, time slots for com-
bodyText ||| munication in each pair of nodes. Such a hard coordination ap-
bodyText ||| proach eliminates ambiguity with regards to a node’s presence in
bodyText ||| piconets, but it implies a complex, scatternet wide coordination
bodyText ||| problem and requires explicit signaling between nodes of a scat-
bodyText ||| ternet. In the case of bursty traffic, hard coordination schemes
bodyText ||| generate a significant computation and signaling overhead as the
bodyText ||| communication slots have to be reallocated in response to changes
bodyText ||| in traffic intensity and each time when a new connection is estab-
bodyText ||| lished or released.
bodyText ||| In this paper we propose the Pseudo-Random Coordinated Scatter-
bodyText ||| net Scheduling algorithm which falls in the category of soft coor-
bodyText ||| dination schemes. In soft coordination schemes nodes decide their
bodyText ||| presence in piconets based on local information. By nature, soft co-
bodyText ||| ordination schemes cannot guarantee conflict-free participation of
bodyText ||| bridging nodes in the different piconets, however, they have a sig-
bodyText ||| nificantly reduced complexity. In the PCSS algorithm coordination
bodyText ||| is achieved by implicit rules in the communication without the need
bodyText ||| of exchanging explicit control information. The low complexity of
bodyText ||| the algorithm and its conformance to the current Bluetooth specifi-
bodyText ||| cation allow easy implementation and deployment.
bodyText ||| The first key component of the algorithm is the notion of check-
bodyText ||| points which are defined in relation to each pair of nodes that
bodyText ||| are connected by a Bluetooth link and which represent predictable
bodyText ||| points in time when packet transmission can be initiated on the par-
bodyText ||| ticular link. In other words, checkpoints serve as regular meeting
bodyText ||| points for neighboring nodes when they can exchange packets. In
bodyText ||| order to avoid systematic collision of checkpoints on different links
bodyText ||| of a node the position of checkpoints follows a pseudo random se-
bodyText ||| quence that is specific to the particular link the checkpoints belong
bodyText ||| to.
bodyText ||| The second key component of the algorithm is the dynamic adjust-
bodyText ||| ment of checking intensity, which is necessary in order to effec-
bodyText ||| tively support bursty data traffic. Bandwidth can be allocated and
bodyText ||| deallocated to a particular link by increasing and decreasing check-
bodyText ||| point intensity, respectively.
bodyText ||| To assess the performance of the algorithm we define two reference
bodyText ||| schedulers and relate the performance of the PCSS scheme to these
bodyText ||| reference algorithms in a number of simulation scenarios.
bodyText ||| The remainder of the paper is structured as follows. In Section 2 we
bodyText ||| give an overview of related work focusing on Bluetooth scheduling
bodyText ||| related studies available in the literature. Section 3 gives a brief
bodyText ||| overview of the Bluetooth technology. In Section 4 and 5 we intro-
bodyText ||| duce the proposed algorithm. In Section 6 we define the reference
bodyText ||| schedulers. Finally, in Section 7 we present simulation results.
sectionHeader ||| 2. RELATED WORK
bodyText ||| A number of researchers have addressed the issue of scheduling in
bodyText ||| Bluetooth. Most of these studies have been restricted, however, to
bodyText ||| the single piconet environment, where the fundamental question is
bodyText ||| the polling discipline used by the piconet master to poll its slaves.
bodyText ||| These algorithms are often referred to as intra-piconet scheduling
bodyText ||| schemes. In [7] the authors assume a simple round robin polling
bodyText ||| scheme and investigate queueing delays in master and slave units
bodyText ||| depending on the length of the Bluetooth packets used. In [5] Jo-
bodyText ||| hansson et al. analyze and compare the behavior of three differ-
bodyText ||| ent polling algorithms. They conclude that the simple round robin
bodyText ||| scheme may perform poorly in Bluetooth systems and they propose
bodyText ||| a scheme called Fair Exhaustive Polling. The authors demonstrate
bodyText ||| the strength of this scheme and argue in favor of using multi-slot
bodyText ||| packets. Similar conclusions are drawn by Kalia et al. who argue
bodyText ||| that the traditional round robin scheme may result in waste and un-
bodyText ||| fairness [8]. The authors propose two new scheduling disciplines
bodyText ||| that utilize information about the status of master and slave queues.
bodyText ||| In [9, 10] the authors concentrate on scheduling policies designed
bodyText ||| with the aim of low power consumption. A number of schedul-
bodyText ||| ing policies are proposed which exploit either the park or sniff low
bodyText ||| power modes of Bluetooth.
figure ||| B
figure ||| E
figure ||| A
figure ||| G
figure ||| C
figure ||| D
figure ||| H
figure ||| F
figure ||| master
figure ||| slave
figure ||| slave in two piconets
figure ||| slave in one piconet and master in another
bodyText ||| Although the above studies have revealed a number of important
bodyText ||| performance aspects of scheduling in Bluetooth piconets, the algo-
bodyText ||| rithms developed therein are not applicable for inter-piconet com-
bodyText ||| munication. In [6] the authors have shown that constructing an op-
bodyText ||| timal link schedule that maximizes total throughput in a Bluetooth
bodyText ||| scatternet is an NP hard problem even if scheduling is performed
bodyText ||| by a central entity. The authors also propose a scheduling algo-
bodyText ||| rithm referred to as Distributed Scatternet Scheduling Algorithm
bodyText ||| (DSSA), which falls in the category of distributed, hard coordina-
bodyText ||| tion schemes. Although the DSSA algorithm provides a solution
bodyText ||| for scheduling communication in a scatternet, some of its idealized
bodyText ||| properties (e.g., nodes are aware of the traffic requirements of their
bodyText ||| neighbours) and its relatively high complexity make it difficult to
bodyText ||| apply it in a real life environment.
bodyText ||| There is an ongoing work in the Personal Area Networking (PAN)
bodyText ||| working group of the Bluetooth Special Interest Group (SIG) [2] to
bodyText ||| define an appropriate scheduling algorithm for Bluetooth scatter-
bodyText ||| nets.
sectionHeader ||| 3. BLUETOOTH BACKGROUND
bodyText ||| Bluetooth is a short range radio technology that uses frequency
bodyText ||| hopping scheme, where hopping is performed on 79 RF channels
bodyText ||| spaced 1 MHz apart. Communication in Bluetooth is always be-
bodyText ||| tween master and slave nodes. Being a master or a slave is only
bodyText ||| a logical state: any Bluetooth unit can be a master or a slave.
bodyText ||| The Bluetooth system provides full-duplex transmission based on
bodyText ||| slotted Time Division Duplex (TDD) scheme, where each slot is
bodyText ||| 0.625 ms long. Master-to-slave transmission always starts in an
bodyText ||| even-numbered time slot, while slave-to-master transmission al-
bodyText ||| ways starts in an odd-numbered time slot. A pair of master-to-slave
bodyText ||| and slave-to-master slots are often referred to as a frame. The com-
bodyText ||| munication within a piconet is organized by the master which polls
bodyText ||| each slave according to some polling scheme. A slave is only al-
bodyText ||| lowed to transmit in a slave-to-master slot if it has been polled by
bodyText ||| the master in the previous master-to-slave slot. The master may
bodyText ||| or may not include data in the packet used to poll a slave. Blue-
bodyText ||| tooth packets can carry synchronous data (e.g., real-time traffic) on
bodyText ||| Synchronous Connection Oriented (SCO) links or asynchronous
bodyText ||| data (e.g., elastic data traffic, which is the case in our study) on
bodyText ||| Asynchronous Connectionless (ACL) links. Bluetooth packets on
bodyText ||| an ACL link can be 1, 3 or 5 slot long and they can carry differ-
bodyText ||| ent amount of user data depending on whether the payload is FEC
bodyText ||| coded or not. Accordingly, the Bluetooth packet types DH 1, DH3
bodyText ||| and DH5 denote 1, 3 and 5 slot packets, respectively, where the
bodyText ||| payload is not FEC encoded, while in case of packet types DM1,
bodyText ||| DM3 and DM5 the payload is protected with FEC encoding. There
bodyText ||| are two other types of packets, the POLL and NULL packets that do
bodyText ||| not carry user data. The POLL packet is used by the master when
bodyText ||| it has no user data to the slave but it still wants to poll it. Similarly,
bodyText ||| the NULL packet is used by the slave to respond to the master if it
bodyText ||| has no user data. For further information regarding the Bluetooth
bodyText ||| technology the reader is referred to [1, 3].
sectionHeader ||| 4. OVERVIEW OF THE PCSS ALGO-
sectionHeader ||| RITHM
bodyText ||| Coordination in the PCSS algorithm is achieved by the unique
bodyText ||| pseudo random sequence of checkpoints that is specific to each
bodyText ||| master-slave node pair and by implicit information exchange be-
bodyText ||| tween peer devices. A checkpoint is a designated Bluetooth frame.
bodyText ||| The activity of being present at a checkpoint is referred to as to
bodyText ||| check. A master node actively checks its slave by sending a packet
bodyText ||| to the slave at the corresponding checkpoint and waiting for a re-
bodyText ||| sponse from the slave. The slave node passively checks its master
bodyText ||| by listening to the master at the checkpoint and sending a response
bodyText ||| packet in case of being addressed.
bodyText ||| The expected behaviour of nodes is that they show up at each
bodyText ||| checkpoint on all of their links and check their peers for available
bodyText ||| user data. The exchange of user data packets started at a check-
bodyText ||| point can be continued in the slots following the checkpoint. A
bodyText ||| node remains active on the current link until there is user data in
bodyText ||| either the master-to-slave or slave-to-master directions or until it
bodyText ||| has to leave for a next checkpoint on one of its other links. In
bodyText ||| the PCSS scheme we exploit the concept of randomness in assign-
bodyText ||| ing the position of checkpoints, which excludes the possibility that
bodyText ||| checkpoints on different links of a node will collide systematically,
bodyText ||| thus giving the node an equal chance to visit all of its checkpoints.
bodyText ||| The pseudo random procedure is similar to the one used to derive
bodyText ||| the pseudo random frequency hopping sequence. In particular, the
bodyText ||| PCSS scheme assigns the positions of checkpoints on a given link
bodyText ||| following a pseudo random sequence that is generated based on the
bodyText ||| Bluetooth clock of the master and the MAC address of the slave.
bodyText ||| This scheme guarantees that the same pseudo random sequence
bodyText ||| will be generated by both nodes of a master-slave pair, while the se-
bodyText ||| quences belonging to different node pairs will be different. Figure
bodyText ||| 2 shows an example for the pseudo random arrangement of check-
bodyText ||| points in case of a node pair A and B. The length of the current base
bodyText ||| checking interval is denoted by T(h k and the current checking in-
bodyText ||| tensity is defined accordingly as e9 . There is one checkpoint
bodyText ||| T(i) heck
bodyText ||| within each base checking interval and the position of the check-
bodyText ||| point within this window is changing from one time window to the
bodyText ||| other in a pseudo random manner.
figureCaption ||| Figure 2: Pseudo-random positioning of checkpoints
bodyText ||| Since the pseudo random sequence is different from one link to an-
bodyText ||| other, checkpoints on different links of a node will collide only oc-
bodyText ||| casionally. In case of collision the node can attend only one of the
bodyText ||| colliding checkpoints, which implies that the corresponding neigh-
bodyText ||| bours have to be prepared for a non-present peer. That is, the mas-
bodyText ||| ter might not poll and the slave might not listen at a checkpoint.
bodyText ||| We note that a collision occurs either if there are more than one
bodyText ||| checkpoints scheduled for the same time slot or if the checkpoints
bodyText ||| are so close to each other that a packet transmission started at the
bodyText ||| first checkpoint necessarily overlaps the second one. Furthermore,
bodyText ||| if the colliding checkpoints belong to links in different piconets,
bodyText ||| the necessary time to perform the switch must be also taken into
bodyText ||| account.
bodyText ||| During the communication there is the possibility to increase or
bodyText ||| decrease the intensity of checkpoints depending on the amount of
bodyText ||| user data to be transmitted and on the available capacity of the
bodyText ||| node. According to the PCSS algorithm a node performs certain
bodyText ||| traffic measurements at the checkpoints and increases or decreases
bodyText ||| the current checking intensity based on these measurements. Since
figure ||| T(Z)
figure ||| check
figure ||| 1 frame
figure ||| checkpoints of A toward B	checkpoints of B toward A
bodyText ||| nodes decide independently about the current checking intensity
bodyText ||| without explicit coordination, two nodes on a given link may select
bodyText ||| different base checking periods. In order to ensure that two nodes
bodyText ||| with different checking intensities on the same link can still com-
bodyText ||| municate we require the pseudo random generation of checkpoints
bodyText ||| to be such that the set of checkpoint positions at a lower checking
bodyText ||| intensity is a subset of checkpoint positions at any higher checking
bodyText ||| intensities. In the Appendix we are going to present a pseudo ran-
bodyText ||| dom scheme for generating the position of checkpoints, which has
bodyText ||| the desired properties.
sectionHeader ||| 5. OPERATION OF PCSS
bodyText ||| In what follows, we describe the procedures of the PCSS algorithm.
bodyText ||| We start by the initialization process which ensures that two nodes
bodyText ||| can start communication as soon as a new link has been established
bodyText ||| or the connection has been reset. Next, we describe the rules that
bodyText ||| define how nodes calculate their checkpoints, decide upon their
bodyText ||| presence at checkpoints and exchange packets. Finally, we present
bodyText ||| the way neighboring nodes can dynamically increase and decrease
bodyText ||| of checkpoint intensity.
subsectionHeader ||| 5.1 Initialization
bodyText ||| In the PCSS algorithm there is no need for a separate initialization
bodyText ||| procedure to start communication, since the pseudo random gener-
bodyText ||| ation of checkpoints is defined such that once a master slave node
bodyText ||| pair share the same master’s clock and slave’s MAC address infor-
bodyText ||| mation, it is guaranteed that the same pseudo random sequence will
bodyText ||| be produced at each node. That is, it is guaranteed that two nodes
bodyText ||| starting checkpoint generation at different time instants with differ-
bodyText ||| ent checking intensities will be able to communicate. It is the own
bodyText ||| decision of the nodes to select an appropriate initial checking in-
bodyText ||| tensity, which may depend for example on the free capacities of the
bodyText ||| node or on the amount of data to transmit. Once the communication
bodyText ||| is established the increase and decrease procedures will adjust the
bodyText ||| possibly different initial checking intensities to a common value.
subsectionHeader ||| 5.2 Communication
