title ||| A Distributed 3D Graphics Library
author ||| Blair MacIntyre and Steven Feiner1
affiliation ||| Department of Computer Science
affiliation ||| Columbia University
sectionHeader ||| Abstract
bodyText ||| We present Repo-3D, a general-purpose, object-oriented library for
bodyText ||| developing distributed, interactive 3D graphics applications across
bodyText ||| a range of heterogeneous workstations. Repo-3D is designed to
bodyText ||| make it easy for programmers to rapidly build prototypes using a
bodyText ||| familiar multi-threaded, object-oriented programming paradigm.
bodyText ||| All data sharing of both graphical and non-graphical data is done
bodyText ||| via general-purpose remote and replicated objects, presenting the
bodyText ||| illusion of a single distributed shared memory. Graphical objects
bodyText ||| are directly distributed, circumventing the “duplicate database”
bodyText ||| problem and allowing programmers to focus on the application
bodyText ||| details.
bodyText ||| Repo-3D is embedded in Repo, an interpreted, lexically-scoped,
bodyText ||| distributed programming language, allowing entire applications to
bodyText ||| be rapidly prototyped. We discuss Repo-3D’s design, and introduce
bodyText ||| the notion of local variations to the graphical objects, which allow
bodyText ||| local changes to be applied to shared graphical structures. Local
bodyText ||| variations are needed to support transient local changes, such as
bodyText ||| highlighting, and responsive local editing operations. Finally, we
bodyText ||| discuss how our approach could be applied using other program-
bodyText ||| ming languages, such as Java.
category ||| CR Categories and Subject Descriptors: D.1.3 [Program-
category ||| ming Techniques]: Concurrent Programming—Distributed Pro-
category ||| gramming; H.4.1 [Information Systems Applications]: Office
category ||| Automation—Groupware; I.3.2 [Computer Graphics]: Graphics
category ||| Systems—Distributed/network graphics; I.3.6 [Computer Graph-
category ||| ics]: Methodology and Techniques—Graphics data structures and
category ||| data types; I.3.7 [Computer Graphics]: Three-Dimensional
category ||| Graphics and Realism—Virtual reality.
keyword ||| Additional Keywords and Phrases: object-oriented graphics,
keyword ||| distributed shared memory, distributed virtual environments,
keyword ||| shared-data object model.
sectionHeader ||| 1 INTRODUCTION
bodyText ||| Traditionally, distributed graphics has referred to the architecture
bodyText ||| of a single graphical application whose components are distributed
bodyText ||| over multiple machines [14, 15, 19, 27] (Figure 1a). By taking
bodyText ||| advantage of the combined power of multiple machines, and the
bodyText ||| particular features of individual machines, otherwise impractical
bodyText ||| applications became feasible. However, as machines have grown
bodyText ||| more powerful and application domains such as Computer
footnote ||| 1. {bm,feiner}@cs.columbia.edu, http://www.cs.columbia.edu/graphics
figureCaption ||| Figure 1: Two meanings of distributed graphics: (a) a single logical
figureCaption ||| graphics system with distributed components, and (b) multiple dis-
