title ||| A Comparative Study on Generalization of Semantic Roles in FrameNet
author ||| Yuichiroh Matsubayashit	Naoaki Okazakit	Jun’ichi Tsujiit$*
affiliation ||| tDepartment of Computer Science, University of Tokyo, Japan
affiliation ||| $School of Computer Science, University of Manchester, UK
affiliation ||| *National Centre for Text Mining, UK
email ||| {y-matsu,okazaki,tsujii}@is.s.u-tokyo.ac.jp
sectionHeader ||| Abstract
bodyText ||| A number of studies have presented
bodyText ||| machine-learning approaches to semantic
bodyText ||| role labeling with availability of corpora
bodyText ||| such as FrameNet and PropBank. These
bodyText ||| corpora define the semantic roles of predi-
bodyText ||| cates for each frame independently. Thus,
bodyText ||| it is crucial for the machine-learning ap-
bodyText ||| proach to generalize semantic roles across
bodyText ||| different frames, and to increase the size
bodyText ||| of training instances. This paper ex-
bodyText ||| plores several criteria for generalizing se-
bodyText ||| mantic roles in FrameNet: role hierar-
bodyText ||| chy, human-understandable descriptors of
bodyText ||| roles, semantic types of filler phrases, and
bodyText ||| mappings from FrameNet roles to the-
bodyText ||| matic roles of VerbNet. We also pro-
bodyText ||| pose feature functions that naturally com-
bodyText ||| bine and weight these criteria, based on
bodyText ||| the training data. The experimental result
bodyText ||| of the role classification shows 19.16%
bodyText ||| and 7.42% improvements in error reduc-
bodyText ||| tion rate and macro-averaged F 1 score, re-
bodyText ||| spectively. We also provide in-depth anal-
bodyText ||| yses of the proposed criteria.
sectionHeader ||| 1 Introduction
bodyText ||| Semantic Role Labeling (SRL) is a task of analyz-
bodyText ||| ing predicate-argument structures in texts. More
bodyText ||| specifically, SRL identifies predicates and their
bodyText ||| arguments with appropriate semantic roles. Re-
bodyText ||| solving surface divergence of texts (e.g., voice
bodyText ||| of verbs and nominalizations) into unified seman-
bodyText ||| tic representations, SRL has attracted much at-
bodyText ||| tention from researchers into various NLP appli-
bodyText ||| cations including question answering (Narayanan
bodyText ||| and Harabagiu, 2004; Shen and Lapata, 2007;
figure ||| buy.v	PropBank	FrameNet
figure ||| Frame	buy.01	Commerce buy
figure ||| Roles	ARG0: buyer	Buyer Goods Seller Money Recipient
figure ||| 	ARG1: thing bought	...
figure ||| 	ARG2: seller
figure ||| 	ARG3: paid
figure ||| 	ARG4: benefactive
figure ||| 	...
figureCaption ||| Figure 1: A comparison of frames for buy.v de-
figureCaption ||| fined in PropBank and FrameNet
bodyText ||| Moschitti et al., 2007), and information extrac-
bodyText ||| tion (Surdeanu et al., 2003).
bodyText ||| In recent years, with the wide availability of cor-
bodyText ||| pora such as PropBank (Palmer et al., 2005) and
bodyText ||| FrameNet (Baker et al., 1998), a number of stud-
bodyText ||| ies have presented statistical approaches to SRL
bodyText ||| (M`arquez et al., 2008). Figure 1 shows an exam-
bodyText ||| ple of the frame definitions for a verb buy in Prop-
bodyText ||| Bank and FrameNet. These corpora define a large
bodyText ||| number of frames and define the semantic roles for
bodyText ||| each frame independently. This fact is problem-
bodyText ||| atic in terms of the performance of the machine-
bodyText ||| learning approach, because these definitions pro-
bodyText ||| duce many roles that have few training instances.
bodyText ||| PropBank defines a frame for each sense of
bodyText ||| predicates (e.g., buy.01), and semantic roles are
bodyText ||| defined in a frame-specific manner (e.g., buyer and
bodyText ||| seller for buy.01). In addition, these roles are asso-
bodyText ||| ciated with tags such as ARG0-5 and AM-*, which
bodyText ||| are commonly used in different frames. Most
bodyText ||| SRL studies on PropBank have used these tags
bodyText ||| in order to gather a sufficient amount of training
bodyText ||| data, and to generalize semantic-role classifiers
bodyText ||| across different frames. However, Yi et al. (2007)
bodyText ||| reported that tags ARG2 –ARG5 were inconsis-
bodyText ||| tent and not that suitable as training instances.
bodyText ||| Some recent studies have addressed alternative ap-
bodyText ||| proaches to generalizing semantic roles across dif-
bodyText ||| ferent frames (Gordon and Swanson, 2007; Zapi-
page ||| 19
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 19–27,
note ||| Suntec, Singapore, 2-7 August 2009. c�2009 ACL and AFNLP
figure ||| Commerce_sell::Buyer Commerce_buy::Buyer
figure ||| Givi ng:: Reci pi ent
figure ||| Recipient
figure ||| Transfer::Recipient
figure ||| Buyer
figure ||| Agent
figure ||| Commerce_sell::Seller Commerce_buy::Seller
figure ||| Giving::Donor
figure ||| Transfer::Donor
figure ||| Donor
figure ||| Seller
figure ||| role-to-role relation
figure ||| hierarchical class
figure ||| thematic role
figure ||| role descriptor
figureCaption ||| Figure 2: An example of role groupings using different criteria.
figureCaption ||| rain et al., 2008).
bodyText ||| FrameNet designs semantic roles as frame spe-
bodyText ||| cific, but also defines hierarchical relations of se-
bodyText ||| mantic roles among frames. Figure 2 illustrates
bodyText ||| an excerpt of the role hierarchy in FrameNet; this
bodyText ||| figure indicates that the Buyer role for the Com-
bodyText ||| merce buy frame (Commerce buy::Buyer here-
bodyText ||| after) and the Commerce sell::Buyer role are in-
bodyText ||| herited from the Transfer:: Recipient role. Al-
bodyText ||| though the role hierarchy was expected to gener-
bodyText ||| alize semantic roles, no positive results for role
bodyText ||| classification have been reported (Baldewein et al.,
bodyText ||| 2004). Therefore, the generalization of semantic
bodyText ||| roles across different frames has been brought up
bodyText ||| as a critical issue for FrameNet (Gildea and Juraf-
bodyText ||| sky, 2002; Shi and Mihalcea, 2005; Giuglea and
bodyText ||| Moschitti, 2006)
bodyText ||| In this paper, we explore several criteria for gen-
bodyText ||| eralizing semantic roles in FrameNet. In addi-
bodyText ||| tion to the FrameNet hierarchy, we use various
bodyText ||| pieces of information: human-understandable de-
bodyText ||| scriptors of roles, semantic types of filler phrases,
bodyText ||| and mappings from FrameNet roles to the thematic
bodyText ||| roles of VerbNet. We also propose feature func-
bodyText ||| tions that naturally combines these criteria in a
bodyText ||| machine-learning framework. Using the proposed
bodyText ||| method, the experimental result of the role classi-
bodyText ||| fication shows 19.16% and 7.42% improvements
bodyText ||| in error reduction rate and macro-averaged F1, re-
bodyText ||| spectively. We provide in-depth analyses with re-
bodyText ||| spect to these criteria, and state our conclusions.
sectionHeader ||| 2 Related Work
bodyText ||| Moschitti et al. (2005) first classified roles by us-
bodyText ||| ing four coarse-grained classes (Core Roles, Ad-
bodyText ||| juncts, Continuation Arguments and Co-referring
bodyText ||| Arguments), and built a classifier for each coarse-
bodyText ||| grained class to tag PropBank ARG tags. Even
bodyText ||| though the initial classifiers could perform rough
bodyText ||| estimations of semantic roles, this step was not
