title ||| Unsupervised Multilingual Grammar Induction
author ||| Benjamin Snyder, Tahira Naseem, and Regina Barzilay
affiliation ||| Computer Science and Artificial Intelligence Laboratory
affiliation ||| Massachusetts Institute of Technology
email ||| {bsnyder, tahira, regina}@csail.mit.edu
sectionHeader ||| Abstract
bodyText ||| We investigate the task of unsupervised
bodyText ||| constituency parsing from bilingual par-
bodyText ||| allel corpora. Our goal is to use bilin-
bodyText ||| gual cues to learn improved parsing mod-
bodyText ||| els for each language and to evaluate these
bodyText ||| models on held-out monolingual test data.
bodyText ||| We formulate a generative Bayesian model
bodyText ||| which seeks to explain the observed par-
bodyText ||| allel data through a combination of bilin-
bodyText ||| gual and monolingual parameters. To this
bodyText ||| end, we adapt a formalism known as un-
bodyText ||| ordered tree alignment to our probabilistic
bodyText ||| setting. Using this formalism, our model
bodyText ||| loosely binds parallel trees while allow-
bodyText ||| ing language-specific syntactic structure.
bodyText ||| We perform inference under this model us-
bodyText ||| ing Markov Chain Monte Carlo and dy-
bodyText ||| namic programming. Applying this model
bodyText ||| to three parallel corpora (Korean-English,
bodyText ||| Urdu-English, and Chinese-English) we
bodyText ||| find substantial performance gains over
bodyText ||| the CCM model, a strong monolingual
bodyText ||| baseline. On average, across a variety of
bodyText ||| testing scenarios, our model achieves an
bodyText ||| 8.8 absolute gain in F-measure. 1
sectionHeader ||| 1 Introduction
bodyText ||| In this paper we investigate the task of unsuper-
bodyText ||| vised constituency parsing when bilingual paral-
bodyText ||| lel text is available. Our goal is to improve pars-
bodyText ||| ing performance on monolingual test data for each
bodyText ||| language by using unsupervised bilingual cues at
bodyText ||| training time. Multilingual learning has been suc-
bodyText ||| cessful for other linguistic induction tasks such as
bodyText ||| lexicon acquisition, morphological segmentation,
bodyText ||| and part-of-speech tagging (Genzel, 2005; Snyder
bodyText ||| and Barzilay, 2008; Snyder et al., 2008; Snyder
footnote ||| 1Code and the outputs of our experiments are available at
footnote ||| http://groups.csail.mit.edu/rbg/code/multiling induction.
bodyText ||| et al., 2009). We focus here on the unsupervised
bodyText ||| induction of unlabeled constituency brackets. This
bodyText ||| task has been extensively studied in a monolingual
bodyText ||| setting and has proven to be difficult (Charniak
bodyText ||| and Carroll, 1992; Klein and Manning, 2002).
bodyText ||| The key premise of our approach is that am-
bodyText ||| biguous syntactic structures in one language may
bodyText ||| correspond to less uncertain structures in the other
bodyText ||| language. For instance, the English sentence I
bodyText ||| saw [the student [from MIT]] exhibits the classic
bodyText ||| problem of PP-attachment ambiguity. However,
bodyText ||| its Urdu translation, literally glossed as I [[MIT of]
bodyText ||| student] saw, uses a genitive phrase that may only
bodyText ||| be attached to the adjacent noun phrase. Know-
bodyText ||| ing the correspondence between these sentences
bodyText ||| should help us resolve the English ambiguity.
bodyText ||| One of the main challenges of unsupervised
bodyText ||| multilingual learning is to exploit cross-lingual
bodyText ||| patterns discovered in data, while still allowing
bodyText ||| a wide range of language-specific idiosyncrasies.
bodyText ||| To this end, we adapt a formalism known as un-
bodyText ||| ordered tree alignment (Jiang et al., 1995) to
bodyText ||| a probabilistic setting. Under this formalism,
bodyText ||| any two trees can be embedded in an alignment
bodyText ||| tree. This alignment tree allows arbitrary parts
bodyText ||| of the two trees to diverge in structure, permitting
bodyText ||| language-specific grammatical structure to be pre-
bodyText ||| served. Additionally, a computational advantage
bodyText ||| of this formalism is that the marginalized probabil-
bodyText ||| ity over all possible alignments for any two trees
bodyText ||| can be efficiently computed with a dynamic pro-
bodyText ||| gram in linear time.
bodyText ||| We formulate a generative Bayesian model
bodyText ||| which seeks to explain the observed parallel data
bodyText ||| through a combination of bilingual and mono-
bodyText ||| lingual parameters. Our model views each pair
bodyText ||| of sentences as having been generated as fol-
bodyText ||| lows: First an alignment tree is drawn. Each
bodyText ||| node in this alignment tree contains either a soli-
bodyText ||| tary monolingual constituent or a pair of coupled
bodyText ||| bilingual constituents. For each solitary mono-
page ||| 73
note ||| Proceedings of the 47th Annual Meeting of the ACL and the 4th IJCNLP of the AFNLP, pages 73–81,
note ||| Suntec, Singapore, 2-7 August 2009. c�2009 ACL and AFNLP
bodyText ||| lingual constituent, a sequence of part-of-speech
bodyText ||| tags is drawn from a language-specific distribu-
bodyText ||| tion. For each pair of coupled bilingual con-
bodyText ||| stituents, a pair of part-of-speech sequences are
bodyText ||| drawn jointly from a cross-lingual distribution.
bodyText ||| Word-level alignments are then drawn based on
bodyText ||| the tree alignment. Finally, parallel sentences are
bodyText ||| assembled from these generated part-of-speech se-
bodyText ||| quences and word-level alignments.
bodyText ||| To perform inference under this model, we use
bodyText ||| a Metropolis-Hastings within-Gibbs sampler. We
bodyText ||| sample pairs of trees and then compute marginal-
bodyText ||| ized probabilities over all possible alignments us-
bodyText ||| ing dynamic programming.
bodyText ||| We test the effectiveness of our bilingual gram-
bodyText ||| mar induction model on three corpora of parallel
bodyText ||| text: English-Korean, English-Urdu and English-
bodyText ||| Chinese. The model is trained using bilingual
bodyText ||| data with automatically induced word-level align-
bodyText ||| ments, but is tested on purely monolingual data
bodyText ||| for each language. In all cases, our model out-
bodyText ||| performs a state-of-the-art baseline: the Con-
bodyText ||| stituent Context Model (CCM) (Klein and Man-
bodyText ||| ning, 2002), sometimes by substantial margins.
bodyText ||| On average, over all the testing scenarios that we
bodyText ||| studied, our model achieves an absolute increase
bodyText ||| in F-measure of 8.8 points, and a 19% reduction
bodyText ||| in error relative to a theoretical upper bound.
sectionHeader ||| 2 Related Work
bodyText ||| The unsupervised grammar induction task has
bodyText ||| been studied extensively, mostly in a monolin-
bodyText ||| gual setting (Charniak and Carroll, 1992; Stolcke
bodyText ||| and Omohundro, 1994; Klein and Manning, 2002;
bodyText ||| Seginer, 2007). While PCFGs perform poorly on
bodyText ||| this task, the CCM model (Klein and Manning,
bodyText ||| 2002) has achieved large gains in performance and
bodyText ||| is among the state-of-the-art probabilistic models
bodyText ||| for unsupervised constituency parsing. We there-
bodyText ||| fore use CCM as our basic model of monolingual
bodyText ||| syntax.
bodyText ||| While there has been some previous work on
bodyText ||| bilingual CFG parsing, it has mainly focused on
bodyText ||| improving MT systems rather than monolingual
bodyText ||| parsing accuracy. Research in this direction was
bodyText ||| pioneered by (Wu, 1997), who developed Inver-
bodyText ||| sion Transduction Grammars to capture cross-
bodyText ||| lingual grammar variations such as phrase re-
bodyText ||| orderings. More general formalisms for the same
