note ||| CHI 2008 Proceedings · Am I Safe	April 5-10, 2008 · Florence, Italy
title ||| You’ve Been Warned: An Empirical Study of the
title ||| Effectiveness of Web Browser Phishing Warnings
author ||| Serge Egelman
affiliation ||| Carnegie Mellon University
email ||| egelman@cs.cmu.edu
author ||| Lorrie Faith Cranor
affiliation ||| Carnegie Mellon University
email ||| lorrie@cs.cmu.edu
author ||| Jason Hong
affiliation ||| Carnegie Mellon University
email ||| jasonh@cs.cmu.edu
sectionHeader ||| ABSTRACT
bodyText ||| Many popular web browsers now include active phishing
bodyText ||| warnings since research has shown that passive warnings
bodyText ||| are often ignored. In this laboratory study we examine the
bodyText ||| effectiveness of these warnings and examine if, how, and
bodyText ||| why they fail users. We simulated a spear phishing attack
bodyText ||| to expose users to browser warnings. We found that 97%
bodyText ||| of our sixty participants fell for at least one of the phishing
bodyText ||| messages that we sent them. However, we also found that
bodyText ||| when presented with the active warnings, 79% of partici-
bodyText ||| pants heeded them, which was not the case for the passive
bodyText ||| warning that we tested—where only one participant heeded
bodyText ||| the warnings. Using a model from the warning sciences we
bodyText ||| analyzed how users perceive warning messages and offer
bodyText ||| suggestions for creating more effective phishing warnings.
sectionHeader ||| Author Keywords
keyword ||| Phishing, warning messages, mental models, usable privacy
keyword ||| and security
sectionHeader ||| ACM Classification Keywords
category ||| H.1.2 User/Machine Systems, H.5.2 User Interfaces, D.4.6
category ||| Security and Protection
sectionHeader ||| INTRODUCTION
bodyText ||| Online security indicators have historically failed users be-
bodyText ||| cause users do not understand or believe them. The preva-
bodyText ||| lence of phishing, a scam to collect personal information
bodyText ||| by mimicking trusted websites, has prompted the design of
bodyText ||| many new online security indicators. Because phishing is a
bodyText ||| semantic attack that relies on confusing people, it is difficult
bodyText ||| to automatically detect these attacks with complete accuracy.
bodyText ||| Thus, anti-phishing tools use warnings to alert users to po-
bodyText ||| tential phishing sites, rather than outright blocking them.
bodyText ||| The question remains, do anti-phishing warnings actually
